epoch,tr_loss,train_raw_metric,tr_eq,tr_ineq,tr_task_loss,tr_consistency_loss,val_loss,val_raw_metric,val_eq,val_ineq,val_task_loss,val_consistency_loss,projection_active,mean_batch_loss,train_epoch_time_sec,train_step_time_sec,train_eval_time_sec,validation_epoch_time_sec,train_batches,validation_batches,train_time_per_batch_sec,train_step_time_per_batch_sec,validation_time_per_batch_sec
1,0.9031915908214171,0.9031915908214171,2.759531816290689,0.0,0.9031915908214171,0.0,0.9049037279781926,0.9049037279781926,2.760676719317911,0.0,0.9049037279781926,0.0,0,0.9853072441340487,0.1466374173760414,0.1460859216749668,0.06192700657993555,0.00042327865958213806,2,1,0.0733187086880207,0.0730429608374834,0.00042327865958213806
2,0.8073364588551046,0.8073364588551046,2.6330799526640174,0.0,0.8073364588551046,0.0,0.8089172712494868,0.8089172712494868,2.6339363440719885,0.0,0.8089172712494868,0.0,0,0.8782627656947835,0.0007205773144960403,0.00035160500556230545,9.418651461601257e-05,0.0003220411017537117,2,1,0.00036028865724802017,0.00017580250278115273,0.0003220411017537117
3,0.7232652437570531,0.7232652437570531,2.517768673064233,0.0,0.7232652437570531,0.0,0.7247395758598275,0.7247395758598275,2.5182091311907815,0.0,0.7247395758598275,0.0,0,0.785752709968573,0.0006224587559700012,0.00031041447073221207,7.670558989048004e-05,0.0002773702144622803,2,1,0.0003112293779850006,0.00015520723536610603,0.0002773702144622803
4,0.6457743573374051,0.6457743573374051,2.4020354951717664,0.0,0.6457743573374051,0.0,0.6472377655738772,0.6472377655738772,2.4020175811069526,0.0,0.6472377655738772,0.0,0,0.7035705787701545,0.0006225612014532089,0.0003067031502723694,7.611233741044998e-05,0.0002711145207285881,2,1,0.00031128060072660446,0.0001533515751361847,0.0002711145207285881
5,0.5735709290144362,0.5735709290144362,2.2810986106204276,0.0,0.5735709290144362,0.0,0.5749980020851652,0.5749980020851652,2.280298958352376,0.0,0.5749980020851652,0.0,0,0.6277496136567519,0.0005839439108967781,0.00030001718550920486,7.747020572423935e-05,0.0002858377993106842,2,1,0.00029197195544838905,0.00015000859275460243,0.0002858377993106842
6,0.5051456061995193,0.5051456061995193,2.1493595988073295,0.0,0.5051456061995193,0.0,0.5065844366282984,0.5065844366282984,2.14760112519186,0.0,0.5065844366282984,0.0,0,0.5565148925240071,0.0005983803421258926,0.0002923710271716118,7.594097405672073e-05,0.00026975106447935104,2,1,0.0002991901710629463,0.0001461855135858059,0.00026975106447935104
7,0.44066880052751484,0.44066880052751484,2.007006585299332,0.0,0.44066880052751484,0.0,0.44214054817415155,0.44214054817415155,2.004079946263319,0.0,0.44214054817415155,0.0,0,0.4886591280380976,0.0005864845588803291,0.00030233990401029587,7.680989801883698e-05,0.0002846987918019295,2,1,0.00029324227944016457,0.00015116995200514793,0.0002846987918019295
8,0.381269445980698,0.381269445980698,1.8552785131677485,0.0,0.381269445980698,0.0,0.3827318981278877,0.3827318981278877,1.8508291745857184,0.0,0.3827318981278877,0.0,0,0.4252271943487328,0.000589403323829174,0.0002945372834801674,7.703714072704315e-05,0.0002575172111392021,2,1,0.000294701661914587,0.0001472686417400837,0.0002575172111392021
9,0.3274203392992599,0.3274203392992599,1.6925584916182146,0.0,0.3274203392992599,0.0,0.32919578762814067,0.32919578762814067,1.6870084376607375,0.0,0.32919578762814067,0.0,0,0.36773172893063744,0.0005838377401232719,0.00029689352959394455,7.420312613248825e-05,0.0002698497846722603,2,1,0.00029191887006163597,0.00014844676479697227,0.0002698497846722603
10,0.2800109120365355,0.2800109120365355,1.5200842251003446,0.0,0.2800109120365355,0.0,0.2817772789399916,0.2817772789399916,1.513005404694528,0.0,0.2817772789399916,0.0,0,0.3155283429529983,0.0005881926044821739,0.00030327122658491135,7.41695985198021e-05,0.000264887697994709,2,1,0.00029409630224108696,0.00015163561329245567,0.000264887697994709
