Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.02313,0.00819
2,0.00299,0.00884
3,0.00666,0.005
4,0.00929,0.01064
5,0.01713,0.03258
6,0.04621,0.01056
7,0.00901,0.00594
8,0.02725,0.01148
9,0.0539,0.00462
10,0.01424,0.02997
11,0.00211,0.00502
12,0.03705,0.00871
13,0.01182,0.00499
14,0.01153,0.00604
15,0.04264,0.01541
16,0.00161,0.01917
17,0.02842,0.00987
18,0.02683,0.00891
19,0.03621,0.00844
20,0.01673,0.01028
21,0.02293,0.01214
22,0.01297,0.01799
23,0.02907,0.00687
24,0.04906,0.02708
25,0.0319,0.00764
26,0.00311,0.02192
27,0.00775,0.00537
28,0.02871,0.00523
29,0.03241,0.01372
30,0.00725,0.00455
31,0.02923,0.00481
32,0.02075,0.00644
33,0.01031,0.00509
34,0.00647,0.00543
35,0.03393,0.0117
36,0.02826,0.01119
37,0.01427,0.01681
38,0.02531,0.00638
39,0.00788,0.0077
40,0.03207,0.00656
41,0.00862,0.011
42,0.03627,0.01519
43,0.0087,0.01146
44,0.0012,0.0057
45,0.00854,0.02502
46,0.03536,0.02179
47,0.02638,0.00738
48,0.01678,0.01756
49,0.00831,0.00575
50,0.00944,0.00509
