epoch,batch_idx,phase,batch_size,batch_MSE,batch_RMSE,epoch_MSE,epoch_RMSE
1,0,train,16,0.47729275654185915,0.6908637756764058,0.4736462506072721,0.6882196238173336
1,1,train,16,0.482623745736157,0.6947112678920337,0.4736462506072721,0.6882196238173336
1,2,train,16,0.47729350505433316,0.6908643173983826,0.4736462506072721,0.6882196238173336
1,3,train,16,0.4677030525196315,0.6838881871473081,0.4736462506072721,0.6882196238173336
1,4,train,16,0.4891038563861061,0.6993596044854936,0.4736462506072721,0.6882196238173336
1,5,train,10,0.44786058740554596,0.6692238694230399,0.4736462506072721,0.6882196238173336
1,-1,train,90,0.4736462506072721,0.6882196238173336,0.4736462506072721,0.6882196238173336
2,0,train,16,0.49124118940952605,0.7008860031485334,0.4616213268412086,0.6794272049610677
2,1,train,16,0.460421949817084,0.6785439925436552,0.4616213268412086,0.6794272049610677
2,2,train,16,0.462735163758548,0.6802463992984806,0.4616213268412086,0.6794272049610677
2,3,train,16,0.4556924679668967,0.6750499744218177,0.4616213268412086,0.6794272049610677
2,4,train,16,0.4620911584219467,0.6797728726728853,0.4616213268412086,0.6794272049610677
2,5,train,10,0.43754603167325007,0.661472623525154,0.4616213268412086,0.6794272049610677
2,-1,train,90,0.4616213268412086,0.6794272049610677,0.4616213268412086,0.6794272049610677
3,0,train,16,0.46308457084750704,0.6805031747519676,0.4532124460627451,0.6732105510631463
3,1,train,16,0.45840103596194065,0.6770532002449591,0.4532124460627451,0.6732105510631463
3,2,train,16,0.4531137324974713,0.6731372315490143,0.4532124460627451,0.6732105510631463
3,3,train,16,0.4228009856963623,0.6502314862388335,0.4532124460627451,0.6732105510631463
3,4,train,16,0.4409518696821042,0.6640420692110585,0.4532124460627451,0.6732105510631463
3,5,train,10,0.48092248169108487,0.6934857472876316,0.4532124460627451,0.6732105510631463
3,-1,train,90,0.4532124460627451,0.6732105510631463,0.4532124460627451,0.6732105510631463
4,0,train,16,0.44987200468967314,0.6707249843935091,0.4383451675888319,0.6620764061562925
4,1,train,16,0.43613609669329767,0.6604060089772789,0.4383451675888319,0.6620764061562925
4,2,train,16,0.4553116083462161,0.674767818102061,0.4383451675888319,0.6620764061562925
4,3,train,16,0.4216212767819723,0.6493237072385177,0.4383451675888319,0.6620764061562925
4,4,train,16,0.4488379131194427,0.669953664904852,0.4383451675888319,0.6620764061562925
4,5,train,10,0.4182921059023895,0.6467550586600692,0.4383451675888319,0.6620764061562925
4,-1,train,90,0.4383451675888319,0.6620764061562925,0.4383451675888319,0.6620764061562925
5,0,train,16,0.4364698618155829,0.6606586575649962,0.4270359911012107,0.6534799087203911
5,1,train,16,0.43815464022503087,0.6619325042819931,0.4270359911012107,0.6534799087203911
5,2,train,16,0.42967090112123046,0.655492868856123,0.4270359911012107,0.6534799087203911
5,3,train,16,0.4148283128184322,0.6440716674551304,0.4270359911012107,0.6534799087203911
5,4,train,16,0.43368665730213535,0.6585489027415772,0.4270359911012107,0.6534799087203911
5,5,train,10,0.40940557332485245,0.6398480861304912,0.4270359911012107,0.6534799087203911
5,-1,train,90,0.4270359911012107,0.6534799087203911,0.4270359911012107,0.6534799087203911
6,0,train,16,0.4115564132762198,0.6415266270983768,0.4150485617715307,0.644242626478201
6,1,train,16,0.442697757239986,0.665355361622634,0.4150485617715307,0.644242626478201
6,2,train,16,0.42170877777219706,0.6493910823011023,0.4150485617715307,0.644242626478201
6,3,train,16,0.40233068467223526,0.6342954238146727,0.4150485617715307,0.644242626478201
6,4,train,16,0.4249226624033426,0.6518609225926514,0.4150485617715307,0.644242626478201
6,5,train,10,0.3870750752652039,0.6221535785199696,0.4150485617715307,0.644242626478201
6,-1,train,90,0.4150485617715307,0.644242626478201,0.4150485617715307,0.644242626478201
7,0,train,16,0.41527875019948146,0.6444212521320828,0.40509011250432586,0.6364668981999974
7,1,train,16,0.39901462525831494,0.6316760445499853,0.40509011250432586,0.6364668981999974
7,2,train,16,0.39872781469607926,0.6314489802795467,0.40509011250432586,0.6364668981999974
7,3,train,16,0.4171044054411816,0.6458362063566749,0.40509011250432586,0.6364668981999974
7,4,train,16,0.4064813743489622,0.6375589183353663,0.40509011250432586,0.6364668981999974
7,5,train,10,0.3939337050819356,0.6276413825441528,0.40509011250432586,0.6364668981999974
7,-1,train,90,0.40509011250432586,0.6364668981999974,0.40509011250432586,0.6364668981999974
8,0,train,16,0.4048563615894416,0.6362832400664358,0.39476133621852433,0.6283003550997917
8,1,train,16,0.3936421034197373,0.6274090399569784,0.39476133621852433,0.6283003550997917
8,2,train,16,0.40322006865485965,0.6349961170391987,0.39476133621852433,0.6283003550997917
8,3,train,16,0.38495251893779797,0.6204454197895235,0.39476133621852433,0.6283003550997917
8,4,train,16,0.3894948909138187,0.6240952578844184,0.39476133621852433,0.6283003550997917
8,5,train,10,0.3924020737954906,0.6264200458123053,0.39476133621852433,0.6283003550997917
8,-1,train,90,0.39476133621852433,0.6283003550997917,0.39476133621852433,0.6283003550997917
9,0,train,16,0.3820131226085018,0.6180721014643047,0.3834781030518058,0.6192560884253023
9,1,train,16,0.4012644531442871,0.6334543812653656,0.3834781030518058,0.6192560884253023
9,2,train,16,0.3810649701551592,0.617304600788913,0.3834781030518058,0.6192560884253023
9,3,train,16,0.40131464188255306,0.6334939951432477,0.3834781030518058,0.6192560884253023
9,4,train,16,0.36390621580380333,0.6032463972572097,0.3834781030518058,0.6192560884253023
9,5,train,10,0.3713052147165305,0.6093481884083438,0.3834781030518058,0.6192560884253023
9,-1,train,90,0.3834781030518058,0.6192560884253023,0.3834781030518058,0.6192560884253023
10,0,train,16,0.36377789863639926,0.603140032360976,0.3730064128889386,0.6107425094824648
10,1,train,16,0.3606948332450151,0.6005787485792476,0.3730064128889386,0.6107425094824648
10,2,train,16,0.3745653568366137,0.6120174481472025,0.3730064128889386,0.6107425094824648
10,3,train,16,0.40041618546885943,0.6327844699965853,0.3730064128889386,0.6107425094824648
10,4,train,16,0.376615634869776,0.613690178241249,0.3730064128889386,0.6107425094824648
10,5,train,10,0.361968568276968,0.601638237046955,0.3730064128889386,0.6107425094824648
10,-1,train,90,0.3730064128889386,0.6107425094824648,0.3730064128889386,0.6107425094824648
11,0,train,16,0.3626460531295829,0.6022010072472338,0.3622869069610341,0.6019027387884476
11,1,train,16,0.36754335330211324,0.6062535387955382,0.3622869069610341,0.6019027387884476
11,2,train,16,0.3631943312676727,0.6026560638271822,0.3622869069610341,0.6019027387884476
11,3,train,16,0.36059166371782925,0.6004928506800303,0.3622869069610341,0.6019027387884476
11,4,train,16,0.37446796537153376,0.6119378770525108,0.3622869069610341,0.6019027387884476
11,5,train,10,0.3452780749774724,0.5876036716848121,0.3622869069610341,0.6019027387884476
11,-1,train,90,0.3622869069610341,0.6019027387884476,0.3622869069610341,0.6019027387884476
12,0,train,16,0.36296154023577937,0.6024628953186905,0.35523237680505787,0.5960137387720671
12,1,train,16,0.3410295616322192,0.5839773639724567,0.35523237680505787,0.5960137387720671
12,2,train,16,0.3381998977438323,0.5815495660249712,0.35523237680505787,0.5960137387720671
12,3,train,16,0.33970954745219556,0.5828460752653273,0.35523237680505787,0.5960137387720671
12,4,train,16,0.36485067524970144,0.6040287039948528,0.35523237680505787,0.5960137387720671
12,5,train,10,0.3846430385166194,0.6201959678332482,0.35523237680505787,0.5960137387720671
12,-1,train,90,0.35523237680505787,0.5960137387720671,0.35523237680505787,0.5960137387720671
13,0,train,16,0.35263340167588225,0.5938294382024878,0.34159304905874666,0.5844596214100224
13,1,train,16,0.3709582650383339,0.6090634326885287,0.34159304905874666,0.5844596214100224
13,2,train,16,0.3317521764335849,0.5759793194495657,0.34159304905874666,0.5844596214100224
13,3,train,16,0.32913637922781586,0.5737040868146364,0.34159304905874666,0.5844596214100224
13,4,train,16,0.3488569802449524,0.5906411603037435,0.34159304905874666,0.5844596214100224
13,5,train,10,0.31622109173191065,0.5623353907873047,0.34159304905874666,0.5844596214100224
13,-1,train,90,0.34159304905874666,0.5844596214100224,0.34159304905874666,0.5844596214100224
14,0,train,16,0.3242381652467163,0.5694191472427989,0.33437678678101784,0.5782532202945504
14,1,train,16,0.35375104286539677,0.5947697393659136,0.33437678678101784,0.5782532202945504
14,2,train,16,0.31289758855139166,0.5593724953475918,0.33437678678101784,0.5782532202945504
14,3,train,16,0.32885079057096395,0.5734551338779381,0.33437678678101784,0.5782532202945504
14,4,train,16,0.33981986961878213,0.5829407084933957,0.33437678678101784,0.5782532202945504
14,5,train,10,0.3467032638328563,0.5888151355330944,0.33437678678101784,0.5782532202945504
14,-1,train,90,0.33437678678101784,0.5782532202945504,0.33437678678101784,0.5782532202945504
15,0,train,16,0.3224171075891112,0.5678178471914309,0.32462997188599524,0.5697630839971954
15,1,train,16,0.3355778989158858,0.5792908586503724,0.32462997188599524,0.5697630839971954
15,2,train,16,0.31035307115871197,0.5570934133147797,0.32462997188599524,0.5697630839971954
