NN_Experiment_RMSE,NN_Experiment_VIOL,NN_Experiment_VIOL_NL,KKThPINN_Experiment_RMSE,KKThPINN_Experiment_VIOL,KKThPINN_Experiment_VIOL_NL
0.019488623976047423,0.7528272271156311,13.15498455365499,0.017043101479161275,0.018680797889828682,1.3528019686539967
0.019125074271810507,0.45608773827552795,7.981973965962728,0.01671129604667275,0.009157927706837654,2.0495146612326303
0.01615148092918103,0.9919760227203369,13.550741990407309,0.02546223737786486,0.0231170654296875,1.2498272756735485
0.018584264201353,0.19155476987361908,4.327249666055043,0.042629204450643436,0.05703305825591087,0.8661096319556236
0.018173559416776692,0.31185227632522583,4.691965192556381,0.021302442976046825,0.015090116299688816,1.3599567015965779
0.019348715624318138,0.788041889667511,13.710747679074606,0.023918441707836167,0.03499938175082207,0.807307576139768
0.015624478062589745,0.9167330861091614,16.23513587315877,0.014552755881568142,0.006811324506998062,1.7995493511358898
0.021764472902986266,0.7550916075706482,12.963460326194763,0.07225599283815375,0.01852402836084366,1.5659635315338771
0.0183365507384778,0.40951624512672424,6.620343188444774,0.06736938082390698,0.043484240770339966,0.7848381598790487
0.022589222218367486,1.2604128122329712,21.51052776972453,0.012159838697698459,0.008857406675815582,1.661379079023997
0.013898038528562274,0.44334909319877625,5.858746727307637,0.016376778743580744,0.011315626092255116,1.7317151427268982
0.018722470121991734,0.6027510762214661,10.318759123484293,0.016134597259838918,0.018579835072159767,2.448350394765536
0.05720260833352387,3.8260345458984375,59.365040143330894,0.01755410336766291,0.012818693183362484,1.5783731838067372
0.009864056072571683,0.4432896077632904,5.187530040740967,0.017209195636480157,0.02239610254764557,1.1932711501916249
0.015510246445237812,0.36097729206085205,5.303184549013774,0.041692150491803415,0.02334713190793991,1.0802159905433655
0.014133976314478007,0.33885252475738525,4.713540405035019,0.016413175483509637,0.013455267064273357,1.6313148140907288
0.014086893162120969,0.6568026542663574,11.86245600382487,0.015291476841226876,0.007504650857299566,1.9617663323879242
0.011208084144687514,0.2980421185493469,3.8104525208473206,0.01838977468465261,0.010470415465533733,1.679641659061114
0.02159827310393655,0.3957451283931732,6.474461754163106,0.016276762556462956,0.015910491347312927,1.5659427046775818
0.019254185482901635,0.4800330400466919,7.114870150883992,0.016511927763268732,0.008565079420804977,1.84455402692159
0.018701733574200623,0.5539875626564026,7.698180039723714,0.011979007892662144,0.011359206400811672,2.1756730377674103
0.10588529387965905,9.426960945129395,128.4134953816732,0.01667296658431866,0.007132347207516432,1.8035722573598225
0.021702533673516645,0.41268157958984375,7.32916659116745,0.0820186010137703,0.0150413503870368,1.78311221798261
0.01800752494882219,0.3422621786594391,4.369993567466736,0.015415130605044187,0.013499158434569836,1.4797186603148778
0.028160416291117863,1.3272680044174194,22.020348072052002,0.02223040298169848,0.022716669365763664,1.2129700531562169
0.018966156977272136,0.6490340232849121,11.2577406167984,0.017791057791932838,0.016102252528071404,1.5123589932918549
0.024676128558684833,1.3085194826126099,22.284220059712727,0.019017300821529207,0.02736085094511509,0.9712388813495636
0.01814626309033891,0.5063596367835999,8.771360596021017,0.017054642601351994,0.011196802370250225,1.774953544139862
0.019228415781814626,0.794228732585907,14.053064107894897,0.012276666699452743,0.00999941024929285,1.7170031368732452
0.019436951702387593,1.0312834978103638,18.037851095199585,0.01350231280987423,0.009328613057732582,2.099694381157557
