Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00048,0.00034
2,0.00045,0.00033
3,0.00031,0.00066
4,0.00043,0.00164
5,0.00044,0.00047
6,0.00038,0.00062
7,0.00026,0.00026
8,0.00052,0.00459
9,0.00044,0.00377
10,0.00054,0.00018
11,0.00024,0.00034
12,0.00044,0.0003
13,0.00258,0.00036
14,0.00013,0.00036
15,0.00031,0.00144
16,0.00026,0.00033
17,0.00026,0.00027
18,0.00015,0.00038
19,0.0005,0.00032
20,0.00047,0.00034
21,0.00047,0.00016
22,0.0107,0.00032
23,0.00046,0.00658
24,0.00041,0.00031
25,0.00078,0.00051
26,0.00043,0.00036
27,0.00063,0.00044
28,0.00043,0.00033
29,0.00041,0.00019
30,0.00036,0.00024
