region_id,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
0,-0.005903403247502049,1.0094791935420822,-1.0701458045193155,-0.06164661513090341,0.0,-1.8774705161417145
1,-0.006721442876794192,1.0094791935420822,-1.0692959510690239,-0.06929595106902386,0.0,-2.1350061289651374
2,-0.0075185874114972245,1.0094791935420822,-1.0684735722886518,-0.07685480608392893,0.0,-2.3859635384872537
3,-0.038613437745959635,1.307791845025737,-2.6802287664428412,-1.393903579757013,0.0,-14.900748737512655
4,-0.04196472481327758,1.307791845025737,-2.5489993961053763,-1.5489993961053763,0.0,-16.14056812870586
5,-0.04490938518258443,1.307791845025737,-2.4391343491004207,-1.699096671375608,0.0,-17.229954669759977
6,-0.10354414554974056,6.077101861982213,-26.835186789083963,-20.44664438053462,0.0,-64.2542113819371
7,-0.11149755930201233,6.077101861982213,-23.925377460206953,-22.925377460206946,0.0,-68.40973116166478
8,-0.11816406934542523,6.077101861982213,-21.655588250915095,-25.32368977303865,0.0,-71.89286622920301
9,-0.6206489528203507,51.943450892053804,-288.993343097393,-221.3700928430015,0.0,-515.5741540103032
10,-0.6668435814843363,51.943450892053804,-251.51113192283918,-250.51113192283754,0.0,-546.3647142987656
11,-0.7048327859167669,51.943450892053804,-223.10239615727,-278.7140361056505,0.0,-571.6860324523954
12,-3.6120231665395544,352.0953318958051,-2204.200000048439,-1651.6268856350048,0.0,-3463.23860954056
13,-3.875695906513368,352.0953318958051,-1885.6592527207304,-1884.6592527210037,0.0,-3664.791324878434
14,-4.089338295342813,352.0953318958051,-1649.588090236687,-2110.248674777152,0.0,-3828.1005982675138
