NN_Experiment_Error,KKThPINN_Experiment_Error
0.008436291001188883,0.006733373362418618
0.006895763001157293,0.013756364506200684
0.011960010039582195,0.012351452482660579
0.008887257247424521,0.005084845459610046
0.015809919163963484,0.011299877479102504
0.0078033906181578195,0.013123234190242555
0.007797502181016614,0.015505308432856267
0.013809144118083904,0.013299099848879208
0.013857134815516701,0.01342982177653632
0.014097905451703044,0.00822376349523944
0.00817653149129158,0.11884562130943577
0.008445576706702198,0.012956385369606548
0.021073914572017138,0.011823279974019439
0.011170366790877777,0.013809942026865377
0.013343017952875307,0.011705732775922663
0.013927108251476434,0.003978683465644405
0.003506851589849569,0.00735414198118865
0.013785841925900696,0.014260619406641013
0.014482531020934705,0.0033021882970788786
0.009621310292884707,0.005699203914240599
0.010008359706197246,0.003913797139547586
0.011474751693086817,0.007439422018160467
0.11901005885783761,0.013292373800294294
0.013196087498325093,0.009024287553991034
0.013404559741721118,0.011597503104277129
0.124946284906643,0.01020531959136083
0.013596557221304085,0.008676847401516623
0.012317712723475756,0.01346634105540669
0.010258782956067398,0.0018506964659951734
0.006641764728719113,0.014302807208550707
0.013871828132214025,0.008174309448577914
0.013555764655071228,0.012487548151050756
0.013624329475425023,0.005502397417922691
0.05059981616586955,0.0031806725366307054
0.010075960555645691,0.005149534291369871
0.014456498179552729,0.013615496779197761
0.008225071615412296,0.0037257162766095578
0.004297173292266814,0.006536782146307808
0.012564237576675392,0.01508873163587779
0.01388957992295163,0.011555523522957046
0.02318982321673416,0.01415045911407786
0.008984144690086123,0.00647953771458442
0.01400795403929476,0.010083565086998628
0.00967692943515402,0.008653034747486119
0.011381701113539243,0.007344195485297975
0.014200762157730843,0.014094574087216417
0.013715868813916825,0.008486994435301803
0.01173017333191686,0.008603471732025084
0.016454660645102058,0.008723900061825848
0.013424877840287827,0.12007298664237859
