Iteration,NN_Training_Error,KKThPINN_Training_Error
1,7e-05,5e-05
2,5e-05,0.00021
3,0.00013,0.00016
4,8e-05,3e-05
5,0.00024,0.00013
6,7e-05,0.0002
7,6e-05,0.00021
8,0.00021,0.00019
9,0.00019,0.00019
10,0.0002,7e-05
11,7e-05,0.01537
12,8e-05,0.00018
13,0.00043,0.00013
14,0.00014,0.00019
15,0.00017,0.00012
16,0.00021,2e-05
17,1e-05,6e-05
18,0.0002,0.0002
19,0.00024,2e-05
20,0.0001,4e-05
21,0.00012,2e-05
22,0.00015,6e-05
23,0.0158,0.00021
24,0.00017,9e-05
25,0.00019,0.00011
26,0.01554,0.00013
27,0.00021,9e-05
28,0.00017,0.0002
29,0.00011,0.0
30,5e-05,0.00021
31,0.00019,6e-05
32,0.0002,0.00016
33,0.0002,4e-05
34,0.00245,1e-05
35,0.00011,3e-05
36,0.00023,0.00019
37,8e-05,2e-05
38,2e-05,5e-05
39,0.00016,0.00022
40,0.0002,0.00015
41,0.00051,0.00022
42,8e-05,5e-05
43,0.00021,0.0001
44,0.00011,5e-05
45,0.00014,7e-05
46,0.00018,0.00019
47,0.0002,9e-05
48,0.00014,8e-05
49,0.00024,8e-05
50,0.0002,0.01544
