Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.01194,0.00179
2,0.01561,0.00297
3,0.01079,0.00169
4,0.01495,0.00356
5,0.01182,0.0035
6,0.01035,0.00313
7,0.0102,0.00289
8,0.01518,0.00306
9,0.01196,0.00373
10,0.01266,0.00272
11,0.01063,0.00251
12,0.01065,0.00291
13,0.00983,0.00278
14,0.0081,0.00257
15,0.01752,0.00264
16,0.01255,0.00203
17,0.01791,0.00241
18,0.0124,0.00393
19,0.00844,0.00689
20,0.0085,0.00324
21,0.01267,0.00328
22,0.01248,0.00395
23,0.01109,0.00348
24,0.01169,0.00276
25,0.01294,0.00348
26,0.0093,0.00243
27,0.0138,0.00275
28,0.01216,0.0028
29,0.01921,0.00407
30,0.01128,0.00299
31,0.01505,0.00914
32,0.01152,0.00311
33,0.01408,0.00257
34,0.01188,0.00275
35,0.01206,0.00292
36,0.02344,0.0039
37,0.01175,0.00289
38,0.01469,0.00361
39,0.01332,0.00278
40,0.01206,0.00411
41,0.01285,0.00234
42,0.01795,0.00255
43,0.01527,0.00319
44,0.0125,0.00226
45,0.00888,0.00316
46,0.02642,0.00275
47,0.0117,0.00229
48,0.01164,0.00252
49,0.01333,0.00403
50,0.0116,0.00285
