region_id,T_low,T_high,Tss,Cass,Cbss,Ccss,fss,aT,aCa,aCb
0,280.0,302.5,291.25,0.973710310858605,1.94742062171721,0.07886906742418487,6.559423143537302e-18,-0.0033599658865455895,-1.0318478547994572,-0.0318478547994572
1,302.5,325.0,313.75,0.8084001957592979,1.6168003915185958,0.5747994127221066,-6.938893903907228e-17,-0.02140650095780657,-1.3190433529749643,-0.31904335297496456
2,325.0,336.25,330.625,0.6346013603336119,1.2692027206672238,1.0961959189991646,0.0,-0.038951544817966574,-2.201372894204733,-1.201372894204733
3,336.25,347.5,341.875,0.5583053408819291,1.1166106817638581,1.325083977354213,3.3306690738754696e-16,-0.049059156299088566,-3.807318327137796,-2.807318327137796
4,347.5,358.75,353.125,0.513153449583896,1.026306899167792,1.460539651248312,8.881784197001252e-16,-0.06290470962737466,-7.584029319103582,-6.584029319103582
5,358.75,364.375,361.5625,0.4917627477660498,0.9835254955320986,1.5247117567018518,0.0,-0.08090575502121311,-13.380599201698201,-12.380599201698212
6,364.375,370.0,367.1875,0.48096603319666925,0.9619320663933376,1.557101900409993,8.881784197001252e-16,-0.09946068531098018,-19.70742929707293,-18.70742929707294
7,370.0,375.625,372.8125,0.47195534561536656,0.943910691230732,1.5841339631539013,3.552713678800501e-15,-0.12581451682352662,-29.031828429075865,-28.031828429075897
8,375.625,381.25,378.4375,0.4641863019703598,0.9283726039407175,1.6074410940889228,3.552713678800501e-15,-0.16289647346966063,-42.616604806255665,-41.616604806255744
9,381.25,386.875,384.0625,0.4572967171899455,0.9145934343798887,1.6281098484301657,-7.105427357601002e-15,-0.2145033980306188,-62.18713290454199,-61.18713290454212
10,386.875,392.5,389.6875,0.4510470408530298,0.9020940817060586,1.6468588774409116,-7.105427357601002e-15,-0.285529401535771,-90.07610538529052,-89.0761053852906
11,392.5,398.125,395.3125,0.4452783404271086,0.8905566808542246,1.6641649787186668,0.0,-0.382236399391485,-129.40560069575227,-128.40560069575145
12,398.125,403.75,400.9375,0.43988414043380175,0.8797682808676034,1.6803475786985949,-2.842170943040401e-14,-0.5125715777275177,-184.31395443827893,-183.31395443827893
13,403.75,409.375,406.5625,0.4347920335114557,0.8695840670229257,1.6956238994656185,0.0,-0.6865379183699405,-260.2359457813917,-259.2359457813883
14,409.375,415.0,412.1875,0.42995181539098754,0.8599036307819717,1.7101445538270408,-1.4210854715202004e-14,-0.9166238675065932,-364.2458826105715,-363.2458826105726
15,415.0,420.625,417.8125,0.4253278570122572,0.8506557140244805,1.7240164289632622,8.526512829121202e-14,-1.2182981343854848,-505.4742816065386,-504.4742816065548
16,420.625,426.25,423.4375,0.42089419332230854,0.8417883866446136,1.7373174200330777,0.0,-1.61057546012632,-695.6099801057003,-694.6099801057026
17,426.25,429.0625,427.65625,0.4176819283274669,0.8353638566549991,1.746954215017534,1.7053025658242404e-13,-1.9780224578468353,-879.1008319813045,-878.100831981249
18,429.0625,431.875,430.46875,0.4155904841522993,0.8311809683045904,1.7532285475431104,0.0,-2.2641377676052095,-1025.0322567860821,-1024.0322567860903
19,431.875,437.5,434.6875,0.4125242549728119,0.8250485099456109,1.7624272350815773,-1.1368683772161603e-13,-2.764664627713593,-1285.8660110566134,-1284.8660110566298
20,437.5,440.3125,438.90625,0.4095388435662114,0.8190776871324188,1.7713834693013697,-1.1368683772161603e-13,-3.3639219714918625,-1606.156101460014,-1605.1561014600204
21,440.3125,443.125,441.71875,0.4075913526627534,0.8151827053255121,1.7772259420117347,1.1368683772161603e-13,-3.8264198296081275,-1858.5276058810646,-1857.527605881055
22,443.125,445.9375,444.53125,0.4056767666271233,0.8113535332543412,1.7829697001185354,-1.1368683772161603e-13,-4.3456685982336865,-2146.6229857845415,-2145.6229857843377
23,445.9375,448.75,447.34375,0.4037940535680995,0.8075881071362067,1.7886178392956937,3.410605131648481e-13,-4.9276669602237035,-2474.9236825090156,-2473.923682508997
24,448.75,451.5625,450.15625,0.401942257496554,0.803884514993296,1.79417322751015,0.0,-5.578940252287417,-2848.3985119635636,-2847.3985119630197
25,451.5625,454.375,452.96875,0.4001204879973891,0.8002409759949286,1.7996385360076823,0.0,-6.306576333632023,-3272.5480747679417,-3271.548074767438
26,454.375,455.78125,455.078125,0.39877336252422413,0.797546725048367,1.8036799124274088,4.547473508864641e-13,-6.90701754825286,-3627.5498326011248,-3626.549832601427
27,455.78125,457.1875,456.484375,0.39788423616762786,0.795768472335074,1.806347291497298,2.2737367544323206e-13,-7.335278847282858,-3883.318106089111,-3882.3181060898387
28,457.1875,458.59375,457.890625,0.3970021643393477,0.794004328678698,1.8089935069819543,2.2737367544323206e-13,-7.7871703415057,-4155.387319045979,-4154.387319045968
29,458.59375,460.0,459.296875,0.3961270546371892,0.7922541092744556,1.8116188360883552,-2.2737367544323206e-13,-8.263817377648536,-4444.681180010256,-4443.6811800099
