region_id,A_T,B_Ca,B_Cb,B_Cc,b
0,-0.0033599658865455895,-1.0318478547994572,-0.0318478547994572,0.0,-2.0453321291058852
1,-0.02140650095780657,-1.3190433529749643,-0.31904335297496456,0.0,-8.2984339982731
2,-0.038951544817966574,-2.201372894204733,-1.201372894204733,0.0,-15.800134484564566
3,-0.049059156299088566,-3.807318327137796,-2.807318327137796,0.0,-22.032426847423096
4,-0.06290470962737466,-7.584029319103582,-6.584029319103582,0.0,-32.86223110852911
5,-0.08090575502121311,-13.380599201698201,-12.380599201698212,0.0,-48.009202244875226
6,-0.09946068531098018,-19.70742929707293,-18.70742929707294,0.0,-63.99460060178317
7,-0.12581451682352662,-29.031828429075865,-28.031828429075897,0.0,-87.06649372231186
8,-0.16289647346966063,-42.616604806255665,-41.616604806255744,0.0,-120.06389413737821
9,-0.2145033980306188,-62.18713290454199,-61.18713290454212,0.0,-166.7820330578603
10,-0.285529401535771,-90.07610538529052,-89.0761053852906,0.0,-232.25082693606754
11,-0.382236399391485,-129.40560069575227,-128.40560069575145,0.0,-323.0768033129254
12,-0.5125715777275177,-184.31395443827893,-183.31395443827893,0.0,-447.85975491837064
13,-0.6865379183699405,-260.2359457813917,-259.2359457813883,0.0,-617.6965365474614
14,-0.9166238675065932,-364.2458826105715,-363.2458826105726,0.0,-846.7855321884149
15,-1.2182981343854848,-505.4742816065386,-504.4742816065548,0.0,-1153.1464124704655
16,-1.61057546012632,-695.6099801057003,-694.6099801057026,0.0,-1559.470862341201
17,-1.9780224578468353,-879.1008319813045,-878.100831981249,0.0,-1946.631894970612
18,-2.2641377676052095,-1025.0322567860821,-1024.0322567860903,0.0,-2251.7903292888545
19,-2.764664627713593,-1285.8660110566134,-1284.8660110566298,0.0,-2792.2928614672765
20,-3.3639219714918625,-1606.156101460014,-1605.1561014600204,0.0,-3448.9772372492125
21,-3.8264198296081275,-1858.5276058810646,-1857.527605881055,0.0,-3961.9455439307867
22,-4.3456685982336865,-2146.6229857845415,-2145.6229857843377,0.0,-4543.479356646954
23,-4.9276669602237035,-2474.9236825090156,-2473.923682508997,0.0,-5201.6318267264505
24,-5.578940252287417,-2848.3985119635636,-2847.3985119630197,0.0,-5945.266122874242
25,-6.306576333632023,-3272.5480747679417,-3271.548074767438,0.0,-6784.12235566217
26,-6.90701754825286,-3627.5498326011248,-3626.549832601427,0.0,-7482.145781887517
27,-7.335278847282858,-3883.318106089111,-3882.3181060898387,0.0,-7982.9775868917295
28,-7.7871703415057,-4155.387319045979,-4154.387319045968,0.0,-8513.97156831343
29,-8.263817377648536,-4444.681180010256,-4443.6811800099,0.0,-9076.728636931883
