NN_Experiment_Error,KKThPINN_Experiment_Error
0.009137868695643071,0.020346140574106494
0.015587689667771253,0.017905765556072272
0.00929717482280718,0.01770277100490503
0.009987336084594085,0.016844050238784443
0.008115196207854197,0.01707121111479934
0.04035795577819369,0.01752903466794513
0.008290011461466218,0.017613476674228894
0.004688878538874921,0.01975957570220063
0.007387325533901693,0.01736559219155817
0.00844996202345523,0.01927962766670529
0.013576029159664429,0.016967034295218338
0.003454681558389885,0.017707932359728965
0.016188047836168923,0.020496303800349357
0.0078056760908666355,0.018787399395260283
0.009657892401209463,0.017120184390309136
0.010832663155684654,0.01808741085221624
0.01610301318554984,0.018094579830043454
0.0049651156599010695,0.019804241407113354
0.015416383244898463,0.01798384067479049
0.010292828422046896,0.018733887001270454
0.017290028983740467,0.018126463355278486
0.010275411619001085,0.017522627838985214
0.007715748720833639,0.020855404193146465
0.010831780827325475,0.017725233067248644
0.007157794306778681,0.01766285643847045
0.011888475926541105,0.0172924105100515
0.010074834064123458,0.01732485014498863
0.012788462652878635,0.018903255953801303
0.013339598263146374,0.01861130148599362
0.015130312618960006,0.02064419225204948
0.006759766216255892,0.017876609704896372
0.01594703216093734,0.01702403143389473
0.007885414241338273,0.018928391628961833
0.007672965960350582,0.016941665169979886
0.007415081011321267,0.019515175835917678
0.009192692528661329,0.02007877879123519
0.009376242320111094,0.020811563780541158
0.01349424809032889,0.01777242878830394
0.013726478412730125,0.01744081036068419
0.004775083332346134,0.021571966317484828
0.014142124126362348,0.018657377936364707
0.007440541754742213,0.017719301374971456
0.016845743581244133,0.01736015680003258
0.009500980524775472,0.01919559681923062
0.015885768944939427,0.021795125857153378
0.006854640058722032,0.01756997479688226
0.016040628275798018,0.0217413176994705
0.01602334059824767,0.018650364692785613
0.016312303877730354,0.019669176772778057
0.016268071120406558,0.01810949359698076
