Temperature (T),Cao,Ca,Cb,Cc,region_id,f_nonlinear,f_linear,linearization_error,abs_linearization_error
280.0,0.8,0.7949172700404628,1.9898345400809254,0.015248189878611842,0,4.538741344567443e-17,0.1391488507020407,0.13914885070204064,0.13914885070204064
280.0,0.805,0.7998858242215476,1.9897716484430952,0.015342527335357188,0,5.319705721935908e-17,0.13870887159778722,0.13870887159778716,0.13870887159778716
280.0,0.81,0.8048543823427763,1.9897087646855525,0.015436852971671399,0,-3.352556405232521e-17,0.13826888723284536,0.1382688872328454,0.1382688872328454
280.0,0.8150000000000001,0.8098229444032273,1.9896458888064545,0.015531166790318154,0,5.007319970988522e-17,0.13782889760844513,0.13782889760844508,0.13782889760844508
280.0,0.8200000000000001,0.8147915104019803,1.9895830208039604,0.015625468794059284,0,-1.44774871344705e-17,0.13738890272581564,0.13738890272581566,0.13738890272581566
280.0,0.8250000000000001,0.8197600803381144,1.9895201606762287,0.015719758985656664,0,1.1241821275959074e-17,0.13694890258618608,0.13694890258618608,0.13694890258618608
280.0,0.8300000000000001,0.8247286542107097,1.9894573084214193,0.01581403736787098,0,1.1224880617013988e-17,0.13650889719078493,0.13650889719078493,0.13650889719078493
280.0,0.8350000000000001,0.8296972320188464,1.9893944640376926,0.015908303943460964,0,-2.877540328412309e-17,0.13606888654084026,0.1360688865408403,0.1360688865408403
280.0,0.8400000000000001,0.8346658137616048,1.9893316275232094,0.016002558715186264,0,-2.5648157642860214e-17,0.13562887063757986,0.1356288706375799,0.1356288706375799
280.0,0.8450000000000001,0.8396343994380657,1.9892687988761313,0.016096801685803255,0,-2.331712297201638e-17,0.13518884948223092,0.13518884948223095,0.13518884948223095
280.0,0.8500000000000001,0.8446029890473103,1.9892059780946205,0.01619103285806911,0,3.669346727505629e-17,0.13474882307602037,0.13474882307602035,0.13474882307602035
280.0,0.855,0.8495715825884201,1.9891431651768403,0.016285252234739835,0,-2.6159765543001812e-17,0.13430879142017443,0.13430879142017446,0.13430879142017446
280.0,0.86,0.8545401800604768,1.9890803601209537,0.01637945981856925,0,3.86450311855302e-17,0.1338687545159194,0.13386875451591937,0.13386875451591937
280.0,0.865,0.8595087814625626,1.9890175629251252,0.016473655612311885,0,2.3649159887340065e-17,0.1334287123644805,0.13342871236448048,0.13342871236448048
280.0,0.87,0.8644773867937597,1.9889547735875195,0.016567839618720534,0,4.111497925972374e-17,0.13298866496708306,0.13298866496708303,0.13298866496708303
280.0,0.875,0.8694459960531511,1.9888919921063022,0.016662011840546703,0,-3.2414256825527565e-17,0.1325486123249516,0.13254861232495163,0.13254861232495163
280.0,0.88,0.8744146092398195,1.988829218479639,0.016756172280541385,0,-7.453889935837843e-20,0.13210855443931066,0.13210855443931066,0.13210855443931066
280.0,0.885,0.8793832263528485,1.988766452705697,0.016850320941454833,0,-1.8912551646294018e-17,0.13166849131138397,0.131668491311384,0.131668491311384
280.0,0.89,0.8843518473913217,1.9887036947826433,0.016944457826035025,0,-3.095397202446115e-17,0.13122842294239492,0.13122842294239495,0.13122842294239495
280.0,0.895,0.889320472354323,1.988640944708646,0.01703858293703108,0,2.3005414847426797e-18,0.13078834933356662,0.13078834933356662,0.13078834933356662
280.0,0.9,0.8942891012409369,1.9885782024818737,0.017132696277189503,0,-3.452506293008528e-18,0.13034827048612158,0.13034827048612158,0.13034827048612158
280.0,0.905,0.8992577340502479,1.9885154681004957,0.017226797849256407,0,-3.9302328752599536e-17,0.12990818640128188,0.1299081864012819,0.1299081864012819
280.0,0.91,0.9042263707813409,1.9884527415626818,0.01732088765597716,0,2.5275463146068322e-18,0.12946809708026946,0.12946809708026946,0.12946809708026946
280.0,0.915,0.9091950114333014,1.9883900228666027,0.017414965700095965,0,-1.0977546996415732e-17,0.1290280025243054,0.1290280025243054,0.1290280025243054
280.0,0.92,0.9141636560052148,1.9883273120104294,0.01750903198435573,0,-2.727446090158847e-18,0.1285879027346107,0.1285879027346107,0.1285879027346107
280.0,0.925,0.919132304496167,1.988264608992334,0.017603086511499298,0,-2.668153783851046e-17,0.12814779771240584,0.12814779771240586,0.12814779771240586
280.0,0.93,0.9241009569052443,1.9882019138104885,0.01769712928426736,0,-3.4413254581047714e-17,0.1277076874589108,0.12770768745891084,0.12770768745891084
280.0,0.935,0.9290696132315331,1.9881392264630662,0.017791160305400847,0,-6.2002811739014785e-19,0.12726757197534527,0.12726757197534527,0.12726757197534527
280.0,0.9400000000000001,0.9340382734741205,1.9880765469482409,0.017885179577638535,0,-2.3998137461608837e-17,0.12682745126292827,0.1268274512629283,0.1268274512629283
280.0,0.9450000000000001,0.9390069376320934,1.9880138752641867,0.017979187103719697,0,4.641740550953566e-18,0.12638732532287877,0.12638732532287877,0.12638732532287877
280.0,0.95,0.9439756057045394,1.987951211409079,0.018073182886381857,0,-4.8707782598911287e-17,0.12594719415641492,0.12594719415641498,0.12594719415641498
280.0,0.9550000000000001,0.9489442776905465,1.9878885553810928,0.018167166928360727,0,2.442843019881402e-18,0.12550705776475485,0.12550705776475485,0.12550705776475485
280.0,0.96,0.9539129535892024,1.9878259071784048,0.01826113923239305,0,-4.604471101274377e-18,0.12506691614911591,0.12506691614911591,0.12506691614911591
280.0,0.9650000000000001,0.958881633399596,1.9877632667991918,0.018355099801212405,0,-3.247185506594086e-17,0.12462676931071515,0.12462676931071517,0.12462676931071517
280.0,0.97,0.9638503171208156,1.9877006342416312,0.01844904863755342,0,-5.468783520652665e-17,0.1241866172507693,0.12418661725076935,0.12418661725076935
280.0,0.975,0.9688190047519505,1.987638009503901,0.01854298574414833,0,4.8650184358497994e-17,0.1237464599704947,0.12374645997049465,0.12374645997049465
280.0,0.98,0.9737876962920902,1.9875753925841804,0.018636911123729328,0,4.0915079484171724e-17,0.1233062974711069,0.12330629747110686,0.12330629747110686
280.0,0.985,0.9787563917403242,1.9875127834806485,0.018730824779027187,0,7.318364664277155e-18,0.1228661297538214,0.12286612975382138,0.12286612975382138
280.0,0.99,0.9837250910957427,1.9874501821914854,0.018824726712771973,0,1.5744648423562935e-17,0.12242595681985323,0.12242595681985322,0.12242595681985322
280.0,0.995,0.9886937943574359,1.9873875887148718,0.018918616927692363,0,2.320870275476783e-18,0.12198577867041689,0.12198577867041689,0.12198577867041689
280.0,1.0,0.9936625015244944,1.9873250030489888,0.019012495426516635,0,-5.346471963069144e-18,0.12154559530672648,0.12154559530672648,0.12154559530672648
280.0,1.005,0.9986312125960092,1.9872624251920186,0.019106362211972112,0,1.052014920489841e-17,0.12110540672999578,0.12110540672999577,0.12110540672999577
280.0,1.01,1.0035999275710719,1.9871998551421435,0.01920021728678488,0,-6.906706651911565e-17,0.12066521294143788,0.12066521294143795,0.12066521294143795
280.0,1.0150000000000001,1.0085686464487735,1.987137292897547,0.019294060653679588,0,6.367316071100027e-17,0.12022501394226602,0.12022501394226595,0.12022501394226595
280.0,1.02,1.0135373692282064,1.9870747384564125,0.01938789231538096,0,-7.443047914112988e-17,0.11978480973369215,0.11978480973369222,0.11978480973369222
280.0,1.025,1.0185060959084624,1.9870121918169248,0.019481712274613004,0,-1.0004814359788894e-16,0.11934460031692863,0.11934460031692873,0.11934460031692873
280.0,1.03,1.0234748264886344,1.9869496529772688,0.019575520534096783,0,1.6263032587282567e-17,0.11890438569318709,0.11890438569318708,0.11890438569318708
280.0,1.035,1.028443560967815,1.9868871219356303,0.019669317096554634,0,-4.3249502286804575e-17,0.1184641658636785,0.11846416586367854,0.11846416586367854
280.0,1.04,1.0334122993450978,1.9868245986901953,0.019763101964706622,0,-6.386289609118523e-17,0.11802394082961375,0.11802394082961382,0.11802394082961382
280.0,1.045,1.0383810416195756,1.9867620832391513,0.019856875141273194,0,4.383564908630455e-17,0.11758371059220327,0.11758371059220322,0.11758371059220322
280.0,1.05,1.0433497877903428,1.9866995755806856,0.019950636628971653,0,6.423897871976614e-18,0.11714347515265672,0.11714347515265672,0.11714347515265672
280.0,1.055,1.048318537856493,1.9866370757129863,0.020044386430520787,0,1.0128481170088022e-16,0.11670323451218391,0.11670323451218381,0.11670323451218381
280.0,1.06,1.0532872918171212,1.9865745836342423,0.020138124548636456,0,1.686273191393861e-17,0.11626298867199358,0.11626298867199357,0.11626298867199357
280.0,1.065,1.0582560496713216,1.9865120993426433,0.020231850986034902,0,-1.3261147822213326e-17,0.11582273763329469,0.1158227376332947,0.1158227376332947
280.0,1.07,1.0632248114181895,1.986449622836379,0.020325565745431432,0,1.115644035487584e-16,0.11538248139729554,0.11538248139729543,0.11538248139729543
280.0,1.075,1.0681935770568203,1.9863871541136404,0.0204192688295393,0,-8.899266957032581e-17,0.11494221996520347,0.11494221996520355,0.11494221996520355
280.0,1.08,1.0731623465863096,1.9863246931726188,0.020512960241071732,0,-1.0650253465596671e-16,0.11450195333822644,0.11450195333822655,0.11450195333822655
280.0,1.085,1.078131120005753,1.9862622400115062,0.02060663998274075,0,-1.5100903383649666e-17,0.1140616815175714,0.11406168151757141,0.11406168151757141
280.0,1.09,1.0830998973142476,1.986199794628495,0.020700308057257477,0,-1.836367429647323e-17,0.11362140450444466,0.11362140450444468,0.11362140450444468
280.0,1.095,1.0880686785108893,1.9861373570217786,0.02079396446733186,0,-7.281095214597966e-18,0.11318112230005255,0.11318112230005256,0.11318112230005256
280.0,1.1,1.0930374635947755,1.9860749271895508,0.020887609215673793,0,-2.9984966332802232e-18,0.11274083490560076,0.11274083490560076,0.11274083490560076
280.0,1.105,1.098006252565003,1.9860125051300062,0.020981242304990693,0,6.1453934389194e-17,0.11230054232229467,0.11230054232229461,0.11230054232229461
280.0,1.1099999999999999,1.1029750454206697,1.9859500908413394,0.021074863737990803,0,-1.007291580874814e-16,0.11186024455133897,0.11186024455133907,0.11186024455133907
