region_id,T_low,T_high,C_low,C_high,Tss,Caoss,Cass,Cbss,Ccss,fss,aT,aCao,aCa,aCb,aCc,b,h_T,h_C,M_TT,M_TC,M_CC,estimated_cell_taylor_bound
0,280.0,325.0,0.8,1.2,302.5,1.0,0.9156200161192216,1.8312400322384432,0.2531399516423351,-5.5797380604794e-15,-0.01003307239880665,1.0,-1.09639280668188,-0.09639280668187993,0.01532432672870572,-3.2115227670546913,45.0,0.3999999999999999,0.0009612305248088732,0.017471412045148998,0.6262606858635075,0.3679038489639554
1,325.0,370.0,0.8,1.2,347.5,1.0,0.5326761743545897,1.0653523487091796,1.4019714769362306,-8.704148513061227e-14,-0.05505561672304325,1.0,-4.358164420971287,-3.358164420971286,0.9425943200064778,-22.709455164490887,45.0,0.3999999999999999,0.003550868562996569,0.05711592385408557,31.624173169990698,1.967150598326876
2,370.0,415.0,0.8,0.9,392.5,0.8500000000000001,0.3420538596563684,0.9841077193127369,1.5238384210308946,-1.4921397450962104e-12,-0.3039262422373379,1.0,-102.92553647397322,-70.85407921160541,22.545747983490983,-189.01909637509212,45.0,0.09999999999999998,0.007783149681175593,0.5901482342754721,707.6791765401509,3.8704880470109333
3,370.0,415.0,0.9,1.0,392.5,0.95,0.4117069143090763,0.923413828618149,1.6148792570727746,-1.5845103007450234e-12,-0.3220841379869648,1.0,-90.74091169060533,-80.02252661672186,22.545747983490983,-200.31193183872855,45.0,0.09999999999999998,0.00820371168473644,0.3883094067235725,605.0670677348453,3.5967210811746355
4,370.0,415.0,1.0,1.1,392.5,1.05,0.4854454716706375,0.8708909433412745,1.6936635849880883,-1.6555645743210334e-12,-0.3377974999812743,1.0,-80.82249118718498,-88.98810391946773,22.545747983490983,-210.08445251122677,45.0,0.10000000000000009,0.00861587979755274,0.22962661586717512,514.048004560528,3.389962974537448
5,370.0,415.0,1.1,1.2,392.5,1.15,0.5625938844163998,0.8251877688328014,1.7622183467507988,-1.7053025658242404e-12,-0.35147059736644204,1.0,-72.66437099673824,-97.71821245082492,22.545747983490983,-218.58808317295438,45.0,0.09999999999999987,0.009012204125709591,0.10832043311227697,436.3186300478157,3.243320238544453
6,415.0,437.5,0.8,0.8500000000000001,426.25,0.8250000000000001,0.2978408126277158,0.9456816252554046,1.5814775621168795,-8.895995051716454e-12,-1.6757852302148706,1.0,-836.7505415640709,-526.4364111680171,157.06417037850943,-1212.1446952860813,22.5,0.050000000000000044,0.017763868894506266,1.7893480321910795,2566.4383885640095,2.672324554856518
7,415.0,437.5,0.8500000000000001,0.9,426.25,0.875,0.3308290638463913,0.9116581276927664,1.6325128084608422,-9.094947017729282e-12,-1.7298638425785544,1.0,-777.6954869136363,-563.7056984939205,157.06417037850943,-1251.2613445578195,22.5,0.04999999999999993,0.018234741865106367,1.4497849850657312,2371.3187997150644,2.53297705167315
8,415.0,437.5,0.9,0.95,426.25,0.925,0.3651173242351287,0.8802346484702537,1.6796480272946177,-9.43600753089413e-12,-1.7798098585301627,1.0,-725.075219286096,-600.6862080926993,157.06417037850943,-1287.3887654198888,22.5,0.04999999999999993,0.018713010721606582,1.1481932559737098,2184.430311790904,2.408721188944321
9,415.0,437.5,0.95,1.0,426.25,0.975,0.40059293651285904,0.851185873025714,1.723221190461427,-9.606537787476555e-12,-1.8259814040631461,1.0,-678.0731308520755,-637.3007878005382,157.06417037850943,-1320.7860009258925,22.5,0.050000000000000044,0.01919511403726,0.8815953519010256,2008.3166829494337,2.2992623129456446
10,415.0,437.5,1.0,1.05,426.25,1.025,0.4371494191849423,0.8242988383698879,1.7635517424451697,-9.890754881780595e-12,-1.8687169729764985,1.0,-635.9742896721466,-673.4903144507216,157.06417037850943,-1351.6978935863328,22.5,0.050000000000000044,0.019677246774157393,0.6483164571889395,1844.3982401129579,2.204305648651521
11,415.0,437.5,1.05,1.1,426.25,1.0750000000000002,0.4746877091207939,0.7993754182415229,1.8009368726376835,-1.000444171950221e-11,-1.908331476847433,1.0,-598.1567467394893,-709.21112065057,157.06417037850943,-1380.3522281978069,22.5,0.050000000000000044,0.02015582072662641,0.4458303893273835,1693.2436832689514,2.123015376214373
12,415.0,437.5,1.1,1.2,426.25,1.15,0.5326390266347151,0.7652780532694182,1.8520829200958666,-1.0459189070388675e-11,-1.9625274976873168,1.0,-548.2997916286005,-761.8491789880511,157.06417037850943,-1419.553802470099,22.5,0.09999999999999987,0.021090363684193203,0.27118872860877885,1554.8126136052447,3.773752404113274
13,437.5,448.75,0.8,0.8500000000000001,443.125,0.8250000000000001,0.28649771334253243,0.9229954266849454,1.6155068599725224,-2.1259438653942198e-11,-3.70144879427583,1.0,-2095.140575422782,-1300.0421647402902,371.04638726198834,-2840.1374695163613,11.25,0.050000000000000044,0.02758850804925383,3.0069581472979436,4660.31357291173,2.547226329721318
14,437.5,448.75,0.8500000000000001,0.9,443.125,0.875,0.3191929873723178,0.888385974744496,1.6674210378831862,-2.1827872842550278e-11,-3.8203945418887564,1.0,-1941.0374809661164,-1394.0930558745908,371.04638726198834,-2931.4050497021367,11.25,0.04999999999999993,0.028305404653392676,2.4242498690768284,4302.170595733574,2.346452675667423
15,437.5,448.75,0.9,0.95,443.125,0.925,0.3532504915604513,0.856500983120872,1.7152485253186769,-2.2851054382044822e-11,-3.9299768656087366,1.0,-1804.2770889305332,-1487.4671031043383,371.04638726198834,-3015.488034741693,11.25,0.04999999999999993,0.029037119342354412,1.9073011271515912,3958.435851891957,2.1610618994995434
16,437.5,448.75,0.95,1.0,443.125,0.975,0.3885501874992559,0.8271003749984939,1.7593494375022503,-2.3305801732931286e-11,-4.031020861318609,1.0,-1682.6018201777256,-1579.9453664383484,371.04638726198834,-3093.0195242300993,11.25,0.050000000000000044,0.029777463854239294,1.4512300392839412,3634.2514763806375,1.9919587537022534
17,437.5,448.75,1.0,1.05,443.125,1.025,0.4249783145435093,0.7999566290870308,1.8000650563694598,-2.3646862246096134e-11,-4.124308474078596,1.0,-1574.0394582744614,-1671.3597547178665,371.04638726198834,-3164.599507951909,11.25,0.050000000000000044,0.03051985054576244,1.0532122870430367,3332.5351498750306,1.839594663817497
18,437.5,448.75,1.05,1.1,443.125,1.0750000000000002,0.4624289575803416,0.7748579151605566,1.837713127259102,-2.432898327242583e-11,-4.210567721906038,1.0,-1476.8794330419719,-1761.5858969304002,371.04638726198834,-3230.786597241342,11.25,0.050000000000000044,0.031258090812890285,0.7088296499938804,3054.5086938478184,1.7035984912882518
19,437.5,448.75,1.1,1.15,443.125,1.125,0.5008048029464265,0.7516096058927475,1.872585591160826,-2.467004378559068e-11,-4.290467499901801,1.0,-1389.6454553642773,-1850.5359915141764,371.04638726198834,-3292.0940381663004,11.25,0.04999999999999982,0.03198681909314968,0.41287168193199913,2800.17939319137,1.5830733760364364
20,437.5,448.75,1.15,1.2,443.125,1.1749999999999998,0.540017309985392,0.7300346199709384,1.9049480700436696,-2.5011104298755527e-11,-4.364616401035363,1.0,-1311.0674162103765,-1938.1521441533916,371.04638726198834,-3348.9888067116763,11.25,0.050000000000000044,0.03270165926715122,0.15989944611495857,2568.7419190421656,1.4768249960039923
21,448.75,460.0,0.8,0.8250000000000001,454.375,0.8125,0.2716690402193382,0.9183380804387079,1.6224928793419542,-3.7061909097246826e-11,-6.032712057414244,1.0,-3796.708993864547,-2245.7450938383786,635.217449319886,-4803.466779717781,11.25,0.025000000000000022,0.04358815733124147,5.155824068433065,8647.07862563239,1.9004151844905017
22,448.75,460.0,0.8250000000000001,0.8500000000000001,454.375,0.8375000000000001,0.28755286090276844,0.9001057218056531,1.6498414172915785,-3.524291969370097e-11,-6.1343987006913,1.0,-3647.4878169581098,-2329.8552128075353,635.217449319886,-4884.433417653399,11.25,0.025000000000000022,0.04413784226034184,4.628316116639671,8308.865314684828,1.8401163410248245
