region_id,T_low,T_high,C_low,C_high,estimated_cell_taylor_bound,n_points,mean_abs_linearization_error,max_abs_linearization_error,rmse_linearization_error
0,280.0,325.0,0.8,1.2,0.3679038489639554,45,0.03938001152092228,0.13914885070204064,0.051557801717799195
1,325.0,370.0,0.8,1.2,1.967150598326876,38,0.24999756295896058,1.0117535180764452,0.35955910663378493
2,370.0,415.0,0.8,0.9,3.870488047010933,11,0.30261939066563087,1.5996206758417988,0.528420528247033
3,370.0,415.0,0.9,1.0,3.5967210811746355,4,0.3561692382611944,0.793830240948372,0.47580197640191607
4,370.0,415.0,1.0,1.1,3.389962974537448,8,0.5086613335111149,1.7371654906664613,0.7150029716245657
5,370.0,415.0,1.1,1.2,3.243320238544453,18,0.4088370562205207,1.7649812541120138,0.6000409785649198
6,415.0,437.5,0.8,0.8500000000000001,2.672324554856518,0,,,
7,415.0,437.5,0.8500000000000001,0.9,2.53297705167315,5,0.3891506332444913,0.7612816213728442,0.45863494151157036
8,415.0,437.5,0.9,0.95,2.408721188944321,0,,,
9,415.0,437.5,0.95,1.0,2.2992623129456446,0,,,
10,415.0,437.5,1.0,1.05,2.204305648651521,7,0.5164346028129198,1.0564330907341235,0.6142193931853159
11,415.0,437.5,1.05,1.1,2.123015376214373,2,0.5698116913551838,0.6074030758402973,0.5710503268474355
12,415.0,437.5,1.1,1.2,3.773752404113274,8,0.5712644634746162,0.9997552327530101,0.6264379242433052
13,437.5,448.75,0.8,0.8500000000000001,2.547226329721318,1,0.7499079408248828,0.7499079408248828,0.7499079408248828
14,437.5,448.75,0.8500000000000001,0.9,2.346452675667423,3,0.5763266357372484,1.2674315048506544,0.7621237253261778
15,437.5,448.75,0.9,0.95,2.1610618994995434,0,,,
16,437.5,448.75,0.95,1.0,1.9919587537022532,1,0.4253366955132529,0.4253366955132529,0.4253366955132529
17,437.5,448.75,1.0,1.05,1.839594663817497,4,0.7778342303985648,1.0580627355380336,0.797012482805596
18,437.5,448.75,1.05,1.1,1.7035984912882518,0,,,
19,437.5,448.75,1.1,1.15,1.5830733760364364,3,0.20494984426327478,0.2715308292589542,0.22053202447369885
20,437.5,448.75,1.15,1.2,1.4768249960039923,1,0.03784700194514112,0.03784700194514112,0.03784700194514112
21,448.75,460.0,0.8,0.8250000000000001,1.9004151844905015,1,1.3143368245563125,1.3143368245563125,1.3143368245563125
22,448.75,460.0,0.8250000000000001,0.8500000000000001,1.8401163410248245,0,,,
23,448.75,460.0,0.8500000000000001,0.9,4.168909477384208,2,0.3488977437340637,0.4415176902082685,0.3609821187643578
24,448.75,460.0,0.9,0.95,3.826981001468957,0,,,
25,448.75,460.0,0.95,1.0,3.5145081855052727,1,0.7233905209841307,0.7233905209841307,0.7233905209841307
26,448.75,460.0,1.0,1.05,3.232645639947564,3,1.1884003864923898,1.6449525524384363,1.296185115889007
27,448.75,460.0,1.05,1.1,2.980900495673194,0,,,
28,448.75,460.0,1.1,1.15,2.7577184133153305,3,0.4504783043832348,0.5470814952295378,0.46836496515714765
29,448.75,460.0,1.15,1.2,2.5609372924398377,1,1.7008588966595752,1.7008588966595752,1.7008588966595752
