Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00624,0.00098
2,0.00787,0.00119
3,0.00589,0.00136
4,0.00582,0.00102
5,0.00808,0.00039
6,0.00687,0.00097
7,0.00591,0.00424
8,0.00645,0.00075
9,0.00577,0.00115
10,0.00554,0.00098
11,0.00788,0.00102
12,0.00497,0.00121
13,0.00577,0.00092
14,0.00805,0.00086
15,0.00556,0.00073
16,0.00585,0.00135
17,0.00517,0.00071
18,0.01046,0.00126
19,0.00306,0.00107
20,0.00735,0.00112
21,0.00616,0.0022
22,0.00637,0.00083
23,0.00671,0.00034
24,0.0072,0.00084
25,0.00585,0.00097
26,0.00527,0.00168
27,0.00679,0.00093
28,0.0052,0.00067
29,0.00492,0.00087
30,0.00499,0.00275
31,0.00743,0.00105
32,0.0041,0.00103
33,0.00633,0.00064
34,0.01238,0.00105
35,0.00515,0.00091
36,0.00586,0.00093
37,0.00484,0.00144
38,0.00693,0.00121
39,0.00439,0.0008
40,0.00533,0.00084
41,0.00624,0.00314
42,0.00277,0.00088
43,0.0097,0.00098
44,0.00636,0.00113
45,0.00588,0.00076
46,0.00572,0.00157
47,0.00887,0.00093
48,0.00843,0.00123
49,0.00564,0.00055
50,0.00702,0.00127
