Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00502,0.00067
2,0.00353,0.00118
3,0.00447,0.00069
4,0.00288,0.00121
5,0.00731,0.00087
6,0.00891,0.00072
7,0.0057,0.00079
8,0.0063,0.00124
9,0.00644,0.00066
10,0.00386,0.00062
11,0.00527,0.00146
12,0.0052,0.00077
13,0.00506,0.00089
14,0.00519,0.00142
15,0.01093,0.00198
16,0.00574,0.00123
17,0.00274,0.00062
18,0.00959,0.00068
19,0.00792,0.00179
20,0.0066,0.00087
21,0.00661,0.00175
22,0.00553,0.00142
23,0.00942,0.00056
24,0.00236,0.00089
25,0.00425,0.00085
26,0.00223,0.00086
27,0.00905,0.00096
28,0.00321,0.00168
29,0.0063,0.00061
30,0.0018,0.00155
31,0.00629,0.00109
32,0.0053,0.00112
33,0.00863,0.00079
34,0.00681,0.00063
35,0.00626,0.00235
36,0.00642,0.00164
37,0.00521,0.00077
38,0.00239,0.00162
39,0.00737,0.0007
40,0.00203,0.00079
41,0.00356,0.00059
42,0.00517,0.00087
43,0.01008,0.00082
44,0.00651,0.00149
45,0.00643,0.00192
46,0.00547,0.00122
47,0.00629,0.00149
48,0.00716,0.00076
49,0.00804,0.00073
50,0.00637,0.00136
