Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.05977,0.04875
2,0.05546,0.01814
3,0.07047,0.01545
4,0.07825,0.01595
5,0.0647,0.03742
6,0.04386,0.02201
7,0.06531,0.02855
8,0.07747,0.02154
9,0.07569,0.0204
10,0.07705,0.01459
11,0.0559,0.02823
12,0.06422,0.01515
13,0.05419,0.01378
14,0.06593,0.01736
15,0.09426,0.04154
16,0.06059,0.01667
17,0.07019,0.0165
18,0.07621,0.03644
19,0.04297,0.01845
20,0.07239,0.01931
21,0.06698,0.04094
22,0.06312,0.02188
23,0.03346,0.02278
24,0.07866,0.04081
25,0.07241,0.01844
26,0.07827,0.02291
27,0.07239,0.0277
28,0.08008,0.02065
29,0.06938,0.02986
30,0.04009,0.03003
31,0.07329,0.04019
32,0.06456,0.02775
33,0.06653,0.02181
34,0.07905,0.01868
35,0.05957,0.02123
36,0.07174,0.03127
37,0.06185,0.01498
38,0.05451,0.02044
39,0.0895,0.03668
40,0.04963,0.02015
41,0.05329,0.051
42,0.06507,0.02414
43,0.06612,0.02612
44,0.0699,0.04302
45,0.05025,0.03132
46,0.071,0.01494
47,0.05896,0.03691
48,0.06468,0.02728
49,0.06845,0.03011
50,0.05908,0.02617
