Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.0006,0.00072
2,0.00059,0.00102
3,0.0069,0.00173
4,0.00088,0.00416
5,0.00089,0.00202
6,0.00056,0.00572
7,0.00218,0.00043
8,0.00051,0.0006
9,0.00773,0.00042
10,0.00229,0.00046
11,0.00049,0.00046
12,0.00121,0.00273
13,0.00051,0.00074
14,0.00061,0.00225
15,0.00051,0.00087
16,0.00359,0.00114
17,0.00506,0.00041
18,0.00316,0.00132
19,0.00104,0.00123
20,0.00452,0.00256
21,0.0006,0.00052
22,0.00124,0.00275
23,0.00847,0.00054
24,0.00053,0.00051
25,0.00076,0.00294
26,0.00051,0.0008
27,0.00166,0.00073
28,0.00519,0.00661
29,0.00042,0.00236
30,0.00047,0.00039
