segmentation_type,n_regions,model_id,projection_projection_mae_scaled,projection_projection_max_abs_scaled,projection_projection_rmse_scaled,projection_violation,projection_violation_original_nonlinear,experiment_rmse_total,experiment_violation,experiment_violation_original_nonlinear
uniform,1,uniform_S1,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.1215302187753238,0.5754753155040595,80.82701873779297
uniform,2,uniform_S2,0.019027614664894187,0.24734779004188517,0.045529730556132374,0.05898083407342054,8.284012603387236,0.06574563938677927,0.039975838982379885,5.614711582660675
uniform,3,uniform_S3,0.009182182977613288,0.1959263253934127,0.027230776514097207,0.021268217939700972,2.9871770177036523,0.09703538136750439,0.02111912286560372,2.9662362337112427
uniform,5,uniform_S5,0.004175488048104473,0.062369768402208536,0.010581477770628492,0.006346378191181425,0.8913654740899801,0.062070481262524305,0.005502287836308389,0.772810772061348
uniform,7,uniform_S7,0.0016280991888436643,0.03153772267983279,0.004357152503207796,0.002976578046525407,0.4180682195350528,0.07746497565757285,0.002966164005361791,0.41660553961992264
uniform,9,uniform_S9,0.0009893355720537256,0.01689795456516141,0.0025782852883850407,0.0016482812836374264,0.23150542255025358,0.051609671788500754,0.004339993789788236,0.609563484787941
uniform,11,uniform_S11,0.0006798786829223515,0.014343769099388504,0.001843446609241962,0.0011124307724449656,0.15624383240938186,0.07239218878904677,0.0047893674541916904,0.672679215669632
uniform,30,uniform_S30,9.619716052801653e-05,0.0022458693848820266,0.0002593087956693428,0.000127267009262173,0.017874984804075213,0.07818796493764102,0.00043185412477631294,0.06065504252910614
uniform,90,uniform_S90,6.009638555014327e-06,0.00024157810227198873,2.5087749862751132e-05,8.455713495903843e-06,0.0011876271475557588,0.083846386867674,0.0014126380384272884,0.1984087135642767
adaptive,1,adaptive_S1,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.12320543595675983,0.5781749920422565,81.20620346069336
adaptive,2,adaptive_S2,0.019027614664894187,0.24734779004188517,0.045529730556132374,0.05898083407342054,8.284012603387236,0.06799059064871464,0.04156759859858645,5.838278293609619
adaptive,3,adaptive_S3,0.01849340536842445,0.24734779004188517,0.04548476016286268,0.01281671375477852,1.8001410819590091,0.0629402701718222,0.010019538606227538,1.4072704911231995
adaptive,5,adaptive_S5,0.006378308554914329,0.10575707205570417,0.01647415846610297,0.0031603776415983138,0.4438833279535174,0.08340978528453825,0.0037622242454833283,0.528414249420166
adaptive,7,adaptive_S7,0.006253977350227757,0.10575707205570417,0.01646299772168157,0.0012716298586331442,0.17860375065356493,0.07629284899577772,0.0017581356425030168,0.24693474918603897
adaptive,9,adaptive_S9,0.0062462256110340664,0.10575707205570417,0.01646294506889538,0.0008136616684187422,0.11428091619163752,0.06855070824316647,0.0012558102226100524,0.17638183385133743
adaptive,11,adaptive_S11,0.004526561226916375,0.10575707205570417,0.014223916019286537,0.00048198612377790666,0.06769621651619673,0.11613199086358451,0.0024074838220756968,0.3381374180316925
adaptive,30,adaptive_S30,0.0006902215040005214,0.024500415713806456,0.0024723846336213743,5.109920503447233e-05,0.0071770173730328676,0.07144007993214305,0.00474305258932036,0.6661742255091667
adaptive,90,adaptive_S90,8.098533193254499e-05,0.003385525152968971,0.00031919263274569117,4.482314167040963e-06,0.0006295527855399996,0.05747035357080529,0.001564721519217155,0.21976926736533642
