segmentation_type,n_regions,model_id,projection_mae_scaled,projection_max_abs_scaled,projection_rmse_scaled,violation,violation_original_nonlinear
uniform,1,uniform_S1_projection,0.06311948043342945,0.4522144080946162,0.13095186897887431,0.5144489329452813,72.25570678710938
uniform,2,uniform_S2_projection,0.019027614664894187,0.24734779004188517,0.047013597528311676,0.03554908556353071,4.992962837219238
uniform,3,uniform_S3_projection,0.009182182977613288,0.1959263253934127,0.028121767731722137,0.012682597135286702,1.781304121017456
uniform,5,uniform_S5_projection,0.004175488048104473,0.062369768402208536,0.010928023940742288,0.0037746290076777576,0.5301565527915955
uniform,7,uniform_S7_projection,0.0016280991888436643,0.03153772267983279,0.004499804544678403,0.0018273298482722345,0.2566532790660858
uniform,9,uniform_S9_projection,0.0009893355720537256,0.01689795456516141,0.002662713956791059,0.0010254121185977925,0.14402182400226593
uniform,11,uniform_S11_projection,0.0006798786829223515,0.014343769099388504,0.0019038331715730428,0.0007412692586287295,0.10411321371793747
uniform,30,uniform_S30_projection,9.619716052801653e-05,0.0022458693848820266,0.0002678070033551949,9.290160234686674e-05,0.013048272579908371
uniform,90,uniform_S90_projection,6.009638555014327e-06,0.00024157810227198873,2.5910071618213365e-05,6.24129537022036e-06,0.0008766063256189227
