segmentation_type,n_regions,repeat,model_id,projection_projection_mae_scaled,projection_projection_max_abs_scaled,projection_projection_rmse_scaled,projection_violation,projection_violation_original_nonlinear,experiment_rmse_total,experiment_violation,experiment_violation_original_nonlinear
uniform,1,0,uniform_S1_r0,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.12219938430596627,0.5554387701185812,78.01283740997314
uniform,1,1,uniform_S1_r1,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.1311201085115164,0.57312588277086,80.49703598022461
uniform,1,2,uniform_S1_r2,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.10910265729621549,0.5775995537743112,81.12537574768066
uniform,1,3,uniform_S1_r3,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.11689469553449221,0.5748383871595497,80.7375602722168
uniform,1,4,uniform_S1_r4,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.12622987670959496,0.5747501333996043,80.72516250610352
uniform,1,5,uniform_S1_r5,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.12441341768855753,0.5780023630766211,81.18195343017578
uniform,1,6,uniform_S1_r6,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.12807963634166544,0.5955066057992077,83.64045715332031
uniform,1,7,uniform_S1_r7,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.13344508135294308,0.5689198487250757,79.90628623962402
uniform,1,8,uniform_S1_r8,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.12717437870589712,0.5639511264959204,79.20841979980469
uniform,1,9,uniform_S1_r9,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.11689664152561877,0.5809149490187462,81.59103393554688
uniform,2,0,uniform_S2_r0,0.019027614664894187,0.24734779004188517,0.045529730556132374,0.05898083407342054,8.284012603387236,0.05655602530037758,0.03851221358814533,5.409141540527344
