model,KKThPINN
model_id,MODELID
input_dim,1
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu,1
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,32
dataset_type,cstr
dataset_path,C:\Users\Fateme\Desktop\Research\CSTR\makeup\data.csv
val_ratio,0.2
job,experiment
runs,10
loss_type,MSE
run,1
rmse_total,0.051212713701460744
rmse_unconstrained,0.023600555202218203
rmse_constrained,0.0011145397155857151
violation,22942.16015625
