epoch,batch_idx,phase,batch_size,batch_MSE,batch_RMSE,epoch_MSE,epoch_RMSE
1,0,train,16,0.49847296506778216,0.706026178741116,0.4754822215407459,0.6895521891349095
1,1,train,16,0.4723766855745888,0.6872966503443683,0.4754822215407459,0.6895521891349095
1,2,train,16,0.4633819162661486,0.6807216143668046,0.4754822215407459,0.6895521891349095
1,3,train,16,0.4930255150233916,0.702157756507319,0.4754822215407459,0.6895521891349095
1,4,train,16,0.4821703215928106,0.6943848512120714,0.4754822215407459,0.6895521891349095
1,5,train,16,0.45433506799926454,0.6740438175662354,0.4754822215407459,0.6895521891349095
1,6,train,16,0.4609218741949608,0.6789122728268806,0.4754822215407459,0.6895521891349095
1,7,train,8,0.4791734266070203,0.6922235380330694,0.4754822215407459,0.6895521891349095
1,-1,train,120,0.4754822215407459,0.6895521891349095,0.4754822215407459,0.6895521891349095
2,0,train,16,0.46737683681250003,0.6836496447834227,0.4573361503255576,0.6762663309122802
2,1,train,16,0.45360938744781726,0.6735052987525914,0.4573361503255576,0.6762663309122802
2,2,train,16,0.4494656685295215,0.6704220077902586,0.4573361503255576,0.6762663309122802
2,3,train,16,0.4866702522814103,0.6976175544533052,0.4573361503255576,0.6762663309122802
2,4,train,16,0.42329288527064035,0.6506096258668791,0.4573361503255576,0.6762663309122802
2,5,train,16,0.4693545360056279,0.6850945453042433,0.4573361503255576,0.6762663309122802
2,6,train,16,0.46546515138870975,0.6822500651437929,0.4573361503255576,0.6762663309122802
2,7,train,8,0.4434544848682334,0.6659237830774881,0.4573361503255576,0.6762663309122802
2,-1,train,120,0.4573361503255576,0.6762663309122802,0.4573361503255576,0.6762663309122802
3,0,train,16,0.42384601744334766,0.651034574691197,0.44196416835616714,0.6648038570557238
3,1,train,16,0.4074656812986765,0.6383303856927669,0.44196416835616714,0.6648038570557238
3,2,train,16,0.425483903193564,0.6522912717441219,0.44196416835616714,0.6648038570557238
3,3,train,16,0.43296298987368603,0.6579992324263654,0.44196416835616714,0.6648038570557238
3,4,train,16,0.44178429864139707,0.6646685630006861,0.44196416835616714,0.6648038570557238
3,5,train,16,0.47493595571601926,0.689155973431283,0.44196416835616714,0.6648038570557238
3,6,train,16,0.48599385165337444,0.6971325925915202,0.44196416835616714,0.6648038570557238
3,7,train,8,0.4432406490292724,0.6657632079270169,0.44196416835616714,0.6648038570557238
3,-1,train,120,0.44196416835616714,0.6648038570557238,0.44196416835616714,0.6648038570557238
4,0,train,16,0.42407269233875566,0.6512086396376784,0.4283007128243646,0.6544468754791061
4,1,train,16,0.4250317270169033,0.6519445735773121,0.4283007128243646,0.6544468754791061
4,2,train,16,0.40179567114601883,0.6338735450750558,0.4283007128243646,0.6544468754791061
4,3,train,16,0.4393990095932592,0.6628717897099402,0.4283007128243646,0.6544468754791061
4,4,train,16,0.45157817313567844,0.6719956645214896,0.4283007128243646,0.6544468754791061
4,5,train,16,0.4027346972215304,0.6346138173893872,0.4283007128243646,0.6544468754791061
4,6,train,16,0.41698108550416596,0.645740726223897,0.4283007128243646,0.6544468754791061
4,7,train,8,0.4648126466386051,0.6817716968594436,0.4283007128243646,0.6544468754791061
4,-1,train,120,0.4283007128243646,0.6544468754791061,0.4283007128243646,0.6544468754791061
5,0,train,16,0.3762915046875579,0.6134260384818677,0.4130083065505991,0.6426572232151437
5,1,train,16,0.4280052464727291,0.6542210990733401,0.4130083065505991,0.6426572232151437
5,2,train,16,0.42030609970232097,0.6483101878748482,0.4130083065505991,0.6426572232151437
5,3,train,16,0.4332771318141225,0.6582378991019299,0.4130083065505991,0.6426572232151437
5,4,train,16,0.3766677622724013,0.6137326472271141,0.4130083065505991,0.6426572232151437
5,5,train,16,0.44462536404940683,0.6668023425644265,0.4130083065505991,0.6426572232151437
5,6,train,16,0.3707935209527158,0.6089281738864739,0.4130083065505991,0.6426572232151437
5,7,train,8,0.4540998224535388,0.6738692918166985,0.4130083065505991,0.6426572232151437
5,-1,train,120,0.4130083065505991,0.6426572232151437,0.4130083065505991,0.6426572232151437
6,0,train,16,0.43289749775449266,0.6579494644381836,0.3943418361923706,0.6279664291921747
6,1,train,16,0.36561610323462507,0.6046619743580913,0.3943418361923706,0.6279664291921747
6,2,train,16,0.47050608049107634,0.6859344578682983,0.3943418361923706,0.6279664291921747
6,3,train,16,0.39498138412774053,0.628475444331551,0.3943418361923706,0.6279664291921747
6,4,train,16,0.36286364168104357,0.6023816412217786,0.3943418361923706,0.6279664291921747
6,5,train,16,0.37457282545696585,0.6120235497568421,0.3943418361923706,0.6279664291921747
6,6,train,16,0.371049284422835,0.6091381488815448,0.3943418361923706,0.6279664291921747
6,7,train,8,0.38224787237018526,0.6182619771344388,0.3943418361923706,0.6279664291921747
6,-1,train,120,0.3943418361923706,0.6279664291921747,0.3943418361923706,0.6279664291921747
7,0,train,16,0.36554210110012314,0.6046007782827634,0.3812894394217923,0.6174863880457546
7,1,train,16,0.39671446466436106,0.6298527325211514,0.3812894394217923,0.6174863880457546
7,2,train,16,0.34704058381962555,0.5891015055316235,0.3812894394217923,0.6174863880457546
7,3,train,16,0.3545168296679319,0.5954131587964209,0.3812894394217923,0.6174863880457546
7,4,train,16,0.37763598252678293,0.6145209374193714,0.3812894394217923,0.6174863880457546
7,5,train,16,0.450460444537845,0.6711635006001481,0.3812894394217923,0.6174863880457546
7,6,train,16,0.3644260588805437,0.6036771147563437,0.3812894394217923,0.6174863880457546
7,7,train,8,0.3939790501771243,0.6276775049156408,0.3812894394217923,0.6174863880457546
7,-1,train,120,0.3812894394217923,0.6174863880457546,0.3812894394217923,0.6174863880457546
8,0,train,16,0.40444960035336114,0.6359635212442307,0.3662734689632368,0.6052053114136036
8,1,train,16,0.35433688073215003,0.5952620269529629,0.3662734689632368,0.6052053114136036
8,2,train,16,0.3837537209112853,0.6194785879360846,0.3662734689632368,0.6052053114136036
8,3,train,16,0.3491137558226462,0.5908584905226006,0.3662734689632368,0.6052053114136036
8,4,train,16,0.34365689645170017,0.5862225656281922,0.3662734689632368,0.6052053114136036
8,5,train,16,0.357561488675958,0.5979644543582486,0.3662734689632368,0.6052053114136036
8,6,train,16,0.3663793976450689,0.6052928197534387,0.3662734689632368,0.6052053114136036
8,7,train,8,0.370936011113725,0.6090451634433403,0.3662734689632368,0.6052053114136036
8,-1,train,120,0.3662734689632368,0.6052053114136036,0.3662734689632368,0.6052053114136036
9,0,train,16,0.3345216206935273,0.5783784407233099,0.3488387410636409,0.5906257199476169
9,1,train,16,0.365116543871481,0.6042487433760049,0.3488387410636409,0.5906257199476169
9,2,train,16,0.33964934398788116,0.5827944268675543,0.3488387410636409,0.5906257199476169
9,3,train,16,0.365859490218814,0.6048631995904644,0.3488387410636409,0.5906257199476169
9,4,train,16,0.3587061684837038,0.598920836575005,0.3488387410636409,0.5906257199476169
9,5,train,16,0.3903114866448733,0.6247491389708939,0.3488387410636409,0.5906257199476169
9,6,train,16,0.33316858978796077,0.5772075794616359,0.3488387410636409,0.5906257199476169
9,7,train,8,0.30337668482088587,0.5507964095933141,0.3488387410636409,0.5906257199476169
9,-1,train,120,0.3488387410636409,0.5906257199476169,0.3488387410636409,0.5906257199476169
10,0,train,16,0.3087746003546992,0.5556749052770866,0.3382538666510321,0.5815959651261622
10,1,train,16,0.4075301538914251,0.6383808846538445,0.3382538666510321,0.5815959651261622
10,2,train,16,0.3310993675655116,0.5754123456839553,0.3382538666510321,0.5815959651261622
10,3,train,16,0.3195597680694718,0.565296177299539,0.3382538666510321,0.5815959651261622
10,4,train,16,0.34655456924220857,0.5886888560540352,0.3382538666510321,0.5815959651261622
10,5,train,16,0.32080295858534486,0.5663947021162405,0.3382538666510321,0.5815959651261622
10,6,train,16,0.32962606587581017,0.5741307045227682,0.3382538666510321,0.5815959651261622
10,7,train,8,0.3420834496237856,0.5848790042596722,0.3382538666510321,0.5815959651261622
