nT_regions,nC_regions,num_regions,NN_RMSE_mean,NN_RMSE_ci95,KKThPINN_RMSE_mean,KKThPINN_RMSE_ci95,NN_PL_Violation_mean,NN_PL_Violation_ci95,KKThPINN_PL_Violation_mean,KKThPINN_PL_Violation_ci95,NN_Original_Nonlinear_Violation_mean,NN_Original_Nonlinear_Violation_ci95,KKThPINN_Original_Nonlinear_Violation_mean,KKThPINN_Original_Nonlinear_Violation_ci95,NN_Experiment_Time_sec_mean,NN_Experiment_Time_sec_ci95,KKThPINN_Experiment_Time_sec_mean,KKThPINN_Experiment_Time_sec_ci95,NN_Training_Error_mean,NN_Training_Error_ci95,KKThPINN_Training_Error_mean,KKThPINN_Training_Error_ci95,NN_Training_Time_sec_mean,NN_Training_Time_sec_ci95,KKThPINN_Training_Time_sec_mean,KKThPINN_Training_Time_sec_ci95,NN_RMSE_pooled_mean,NN_RMSE_pooled_ci95,NN_PL_Violation_pooled_mean,NN_PL_Violation_pooled_ci95,NN_Original_Nonlinear_Violation_pooled_mean,NN_Original_Nonlinear_Violation_pooled_ci95,NN_Experiment_Time_sec_pooled_mean,NN_Experiment_Time_sec_pooled_ci95
1,3,3,0.0706603181906107,0.00580124475768222,0.15769324138328644,0.010386023192256011,3.3626546621322633,0.2023599103477931,7.305542618496475e-07,8.260040143479179e-08,45.385188528175156,6.349544659806263,54.78126209894816,6.606710028217222,0.004935999999999999,0.00012784153239339506,0.007507999999999999,0.00030277793804527487,0.0050252000000000005,0.000759746856112224,0.040849,0.0006186671530762841,8.841830433607102,0.03598506220126296,12.261095643886366,0.3442223156613675,0.07286192700880956,0.0022159565624857713,31.23824868610927,2.94061413073425,49.2060283483281,3.108726912813708,0.006098285714285715,0.00015084229424847106
2,3,6,0.06995344529926462,0.005484512190144411,0.04098998725995665,0.0029881827813758033,14.081006212234497,1.760346686544608,1.056323447755858e-05,1.2541943666954072e-06,47.88923947006465,7.388827066646144,4.318751027335723,0.5964655420912166,0.004998,9.177474349019582e-05,0.008686000000000001,0.0003956325713325576,0.0053254,0.0008103813145792184,0.0031399999999999996,0.0002443485911848243,9.644962561889551,0.0389927753199828,14.910426728036255,0.2143641821650082,0.07286192700880956,0.0022159565624857713,31.23824868610927,2.94061413073425,49.2060283483281,3.108726912813708,0.006098285714285715,0.00015084229424847106
3,3,9,0.0745478722383177,0.005192142675175773,0.06484836161760078,0.00488583118254414,21.70410692214966,3.383289807574066,1.9661361984617543e-05,1.6523615678688733e-06,52.12507397693893,8.786305803761216,1.829285314977169,0.22254369930929063,0.005267999999999999,0.00010624988541567577,0.0095,0.0004368179610921615,0.0058594,0.000870251614467632,0.0030429999999999997,0.0003504360991477568,10.472578567229212,0.19443908185535186,17.525595647864975,0.32289227708612245,0.07286192700880956,0.0022159565624857713,31.23824868610927,2.94061413073425,49.2060283483281,3.108726912813708,0.006098285714285715,0.00015084229424847106
5,3,15,0.07263319792570855,0.006748984409429129,0.0292822099111156,0.0015441426904427846,35.06844150066376,5.459640932240253,2.1509428606805158e-05,3.1594496587208497e-06,50.00321493797005,8.694737429042277,1.075887108396273,0.21101442122902236,0.006339999999999999,0.00020259135160813607,0.011389999999999997,0.0005639466130131186,0.005452999999999999,0.0010516480017992462,0.0010658,0.00010086041408921141,14.32707756455522,0.6617275369556612,22.36804688082542,0.1121714778548224,0.07286192700880956,0.0022159565624857713,31.23824868610927,2.94061413073425,49.2060283483281,3.108726912813708,0.006098285714285715,0.00015084229424847106
7,3,21,0.07408067852712999,0.005963937671034439,0.03829952885941085,0.0023479229687887807,43.18242128372192,9.167311967227938,5.503733966179069e-05,7.607544938164394e-06,46.34984710104764,9.65054042417362,1.0561286493514976,0.2563916317007098,0.006346000000000001,0.0003136540624131493,0.011776,0.00035438361598436226,0.006119199999999999,0.000917831996390805,0.0014065999999999998,0.00015050731528977674,13.060589216602967,0.10712572925435992,26.00409882801585,0.06684638864791026,0.07286192700880956,0.0022159565624857713,31.23824868610927,2.94061413073425,49.2060283483281,3.108726912813708,0.006098285714285715,0.00015084229424847106
9,3,27,0.07423683975980844,0.0056193407913288085,0.03770000121641494,0.0025972659502192796,57.21606229782105,9.170074111084613,5.4393745740525714e-05,7.044970215041962e-06,56.45849058836698,9.482932061768732,0.9915627494780348,0.2517567791564445,0.006836,0.0004095430256327989,0.0167,0.0008862427202314567,0.006142600000000001,0.0009256458626195055,0.0012054,0.00015276895083924367,14.188274858328514,0.08210865967397218,32.81849664925132,0.2313805643537421,0.07286192700880956,0.0022159565624857713,31.23824868610927,2.94061413073425,49.2060283483281,3.108726912813708,0.006098285714285715,0.00015084229424847106
11,3,33,0.07392113712082683,0.007106171231595279,0.03190632115215682,0.0017006123384116483,44.05304792404175,7.72345072981318,3.185901821779982e-05,4.745140292075755e-06,46.231143835733334,8.026031899028695,0.9570139523983623,0.2509433338307847,0.007964,0.00048122920023869857,0.018672,0.0010196719232662167,0.0060296,0.0010797693003840054,0.0010438000000000001,0.00012541632986397478,16.253701397427356,0.10145669155987846,37.270036592646505,0.1408714589222626,0.07286192700880956,0.0022159565624857713,31.23824868610927,2.94061413073425,49.2060283483281,3.108726912813708,0.006098285714285715,0.00015084229424847106
