Cao,Ca,Cb,Cc,region_id,is_center,is_boundary
0.5,0.19265360832266057,1.385307216645321,0.9220391750320184,0,0,1
0.501365784131,0.19339431751850314,1.3840570667750063,0.9239143998374907,0,0,0
0.508992890459,0.1975505529938195,1.3771153250696389,0.9343270123955414,0,0,0
0.516666666667,0.20176594516466476,1.3701985569953294,0.9447021645070058,0,1,0
0.521232056244,0.20428976943646993,1.3661154263849398,0.9508268604225905,0,0,0
0.533333333333,0.21103664161782476,1.3554066165696497,0.9668900751455254,0,0,1
0.533884254518,0.2113457600059566,1.3549230109759132,0.9676154835361304,1,0,0
0.55,0.22046301519587044,1.3409260303917407,0.988610954412389,1,1,0
0.560442341307,0.22644711815640933,1.3320095536988186,1.0019856694517721,1,0,0
0.563758519243,0.22835993965196316,1.3292028408179264,1.0061957387731106,1,0,0
0.566666666667,0.23004231080701162,1.326751288280023,1.0098730675799652,2,0,1
0.583333333333,0.23977171242729425,1.3128767581885887,1.030684862717117,2,1,0
0.584787499716,0.2406276280246382,1.3116802566172767,1.0324796150740851,2,0,0
0.586887859192,0.24186586471048108,1.309956011036962,1.0350659834445572,2,0,0
0.590983218699,0.24428691648473996,1.3066073955714799,1.0400889066427799,2,0,0
0.6,0.24964835427127363,1.2992967085425475,1.0510549371861786,3,0,1
0.600091283339,0.2497028487358211,1.2992231307936424,1.0511653038095363,3,0,0
0.616666666667,0.2596693314070854,1.2860053294801708,1.0709920057797437,3,1,0
0.627195118471,0.266072715900219,1.2777551948584382,1.0833672077123429,3,0,0
0.631169080793,0.26850418781834856,1.2746702140506971,1.0879946789239545,3,0,0
0.633333333333,0.26983170979031224,1.2729967529146244,1.0905048706280633,3,0,1
0.63445285251,0.27051932361384695,1.272132942207694,1.0918005866884593,4,0,0
0.65,0.28013253568602653,1.2602650713720531,1.1096023929419205,4,1,0
0.657655181548,0.28490940204039494,1.25450844098479,1.1182373385228148,4,0,0
0.661913475886,0.28757886178853814,1.2513307718050761,1.1230038422923856,4,0,0
0.666666666667,0.29056884445741343,1.2478043555808271,1.1282934666287594,5,0,1
0.67252185402,0.2942668438700661,1.2434899797001322,1.1347650304498016,5,0,0
0.683333333333,0.3011376687247258,1.2356086707834517,1.1465869938248223,5,1,0
0.684715374008,0.30201991885614604,1.2346090896962922,1.1480863654555615,5,0,0
0.695439297412,0.3088958128376681,1.2269130308513363,1.1596304537229956,5,0,0
0.7,0.31183604588972164,1.223672091779443,1.1644918623308353,6,0,1
0.700943989038,0.31244581102394026,1.2230036439718803,1.1654945340421794,6,0,0
0.709990396351,0.3183097845068559,1.2166387763117117,1.1750418355324326,6,0,0
0.71408957404,0.3209790502714587,1.2137789524629177,1.1793315713056236,6,0,0
0.716666666667,0.32266102502683414,1.2119887167196683,1.1820169249204975,6,1,0
0.733333333333,0.33360967316533735,1.2005526796646748,1.199170980502988,6,0,1
0.737476109217,0.33634999237824603,1.1977477663224922,1.2033783505162619,7,0,0
0.75,0.3446790809745763,1.1893581619491524,1.2159627570762712,7,1,0
0.754906317052,0.3479602689034995,1.186107903702999,1.2208381444455014,7,0,0
0.75568748049,0.34848362385226833,1.1855922867245368,1.2216115699131949,7,0,0
0.766666666667,0.35586636786767395,1.1783994024013478,1.2324008963979785,8,0,1
0.779455918475,0.36452914044388596,1.1701464439377718,1.2447803340933419,8,0,0
0.783333333333,0.3671686865600974,1.167670706454195,1.2484939403187079,8,1,0
0.787179503716,0.3697929635907685,1.1652269197495368,1.2521596203756946,8,0,0
0.79990699786,0.37851922627076673,1.1572244568215333,1.2641633147676996,8,0,0
0.8,0.3785832271042074,1.1571664542084148,1.264250318687378,9,0,1
0.816666666667,0.39010722042206086,1.1468811075101213,1.2796783387348178,9,1,0
0.821681975876,0.39359601727049576,1.1438280827889913,1.284257875816513,9,0,0
0.822851399483,0.3944108843190106,1.1431189696720214,1.285321545491968,9,0,0
0.832694511293,0.4012902091547557,1.1371913957235114,1.294212906414733,9,0,0
0.833333333333,0.4017379413782663,1.136809216090533,1.2947861758642008,9,0,1
0.837836550167,0.40489844623863125,1.1341237921432625,1.2988143117851063,10,0,0
0.846297380799,0.41085689374175594,1.129119025885512,1.306321461171732,10,0,0
0.85,0.4134727114170807,1.1269454228341615,1.309581865748758,10,1,0
0.856281557686,0.4179219250146262,1.1232807346572522,1.3150788980141217,10,0,0
0.866666666667,0.4253089007875568,1.1172844682411138,1.3240732976383294,11,0,1
0.877008062519,0.4327029169702886,1.111389708902577,1.3329154366461342,11,0,0
0.883333333333,0.4372439303992898,1.1078211941325795,1.3382682088011306,11,1,0
0.884178477416,0.43785172643849823,1.1073464980449967,1.338980252932505,11,0,0
0.890716278006,0.44256180020631836,1.1036910444006367,1.3444634333990446,11,0,0
0.9,0.4492752733320118,1.0985505466640235,1.3521741800039648,12,0,1
0.916194511961,0.4610556887572318,1.0897223535924638,1.3654164696113043,12,0,0
0.916666666667,0.4614004560210277,1.0894675787080557,1.3657986319379167,12,1,0
0.929649594478,0.47090914413159046,1.082519099307181,1.3762213510392287,12,0,0
0.931134783865,0.4720003812678272,1.081731194805654,1.377403207791519,12,0,0
0.933333333333,0.4736170591589264,1.0805674516518529,1.3791488225222206,12,0,1
0.944062313036,0.48152862345203057,1.074932620832061,1.3876010687519085,13,0,0
0.94525983989,0.48241394368250645,1.0743082075850132,1.3885376886224803,13,0,0
0.95,0.48592271833361605,1.0718454366672319,1.392231844999152,13,1,0
0.952384327691,0.4876903076816889,1.070611959981378,1.3940820600279333,13,0,0
0.966666666667,0.498315124421038,1.0632969155080758,1.4050546267378863,14,0,1
0.977930374184,0.5067381730881797,1.0576155978083592,1.4135766032874613,14,0,0
0.979720633351,0.5080804454200717,1.0567196241381434,1.4149205637927849,14,0,0
0.983333333333,0.5107920237694691,1.054917380872938,1.4176239286905932,14,1,0
0.986476667673,0.5131544575054194,1.0533555796648386,1.419966630502742,14,0,0
1.0,0.5233512181912394,1.0467024363824786,1.4299463454262822,15,0,1
1.007571919784,0.5290836566594334,1.0430234737508666,1.4354647893737003,15,0,0
1.016666666667,0.5359905647758911,1.0386477962177825,1.4420283056733263,15,1,0
1.020772904823,0.5391166399225006,1.036687470199001,1.4449687947014984,15,0,0
1.029675811733,0.5459105415835629,1.032469459701126,1.4512958104483111,15,0,0
1.033333333333,0.5487079755577129,1.030749284449426,1.453876073325861,15,0,1
