Model,150_EXP_TIME_SEC,150_RMSE_TOTAL,150_TRAIN_TIME_SEC,150_VIOL,150_VIOL_NL
NN,0.0038,0.1096478893924083,7.115188420051709,42.20354843139648,25.36737060546875
KKThPINN,0.0055,0.05690824552085955,9.32659381092526,0.0,3.1030056476593018
