n_inner_per_region,num_sample_points,NN_Training_Time_sec_mean,NN_Training_Time_sec_ci95,NN_Training_Time_sec_n_runs,KKThPINN_Training_Time_sec_mean,KKThPINN_Training_Time_sec_ci95,KKThPINN_Training_Time_sec_n_runs,NN_Training_Error_mean,NN_Training_Error_ci95,NN_Training_Error_n_runs,KKThPINN_Training_Error_mean,KKThPINN_Training_Error_ci95,KKThPINN_Training_Error_n_runs
0,61,9.51718443505466,0.053555111583319576,50,17.36737668670714,0.0739185693852718,50,0.0005804,0.0002515108321566444,50,0.000177,3.0808880233918104e-05,50
1,91,11.017200911827386,0.12159187493538996,50,20.60261709999293,0.37621664731693805,50,0.00021179999999999997,2.057952743862808e-05,50,9.24e-05,1.3087421213551865e-05,50
2,121,12.120720082372427,0.06229048669758473,50,23.31409605745226,0.093883556979625,50,0.00017700000000000005,7.794532225066134e-05,50,6.88e-05,1.4083304760961744e-05,50
5,211,16.24512221975252,0.05500872715695343,50,33.923110471554104,0.08257657850970591,50,6.780000000000001e-05,2.5330280659452018e-05,50,2.4e-05,9.168669462989999e-06,50
10,361,24.12592671032995,0.06700311860932567,50,54.88907314086333,0.16009074247967306,50,6.800000000000003e-06,2.2561079411155363e-06,50,6.2e-06,5.382771674893228e-06,50
15,511,32.060774589292706,0.06916299912728333,50,75.59078881982714,0.15696024515231022,50,9.2e-06,8.197490678523872e-06,50,3.2000000000000003e-06,3.4180867656883186e-06,50
20,661,39.09262419672683,0.11060779592857654,50,92.90932827262208,0.16754579375872822,50,1.0600000000000002e-05,1.1688299718616535e-05,50,1.2000000000000002e-06,9.32906651625335e-07,50
25,811,46.678100732266905,0.07329156220791398,50,114.6379025657475,0.6363223638878833,50,1.2000000000000002e-06,1.2367878679174124e-06,50,8.000000000000001e-07,7.78834421950155e-07,50
