n_inner_per_region,nC_regions,num_regions,num_sample_points,linearization_mean_abs_error,linearization_rmse_error,linearization_max_abs_error,mean_abs_nonlinear_residual_on_data,mean_abs_linearized_residual_on_data,linearization_mean_abs_error_region_average,linearization_rmse_error_region_average,projection_check_output_MAE_scaled,projection_check_PL_violation,projection_check_original_nonlinear_violation,n_output_values,n_constraint_values,n_data_points
0,30,30,61,0.00036283525995874034,0.0005439201765621165,0.0012319560598942,3.603674735668541e-16,0.00036283525995875037,0.0002822175136112129,0.00036628173201763627,2.8698474363808296e-05,2.8392588826479415e-16,0.00036309135359589053,183.0,122.0,61.0
1,30,30,91,0.00034224931821350875,0.0005054338408148172,0.0012319560598942,3.806478941571965e-16,0.0003422493182134292,0.0003063201508702267,0.0003994457719731553,2.716854023669165e-05,3.3916703389647637e-16,0.00034258245395150797,273.0,182.0,91.0
2,30,30,121,0.00031371275566145166,0.00047329074956412026,0.0012319560598941,4.165630191568769e-16,0.00031371275566144087,0.00030511059735533673,0.00041526031433865984,2.4767365889242988e-05,2.9911793886595126e-16,0.0003140170048832139,363.0,242.0,121.0
5,30,30,211,0.00029015453092094505,0.0004282335028524451,0.001231956059894,4.1672826327162275e-16,0.00029015453092083484,0.00028395923195251863,0.00038295892307341,2.29430249732634e-05,2.872899390736187e-16,0.00029040644050124794,633.0,422.0,211.0
10,30,30,361,0.00027681968489101064,0.00040297201458541304,0.0012319560598944,4.133351094449336e-16,0.0002768196848909428,0.0002735491431616159,0.00036666575270125344,2.2001364566620837e-05,3.4383084252934213e-16,0.0002769396448401086,1083.0,722.0,361.0
15,30,30,511,0.00026560201548420624,0.00038852109196838643,0.0012319560598937,4.1497572936087063e-16,0.00026560201548408687,0.00026400985376113785,0.00035449247265399795,2.1121801510153044e-05,3.098195759521474e-16,0.00026565192484429706,1533.0,1022.0,511.0
20,30,30,661,0.00025526616488950004,0.00037766648988351225,0.0012319560598944,4.0445038476511e-16,0.0002552661648893974,0.0002553057936766498,0.00034522487373900003,2.0290097758172157e-05,3.345785574967189e-16,0.000255267467066818,1983.0,1322.0,661.0
25,30,30,811,0.0002510967004831101,0.00037019000811269005,0.0012319560598942,4.1205564785717894e-16,0.0002510967004830132,0.0002504033150849751,0.00033725343129195005,1.991146093594758e-05,2.761183527335315e-16,0.0002510703662767644,2433.0,1622.0,811.0
