region_id,C_low,C_high,Caoss,Cass,Cbss,Ccss,fss,aCao,aCa,aCb,aCc
0,0.5,0.5333333333333333,0.5166666666666666,0.2017659451646648,1.3701985569953294,0.944702164507006,-3.3373304120232206e-13,1.0,-7.939326505889861,-2.0436742749713046,1.1487419956649154
1,0.5333333333333333,0.5666666666666667,0.55,0.2204630151958704,1.3409260303917407,0.988610954412389,0.0,1.0,-7.645994132894629,-2.185349336657994,1.1487419956649154
2,0.5666666666666667,0.6,0.5833333333333333,0.2397717124272942,1.3128767581885885,1.030684862717117,3.33510996597397e-13,1.0,-7.37086248223791,-2.327031227382822,1.1487419956649154
3,0.6,0.6333333333333333,0.6166666666666667,0.2596693314070853,1.286005329480171,1.0709920057797435,-3.3306690738754696e-13,1.0,-7.1127389234583935,-2.468560266328169,1.1487419956649154
4,0.6333333333333333,0.6666666666666666,0.6499999999999999,0.2801325356860265,1.2602650713720531,1.10960239294192,-2.220446049250313e-16,1.0,-6.87048672354081,-2.6097911763693564,1.1487419956649154
5,0.6666666666666666,0.7,0.6833333333333333,0.3011376687247258,1.2356086707834515,1.1465869938248223,3.341771304121721e-13,1.0,-6.643027998770276,-2.750593025574283,1.1487419956649154
6,0.7,0.7333333333333334,0.7166666666666667,0.3226610250268342,1.2119887167196683,1.1820169249204977,-3.33288951992472e-13,1.0,-6.429345309794862,-2.890848897710065,1.1487419956649154
7,0.7333333333333334,0.7666666666666666,0.75,0.3446790809745763,1.1893581619491524,1.2159627570762712,-2.220446049250313e-16,1.0,-6.228482094555544,-3.0304553512964048,1.1487419956649154
8,0.7666666666666666,0.8,0.7833333333333333,0.3671686865600974,1.167670706454195,1.248493940318708,3.3306690738754696e-13,1.0,-6.039542137118782,-3.1693217225069694,1.1487419956649154
9,0.8,0.8333333333333333,0.8166666666666667,0.3901072204220607,1.1468811075101215,1.2796783387348176,-3.33510996597397e-13,1.0,-5.861688263140605,-3.3073693209748853,1.1487419956649154
10,0.8333333333333333,0.8666666666666667,0.85,0.4134727114170808,1.126945422834161,1.3095818657487577,2.220446049250313e-16,1.0,-5.694140437654891,-3.44453056058128,1.1487419956649154
11,0.8666666666666667,0.9,0.8833333333333333,0.4372439303992897,1.1078211941325795,1.3382682088011306,3.33510996597397e-13,1.0,-5.5361734216312275,-3.58074805997883,1.1487419956649154
12,0.9,0.9333333333333333,0.9166666666666667,0.4614004560210279,1.0894675787080554,1.3657986319379167,-3.339550858072471e-13,1.0,-5.387114122580093,-3.715973740448821,1.1487419956649154
13,0.9333333333333333,0.9666666666666667,0.95,0.485922718333616,1.071845436667232,1.3922318449991522,-4.440892098500626e-16,1.0,-5.246338752785605,-3.8501679423757507,1.1487419956649154
14,0.9666666666666667,1.0,0.9833333333333334,0.5107920237694691,1.054917380872938,1.4176239286905932,3.3284486278262193e-13,1.0,-5.113269888212148,-3.9832985759914488,1.1487419956649154
15,1.0,1.0333333333333332,1.0166666666666666,0.535990564775891,1.0386477962177825,1.442028305673326,-3.33288951992472e-13,1.0,-4.987373502459299,-4.115340317166489,1.1487419956649154
16,1.0333333333333332,1.0666666666666667,1.0499999999999998,0.5615014170490721,1.023002834098144,1.4654957488527842,-1.5543122344752192e-15,1.0,-4.86815603340981,-4.246273855226002,1.1487419956649154
17,1.0666666666666667,1.1,1.0833333333333335,0.5873085269579121,1.0079503872498243,1.4880744191252635,3.33288951992472e-13,1.0,-4.755161525957208,-4.376085196646344,1.1487419956649154
18,1.1,1.1333333333333333,1.1166666666666667,0.6133966913710105,0.9934600494080208,1.5098099258879685,-3.319566843629218e-13,1.0,-4.647968882313055,-4.504765025968774,1.1487419956649154
19,1.1333333333333333,1.1666666666666665,1.15,0.6397515317835505,0.9795030635671008,1.5307454046493485,6.661338147750939e-16,1.0,-4.5461892414441465,-4.632308123562748,1.1487419956649154
20,1.1666666666666665,1.2,1.1833333333333331,0.666359464332478,0.966052261998956,1.5509216070015663,3.3284486278262193e-13,1.0,-4.449463501279947,-4.758712838560329,1.1487419956649154
21,1.2,1.2333333333333334,1.2166666666666668,0.6932076669904266,0.9530820006468528,1.5703769990297212,-3.341771304121721e-13,1.0,-4.357459991163657,-4.883980614277993,1.1487419956649154
22,1.2333333333333334,1.2666666666666666,1.25,0.7202840450070548,0.9405680900141098,1.589147864978835,2.220446049250313e-16,1.0,-4.269872297105101,-5.008115562967993,1.1487419956649154
23,1.2666666666666666,1.3,1.2833333333333332,0.7475771954574231,0.9284877242488464,1.60726841362673,3.339550858072471e-13,1.0,-4.1864172387666105,-5.131124086409348,1.1487419956649154
24,1.3,1.3333333333333335,1.3166666666666669,0.7750763715566764,0.9168194097793528,1.6247708853309708,-3.33288951992472e-13,1.0,-4.106832994518128,-5.253014538606258,1.1487419956649154
25,1.3333333333333335,1.3666666666666667,1.35,0.8027714472718899,0.9055428945437796,1.6416856581843304,-8.881784197001252e-16,1.0,-4.0308773689370945,-5.373796926960742,1.1487419956649154
26,1.3666666666666667,1.4,1.3833333333333333,0.8306528826376535,0.8946390986093067,1.6580413520860398,3.33288951992472e-13,1.0,-3.958326195874478,-5.493482648378532,1.1487419956649154
27,1.4,1.4333333333333333,1.4166666666666665,0.8587116900569131,0.8840900467798257,1.6738649298302613,-3.341771304121721e-13,1.0,-3.888971869490207,-5.612084256830535,1.1487419956649154
28,1.4333333333333333,1.4666666666666668,1.4500000000000002,0.8869394018071467,0.8738788036142935,1.68918179457856,-6.661338147750939e-16,1.0,-3.822621995185895,-5.72961525919525,1.1487419956649154
29,1.4666666666666668,1.5,1.4833333333333334,0.9153280389049684,0.8639894111439366,1.7040158832840953,3.3306690738754696e-13,1.0,-3.759098152240389,-5.84608993643276,1.1487419956649154
