region_id,C_low,C_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error,mean_abs_nonlinear_residual,mean_abs_linearized_residual
0,0.5,0.5333333333333333,28,0.000525240088899131,0.0006837623441160519,0.0012319560598942417,4.440892098500626e-16,0.0005252400888987424
1,0.5333333333333333,0.5666666666666667,26,0.000324054988299448,0.0004815187861321834,0.0011620877358009124,3.416070845000482e-16,0.0003240549882991747
2,0.5666666666666667,0.6,27,0.00041600867224951646,0.0005461970858626795,0.0011464331556853072,4.769847068759932e-16,0.0004160086722490888
3,0.6,0.6333333333333333,28,0.0005342212950359885,0.0006667278120552641,0.0011031907439947482,2.9341608507950565e-16,0.0005342212950358854
4,0.6333333333333333,0.6666666666666666,26,0.00039240460967886073,0.0005300112970015041,0.0009931758948462759,3.3306690738754696e-16,0.000392404609678707
5,0.6666666666666666,0.7,27,0.000314108321951499,0.00043230190944038466,0.0010175796288794392,3.0428334748985774e-16,0.0003141083219514579
6,0.7,0.7333333333333334,28,0.00040798081587220883,0.000530230918782243,0.0009757851096623103,3.6478756523398e-16,0.00040798081587195507
7,0.7333333333333334,0.7666666666666666,26,0.00033214250449551297,0.00044804616135415634,0.0009110543264070868,6.405132834375903e-16,0.000332142504495197
8,0.7666666666666666,0.8,27,0.0003571505179555935,0.0004506349694710709,0.0008952811852702136,4.276414613370973e-16,0.00035715051795547835
9,0.8,0.8333333333333333,28,0.0002949327431133469,0.00040728026422915086,0.0008568649552088276,2.6962559169468085e-16,0.00029493274311323585
10,0.8333333333333333,0.8666666666666667,26,0.00024913536295730873,0.0003383206193829085,0.0008188157488070447,3.586874387250506e-16,0.0002491353629572575
11,0.8666666666666667,0.9,27,0.0002798846433519777,0.00038774481898968,0.0007841639257663499,3.289549702593056e-16,0.00027988464335187903
12,0.9,0.9333333333333332,28,0.00025838783727935344,0.0003560367780699451,0.0007499742783035092,4.123685520036296e-16,0.0002583878372795596
13,0.9333333333333332,0.9666666666666668,26,0.00022162656897736546,0.00031452802278780973,0.0006826789191072824,5.978123978750843e-16,0.00022162656897712634
14,0.9666666666666668,1.0,27,0.00023218600423045792,0.0003139926240128729,0.0006859863182968676,3.782982157982015e-16,0.00023218600423054018
15,1.0,1.0333333333333332,28,0.00024058387937280862,0.0003127738627490738,0.0006561649580852456,4.996003610813204e-16,0.00024058387937303858
16,1.0333333333333332,1.0666666666666669,26,0.0002497364661631488,0.0003217038657025779,0.0006154605869479277,5.465713352000771e-16,0.0002497364661633196
17,1.0666666666666669,1.1,27,0.00013005184104081997,0.00020349611145978916,0.000600721669025318,5.509995751843369e-16,0.00013005184104092688
18,1.1,1.1333333333333333,28,0.00021436175784221356,0.0002784669683729183,0.0005750170924005895,4.916701966197122e-16,0.00021436175784224527
19,1.1333333333333333,1.1666666666666663,26,7.404988008815247e-05,0.00013144043945660753,0.0005108691855425593,3.928481471750554e-16,7.404988008816955e-05
20,1.1666666666666663,1.2,27,0.00021233645017256682,0.00027980855151207916,0.0005273989680764021,5.345518266713717e-16,0.0002123364501724599
21,1.2,1.2333333333333334,28,0.00015429126963455403,0.00021459670421939144,0.0005053800017294219,3.9650822308041307e-16,0.00015429126963434784
22,1.2333333333333334,1.2666666666666666,26,0.0001314939890734314,0.00017812229414191052,0.00044148446491226213,5.636516894250794e-16,0.0001314939890731752
23,1.2666666666666666,1.3,27,0.00013150601471159862,0.00018822386506904575,0.0004646517439129659,4.440892098500626e-16,0.00013150601471153284
24,1.3,1.3333333333333337,28,0.00013769469427676585,0.00019957144000167784,0.00044583480412891015,3.251367429259387e-16,0.00013769469427653587
25,1.3333333333333337,1.3666666666666667,26,0.00012591020723397138,0.00016264638144832054,0.00038571054142388407,5.03870449637571e-16,0.00012591020723382617
26,1.3666666666666667,1.4,27,0.0001696790926710504,0.00022242381373178803,0.0004110341401295167,1.8914910789910075e-16,0.00016967909267109153
27,1.4,1.4333333333333331,28,0.00013436061829018973,0.0001828811593230515,0.000394950626778778,2.7755575615628914e-16,0.0001343606182901818
28,1.4333333333333331,1.4666666666666668,26,0.00012766993366151116,0.00016830387968611312,0.0003578339447568163,3.3306690738754696e-16,0.00012766993366143429
29,1.4666666666666668,1.5,28,0.00013890838397030944,0.0001858091901978056,0.000365182032822842,3.7271772969558827e-16,0.0001389083839701905
