Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00081,0.00258
2,0.00684,0.00293
3,0.00718,0.00216
4,0.01467,0.00104
5,0.01146,0.00225
6,0.00116,0.00136
7,0.00555,0.00099
8,0.00668,0.00112
9,0.00243,0.00139
10,0.00226,0.00511
11,0.00386,0.00223
12,0.00375,0.00165
13,0.01091,0.00044
14,0.00165,0.00542
15,0.00175,0.00101
16,0.00158,0.00126
17,0.00124,0.00221
18,0.00311,0.00102
19,0.00883,0.00276
20,0.00114,0.00202
21,0.00071,0.00589
22,0.01247,0.00049
23,0.00256,0.00562
24,0.00748,0.00684
25,0.00427,0.00144
26,0.0073,0.00027
27,0.00732,0.00286
28,0.00138,0.00182
29,0.00429,0.00056
30,0.00097,0.00282
31,0.00244,0.00077
32,0.00238,0.00277
33,0.00154,0.00346
34,0.00511,0.00109
35,0.00687,0.00362
36,0.00427,0.00098
37,0.00876,0.00184
38,0.00845,0.00017
39,0.00221,0.00343
40,0.00089,0.00058
41,0.0066,0.00156
42,0.00216,0.00091
43,0.00099,0.00855
44,0.01031,0.00142
45,0.00207,0.00254
46,0.00343,0.00262
47,0.00169,0.0056
48,0.00325,0.00184
49,0.00033,0.00475
50,0.00122,0.00127
