Model,ninner_0_RMSE_TOTAL,ninner_0_VIOL,ninner_0_VIOL_NL,ninner_0_TRAIN_TIME_SEC,ninner_0_EXP_TIME_SEC,ninner_1_RMSE_TOTAL,ninner_1_VIOL,ninner_1_VIOL_NL,ninner_1_TRAIN_TIME_SEC,ninner_1_EXP_TIME_SEC,ninner_2_RMSE_TOTAL,ninner_2_VIOL,ninner_2_VIOL_NL,ninner_2_TRAIN_TIME_SEC,ninner_2_EXP_TIME_SEC
NN,0.0198823523787029,0.0716270476054446,0.1294965625442874,12.411803365703673,0.004722,0.0158734084706284,0.0626686011749241,0.1195339373992848,13.363483085106129,0.005434,0.0130781774055344,0.053047389239843,0.0996665772841833,14.7570211725845,0.005588
KKThPINN,0.0079567633991061,8.052817671947805e-16,0.000284114946549,19.47836745997891,0.011844,0.00716292830785133,5.000166947155549e-16,0.0002176896886606576,22.50148968169931,0.012786000000000002,0.0053589209661953,5.911937606128959e-16,0.0001711165118489,25.843973109326324,0.013432
