nC_regions,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error
1,0.2249480829333651,0.3070072387394119,0.7847764323558297
2,0.05546463980518035,0.0749962737612216,0.2345692892671712
3,0.026340296682985903,0.03419530789756026,0.1107273437832244
5,0.00900287518093966,0.01196170689009686,0.0418163619569587
7,0.004535413533989371,0.005979566382591357,0.0217730553264091
9,0.002530317923010667,0.0034435351283583666,0.0133200957224013
11,0.0018092657690413913,0.0024581886913787997,0.0089804596292013
30,0.00024167819627629,0.0003055647199080433,0.0012319560598941
90,1.071408028349295e-05,1.5198325192716387e-05,0.0001379451304922
