nC_regions,metric,mean,std,min,max,n_runs
3,KKThPINN_Experiment_VIOL_NL,0.027278163952600142,0.003944475870779595,0.0096547354587081,0.033783785893865,50
3,NN_Experiment_Time_sec,0.00436,0.00016903085094570336,0.0042,0.0054,50
3,KKThPINN_Experiment_Time_sec,0.00551,0.00032087253493166,0.0053,0.007,50
5,NN_Experiment_RMSE,0.010318519056822874,0.0035494878491994395,0.0043264869337593,0.0166169602208443,50
5,KKThPINN_Experiment_RMSE,0.007130315597753756,0.003686674288926733,0.0021850494092753,0.0191341089186555,50
5,NN_Experiment_VIOL,0.0910029201662048,0.043995999386338754,0.0240434305086411,0.169464269228805,50
5,KKThPINN_Experiment_VIOL,5.619314537495615e-16,9.972902101564121e-17,3.687526474647841e-16,8.287021862380633e-16,50
5,NN_Experiment_VIOL_NL,0.08939892888736342,0.044131814539083325,0.0222808515773236,0.1677580970113092,50
5,KKThPINN_Experiment_VIOL_NL,0.006029823340889981,0.002201879086705115,0.0010360247463172,0.013948752950036,50
5,NN_Experiment_Time_sec,0.004514,0.0004504011817144754,0.0043,0.0069,50
5,KKThPINN_Experiment_Time_sec,0.006341999999999999,0.0008403327815059158,0.006,0.0102,50
7,NN_Experiment_RMSE,0.009786303307487703,0.004248903217923369,0.0027449056973406,0.0167790089411811,50
7,KKThPINN_Experiment_RMSE,0.007869553288281402,0.003736905735617503,0.002460178920159,0.0168465272210946,50
7,NN_Experiment_VIOL,0.08141339306528328,0.04770292877341944,0.0142604124175903,0.1720271959545407,50
7,KKThPINN_Experiment_VIOL,6.463877052656894e-16,1.129803235635725e-16,4.3615904538845443e-16,9.000736663925377e-16,50
7,NN_Experiment_VIOL_NL,0.08115155491047676,0.048108716514835316,0.0140554133749874,0.1721672289410201,50
7,KKThPINN_Experiment_VIOL_NL,0.0028764475376437822,0.0012612819607237772,0.0005046265336303,0.0055429899312737,50
7,NN_Experiment_Time_sec,0.004606,0.0006322651213482121,0.0044,0.0077,50
7,KKThPINN_Experiment_Time_sec,0.0068899999999999986,0.0007497618669570074,0.0065,0.0109,50
9,NN_Experiment_RMSE,0.009810858403378149,0.004536386194457021,0.0034044949337037,0.0165596293775946,50
9,KKThPINN_Experiment_RMSE,0.007494124452530682,0.0037149673237992964,0.0019714045183065,0.0156320917848181,50
9,NN_Experiment_VIOL,0.0843226972402971,0.05190606531585061,0.0182588803105184,0.172197019962375,50
9,KKThPINN_Experiment_VIOL,6.348096651517414e-16,1.229847466311891e-16,3.2910182515674285e-16,9.040387486233417e-16,50
9,NN_Experiment_VIOL_NL,0.08440299783337936,0.0521279645655631,0.0176910163917573,0.1727168581039966,50
9,KKThPINN_Experiment_VIOL_NL,0.00149625519022173,0.0009232352887228524,0.0003023384669953,0.0043912586699054,50
9,NN_Experiment_Time_sec,0.004764000000000001,0.0006874264339118888,0.0045,0.0079,50
9,KKThPINN_Experiment_Time_sec,0.007436000000000001,0.0010021935126185428,0.007,0.0118,50
11,NN_Experiment_RMSE,0.01082572233881614,0.004109232643297511,0.0036554818450755,0.016504933484626,50
11,KKThPINN_Experiment_RMSE,0.006510459946500407,0.0032675071306062817,0.0019456656651995,0.016836056761261,50
11,NN_Experiment_VIOL,0.09832181445582114,0.04910058495206593,0.0160847368009391,0.1783696573010944,50
11,KKThPINN_Experiment_VIOL,5.988860201406559e-16,1.0627350314507558e-16,4.044383875420213e-16,9.516197353929913e-16,50
11,NN_Experiment_VIOL_NL,0.09760700948935684,0.04898855087137585,0.0156841040969989,0.1774348948401768,50
11,KKThPINN_Experiment_VIOL_NL,0.0012925588850501782,0.0005753472173619462,0.0002839726797107,0.002489238046683,50
11,NN_Experiment_Time_sec,0.004882,0.0007277838880843007,0.0046,0.0078,50
11,KKThPINN_Experiment_Time_sec,0.008086,0.0013234170367126248,0.0075,0.0126,50
30,NN_Experiment_RMSE,0.009808317364968124,0.0038974206223559827,0.0034157227901166,0.0166326307644079,50
30,KKThPINN_Experiment_RMSE,0.00613127348812537,0.0027933744445973506,0.0022222609870835,0.0139916981540642,50
30,NN_Experiment_VIOL,0.08848004133944969,0.04552485551865815,0.0141935973807348,0.1682113355705448,50
30,KKThPINN_Experiment_VIOL,7.34333229144925e-16,1.542299555637129e-16,4.202987164652378e-16,1.0388515444706822e-15,50
30,NN_Experiment_VIOL_NL,0.0882286127989102,0.04539684342182897,0.0141348775134034,0.1677977363782229,50
30,KKThPINN_Experiment_VIOL_NL,0.0001998444948432262,9.448240946866306e-05,3.978006777799569e-05,0.0004648834595727,50
30,NN_Experiment_Time_sec,0.005478,0.0002984928126164405,0.0053,0.0069,50
30,KKThPINN_Experiment_Time_sec,0.012948,0.001130692401196032,0.0124,0.0173,50
90,NN_Experiment_RMSE,0.010656307037348848,0.004015818051911064,0.0037967733709726,0.0175307468509676,50
90,KKThPINN_Experiment_RMSE,0.006315831196986195,0.00269941505604416,0.0020725360285679,0.0126419575509791,50
90,NN_Experiment_VIOL,0.08975308945519854,0.04595630370752011,0.0201297151200187,0.1618333184648465,50
90,KKThPINN_Experiment_VIOL,7.092739094462428e-16,1.1960515759961905e-16,5.352861011585576e-16,1.0150610510858574e-15,50
90,NN_Experiment_VIOL_NL,0.0895935433313806,0.04584969647290829,0.0199410503045337,0.1615060205602008,50
90,KKThPINN_Experiment_VIOL_NL,0.00010900430240599916,7.021377533368559e-05,1.5244075402692592e-05,0.0003266183821727,50
90,NN_Experiment_Time_sec,0.007876,0.0004259730757037231,0.0076,0.0098,50
90,KKThPINN_Experiment_Time_sec,0.029506,0.0021754108220972787,0.0284,0.0438,50
