nC_regions,metric,mean,std,min,max,n_runs
1,NN_Experiment_RMSE,0.009589675010827857,0.004567332809101483,0.0028943172900623,0.0166648701717586,50
1,KKThPINN_Experiment_RMSE,0.017931458812143936,0.0008907307610138851,0.0170339106145244,0.0207265911474213,50
1,NN_Experiment_VIOL,0.2018216110728375,0.005361099218004209,0.1882110115170703,0.2155823708976642,50
1,KKThPINN_Experiment_VIOL,5.386960718770491e-16,9.008719967626353e-17,3.8857805861880484e-16,8.049116928532385e-16,50
1,NN_Experiment_VIOL_NL,0.08422389837575603,0.05266361826079769,0.0167537843212508,0.1694892861512678,50
1,KKThPINN_Experiment_VIOL_NL,0.19448956882823087,0.002041895216631356,0.1914961639397158,0.200763125749196,50
1,NN_Experiment_Time_sec,0.004064,0.00016630436812406,0.004,0.0051,50
1,KKThPINN_Experiment_Time_sec,0.004712,0.0001636821209988858,0.0045,0.0051,50
2,NN_Experiment_RMSE,0.00922122369158447,0.004531483472252587,0.0027010839207597,0.0164719927932126,50
2,KKThPINN_Experiment_RMSE,0.006881352016164656,0.0021273656271735357,0.0043758767920875,0.0120629221579496,50
2,NN_Experiment_VIOL,0.08075017788489136,0.04019753257389108,0.0370652618072196,0.1620953711991957,50
2,KKThPINN_Experiment_VIOL,6.462291019764573e-16,1.274565988445993e-16,3.4099707184915524e-16,9.43689570931383e-16,50
2,NN_Experiment_VIOL_NL,0.07577729621043737,0.05076663068891687,0.0113928037695697,0.1702246432617324,50
2,KKThPINN_Experiment_VIOL_NL,0.043014250716741836,0.0014553271467280101,0.0355869304133238,0.0451310555586506,50
2,NN_Experiment_Time_sec,0.004332,0.0001823206415262151,0.0042,0.0053,50
2,KKThPINN_Experiment_Time_sec,0.005198,0.00022631926158253802,0.0051,0.0066,50
3,NN_Experiment_RMSE,0.00853580656285491,0.004062200468787183,0.0031624090575767,0.0162034233466797,50
3,KKThPINN_Experiment_RMSE,0.006428575567180018,0.003930580534267653,0.0031902243125152,0.0245644050840955,50
3,NN_Experiment_VIOL,0.08286440720718889,0.046054346169793516,0.0273372577182623,0.1748932384086653,50
3,KKThPINN_Experiment_VIOL,5.531289711971763e-16,9.812750894966666e-17,3.7271772969558822e-16,7.375052949295682e-16,50
3,NN_Experiment_VIOL_NL,0.07162725253305621,0.04598612996085965,0.0161600940907893,0.1634789538414724,50
