region_id,C_low,C_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error,mean_abs_nonlinear_residual,mean_abs_linearized_residual
0,0.5,0.5333333333333333,8,0.0006839054471634251,0.0008449413316006831,0.001231956059894193,4.718447854656915e-16,0.0006839054471631011
1,0.5333333333333333,0.5666666666666667,6,0.0003338726402962675,0.0005000449468296303,0.0008904622840203782,4.440892098500626e-16,0.0003338726402961195
2,0.5666666666666667,0.6,7,0.0006498476133278894,0.0007738691029231044,0.001146433155685564,5.709718412357948e-16,0.0006498476133274287
3,0.6,0.6333333333333333,8,0.0004299271928723509,0.0006100979283735813,0.001103190743994488,4.718447854656915e-16,0.00042992719287203104
4,0.6333333333333333,0.6666666666666666,6,0.0003016339734919214,0.0004605721260945582,0.0009430583098908041,2.590520390792032e-16,0.0003016339734918844
5,0.6666666666666666,0.7,7,0.00046006628213820497,0.0006445207816645666,0.0010175796288790437,6.344131569286609e-16,0.00046006628213820497
6,0.7,0.7333333333333334,8,0.0003539653647971973,0.000524486208726201,0.0009757851096624595,4.163336342344337e-16,0.00035396536479712857
7,0.7333333333333334,0.7666666666666666,6,0.0002438557214518859,0.00036922269555254774,0.0006939842823120365,6.291263806209221e-16,0.00024385572145155284
8,0.7666666666666666,0.8,7,0.0001704779322499538,0.00034353779934184227,0.0008952811852708104,7.61295788314393e-16,0.00017047793224944627
9,0.8,0.8333333333333333,8,0.00043568902501241354,0.000532259173063338,0.0008568649552090427,4.718447854656915e-16,0.0004356890250122379
10,0.8333333333333333,0.8666666666666667,6,0.00027871796151429504,0.0003524062386907313,0.0006383553698369737,7.401486830834377e-16,0.0002787179615136289
11,0.8666666666666667,0.9,7,0.00032881424315792714,0.00042796528228842835,0.0007841639257666622,3.489272363107635e-16,0.0003288142431580691
12,0.9,0.9333333333333332,8,0.00030344732798862767,0.000425270771313244,0.0007499742783028743,4.163336342344337e-16,0.00030344732798876645
13,0.9333333333333332,0.9666666666666668,6,0.00023186092443677463,0.000310713189831642,0.0005515970590091387,6.661338147750939e-16,0.00023186092443692267
14,0.9666666666666668,1.0,7,0.0002558668398720056,0.00038289467631746877,0.00068598631829727,6.026924990822279e-16,0.0002558668398724814
15,1.0,1.0333333333333332,8,0.00031369365946500987,0.00043562646526157476,0.0006561649580849316,4.163336342344337e-16,0.0003136936594649821
16,1.0333333333333332,1.0666666666666669,6,6.45267152737411e-05,0.0001067191024060638,0.00020226734827908516,8.881784197001252e-16,6.452671527337104e-05
17,1.0666666666666669,1.1,7,0.0002511741977661881,0.0003219836161124444,0.0006007216690264369,7.61295788314393e-16,0.0002511741977661246
18,1.1,1.1333333333333333,8,0.0004266689444997108,0.0004641081205071702,0.0005750170924001888,6.38378239159465e-16,0.0004266689444998496
19,1.1333333333333333,1.1666666666666663,6,0.0002938087976488395,0.00033467956193078635,0.00048371329073833985,5.921189464667501e-16,0.00029380879764876546
20,1.1666666666666663,1.2,7,0.00019365792418705611,0.000264206800125289,0.0005273989680767144,9.198990775465584e-16,0.00019365792418740504
21,1.2,1.2333333333333334,8,0.00023941625749009088,0.00032255061950141,0.0005053800017295676,4.718447854656915e-16,0.00023941625748978557
22,1.2333333333333334,1.2666666666666666,6,0.00018818326908464465,0.0002636062478183782,0.0004538627544598828,9.251858538542972e-16,0.00018818326908401554
23,1.2666666666666666,1.3,7,0.00024477799569049723,0.0002972882899002859,0.00046465174391282366,6.97854472621527e-16,0.0002447779956899731
24,1.3,1.3333333333333337,8,0.00017838749690889935,0.0002619418921050137,0.00044583480412922066,3.608224830031759e-16,0.00017838749690853853
25,1.3333333333333337,1.3666666666666667,6,0.0001355326746393902,0.0001621518738930921,0.00025410855182566097,7.031412489292658e-16,0.0001355326746393532
26,1.3666666666666667,1.4,7,9.467339678987456e-05,0.00016849677296485135,0.0004110341401296208,2.220446049250313e-16,9.467339679003317e-05
27,1.4,1.4333333333333331,8,0.00016660462408705793,0.00023474109563093254,0.00039495062677893933,4.996003610813204e-16,0.00016660462408697797
28,1.4333333333333331,1.4666666666666668,6,6.713393172014133e-05,0.00010775268102430155,0.00019043971369404541,3.7007434154171886e-16,6.713393172006732e-05
29,1.4666666666666668,1.5,8,0.00019858858355822526,0.00024011230041323434,0.0003651820328226807,4.440892098500626e-16,0.00019858858355835082
