n_inner_per_region,nC_regions,num_regions,num_sample_points,linearization_mean_abs_error,linearization_rmse_error,linearization_max_abs_error,mean_abs_nonlinear_residual_on_data,mean_abs_linearized_residual_on_data,linearization_mean_abs_error_region_average,linearization_rmse_error_region_average,projection_check_output_MAE_scaled,projection_check_PL_violation,projection_check_original_nonlinear_violation,n_output_values,n_constraint_values,n_data_points
0,30,30,61,0.0003628352599588369,0.0005439201765621858,0.0012319560598944,4.3316898337833975e-16,0.00036283525995883836,0.0002822175136113238,0.00036628173201773716,1.7874366435208977e-05,6.260929843787768e-16,0.0003628872188086054,183.0,61.0,61.0
1,30,30,91,0.0003422493182136187,0.0005054338408148803,0.0012319560598942,5.075305255429287e-16,0.00034224931821360736,0.0003063201508703495,0.0003994457719732584,1.6916243569728296e-05,5.563315376143642e-16,0.00034240271962196386,273.0,91.0,91.0
2,30,30,121,0.0003137127556616227,0.00047329074956423784,0.0012319560598941,6.165866715273597e-16,0.00031371275566162275,0.0003051105973555038,0.00041526031433881575,1.5483633534992317e-05,6.019060364909939e-16,0.00031388792263092375,363.0,121.0,121.0
5,30,30,211,0.0002901545309210527,0.00042823350285249,0.0012319560598941,5.524806520646514e-16,0.0002901545309209242,0.0002839592319526352,0.0003829589230734967,1.428930367305647e-05,5.303814259820653e-16,0.0002903782485610091,633.0,211.0,211.0
10,30,30,361,0.0002768196848910466,0.00040297201458543993,0.0012319560598943,5.228197068871929e-16,0.00027681968489098456,0.0002735491431616406,0.00036666575270128673,1.3683284411206955e-05,5.609547913895527e-16,0.0002769918995479356,1083.0,361.0,361.0
15,30,30,511,0.0002656020154842796,0.0003885210919684254,0.0012319560598939,5.162211167337323e-16,0.0002656020154841388,0.0002640098537612153,0.00035449247265405173,1.3150741597230593e-05,6.552705757865895e-16,0.00026573737684581014,1533.0,511.0,511.0
20,30,30,661,0.0002552661648895934,0.0003776664898835525,0.0012319560598941,4.975008470408039e-16,0.000255266164889497,0.0002553057936767393,0.00034522487373907663,1.265564444581161e-05,5.831610198938795e-16,0.00025536937310016456,1983.0,661.0,661.0
25,30,30,811,0.0002510967004831867,0.000370190008112729,0.001231956059894,5.338926998813947e-16,0.00025109670048308085,0.0002504033150850539,0.0003372534312920167,1.2425527430861075e-05,5.859130142288126e-16,0.00025117793754356963,2433.0,811.0,811.0
