region_id,T_low,T_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error,mean_abs_nonlinear_residual,mean_abs_linearized_residual
0,280.0,300.0,19,0.004819016183020825,0.0065658558420239495,0.014826081821939464,6.03230116625652e-17,0.004819016183020775
1,300.0,320.0,11,0.007599701878871893,0.010468043277559642,0.02534192378068883,7.853566282149545e-17,0.007599701878871853
2,320.0,340.0,15,0.024020102358115455,0.029576406951917784,0.04857177804091185,1.1009711660866136e-16,0.024020102358115462
3,340.0,360.0,16,0.04866459522695443,0.06851267292504348,0.14945239610518035,9.853229343548264e-16,0.048664595226954446
4,360.0,380.0,13,0.04632889846472206,0.0657560734053799,0.15883042248814794,3.006142343600424e-15,0.04632889846472069
5,380.0,400.0,15,0.036178311295553135,0.05153961156043753,0.11631760766626931,1.0658141036401503e-14,0.03617831129554816
6,400.0,420.0,19,0.09768643586480419,0.14502153183133926,0.32547293431345725,6.649184127270832e-13,0.09768643586431579
7,420.0,440.0,15,0.23944654024901388,0.30630129872636774,0.5580153460425663,2.290789780090563e-12,0.23944654024840945
8,440.0,460.0,27,0.5195647671579896,0.784776041605928,1.6331800782862231,6.832578947069123e-11,0.5195647671630719
