Cao,Ca,Cb,Cc
0.5,0.19265360832266057,1.385307216645321,0.9220391750320185
0.505555555556,0.19567329618954832,1.3802354812670965,0.9296467780993553
0.51,0.19810185976890807,1.3762037195378158,0.9356944206932761
0.516666666667,0.20176594516466484,1.3701985569953292,0.9447021645070058
0.527777777778,0.20792897793170703,1.360302400307414,0.9595463995388789
0.53,0.20916996119672815,1.3583399223934565,0.9624901164098155
0.538888888889,0.2141616033598492,1.3505454289416985,0.9741818565874523
0.545454545455,0.21787690309876168,1.3448447152875231,0.9827329270687151
0.55,0.22046301519587044,1.3409260303917407,0.9886109544123889
0.561111111111,0.22683239363244664,1.3314425650428936,1.00283615243566
0.57,0.23197627370771803,1.323952547415436,1.0140711788768455
0.572222222222,0.2332689068355067,1.3220933692270131,1.0168599461594798
0.583333333333,0.23977171242729425,1.3128767581885885,1.030684862717117
0.59,0.24370486224820773,1.3074097244964156,1.0388854132553769
0.594444444444,0.2463399589222532,1.3037910289565064,1.0443134565652403
0.6,0.24964835427127371,1.2992967085425475,1.0510549371861788
0.605555555556,0.25297278711389887,1.2948344631157978,1.0577483053263035
0.61,0.25564380755692845,1.291287615113857,1.0630685773292148
0.616666666667,0.2596693314070855,1.2860053294801708,1.0709920057797435
0.627777777778,0.2664287211030501,1.2773018866501,1.0840471700248495
0.63,0.267788063582488,1.275576127164976,1.0866358092525357
0.636363636364,0.27169437624906817,1.2706614797701365,1.0940077803447952
0.638888888889,0.2732500816240967,1.2687223854701934,1.09691642179471
0.65,0.2801325356860265,1.2602650713720531,1.1096023929419205
0.661111111111,0.2870752044142509,1.2519281866065017,1.1221077200902472
0.666666666667,0.29056884445741354,1.247804355580827,1.1282934666287596
0.67,0.29267210298856444,1.2453442059771287,1.131983691034307
0.672222222222,0.294077208403999,1.2437099723639977,1.1344350414540034
0.683333333333,0.3011376687247258,1.2356086707834517,1.1465869938248223
0.69,0.30540163882686716,1.2308032776537339,1.1537950835193986
0.694444444444,0.30825570786908807,1.2276225268501757,1.158566209724736
0.705555555556,0.3154304506477333,1.2197497901834664,1.1703753147248004
0.71,0.3183160293164105,1.216632058632821,1.1750519120507685
0.716666666667,0.3226610250268342,1.2119887167196683,1.1820169249204973
0.727272727273,0.32961422193786644,1.204682989329733,1.1929755160054003
0.727777777778,0.32994656291905816,1.2043375702821162,1.1934936445768258
0.73,0.3314101900487809,1.2028203800975619,1.1957694298536572
0.738888888889,0.3372862009162179,1.1967946240544358,1.2048080639183465
0.75,0.3446790809745762,1.1893581619491524,1.2159627570762712
0.761111111111,0.352124351050356,1.1820264798787117,1.2269602801819324
0.77,0.35811771954184934,1.1762354390836984,1.2356468413744526
0.772222222222,0.35962116568761665,1.1747978869312334,1.23780316960315
0.783333333333,0.3671686865600975,1.1676707064541947,1.2484939403187079
0.79,0.37172119217473176,1.1634423843494635,1.254836423475805
0.794444444444,0.37476608296868386,1.1606432770493678,1.2590350844259486
0.8,0.3785832271042075,1.1571664542084148,1.264250318687378
0.805555555556,0.38241253229690486,1.1537139534818095,1.2694290697772854
0.81,0.3854846641875162,1.1509693283750322,1.2735460074374516
0.816666666667,0.39010722042206075,1.1468811075101215,1.2796783387348178
0.818181818182,0.3911601890478116,1.1459567417316232,1.2810648874025652
0.827777777778,0.3978493420940849,1.1401431286321695,1.2897853070517458
0.83,0.39940338823662963,1.1388067764732595,1.2917898352901107
0.838888888889,0.4056381012701464,1.1334984247622928,1.299752362856561
0.85,0.4134727114170807,1.1269454228341615,1.309581865748758
0.861111111111,0.42135239577928624,1.120482569336572,1.3192761459951416
0.87,0.42768808111155643,1.1153761622231126,1.3269357566653308
0.872222222222,0.4292763876145172,1.1141083307850346,1.328837503822448
0.883333333333,0.43724393039928977,1.1078211941325795,1.3382682088011306
0.89,0.44204504969984887,1.1040900993996978,1.3438648509004534
0.894444444444,0.44525427800557976,1.1016196671231597,1.3475704993152606
0.905555555556,0.45330669485118985,1.0955022785903799,1.3567465821144302
0.909090909091,0.45587753208639165,1.0935732459907836,1.359640131013825
0.91,0.45653927823408497,1.0930785564681698,1.3603821652977452
0.916666666667,0.46140045602102775,1.0894675787080557,1.3657986319379165
0.927777777778,0.46953484737173506,1.08351413918747,1.3747287912187947
0.93,0.4711665391817058,1.0823330783634115,1.3765003824548825
0.938888888889,0.477709165606678,1.0776405534353557,1.3835391698469663
0.95,0.4859227183336159,1.071845436667232,1.392231844999152
0.961111111111,0.4941748241021125,1.066127425982225,1.4008088610266625
0.97,0.5008038159696634,1.0616076319393268,1.4075885520910099
0.972222222222,0.5024648124227535,1.060485180401507,1.4092722293977398
0.983333333333,0.5107920237694691,1.054917380872938,1.4176239286905932
0.99,0.5158059473678891,1.0516118947357782,1.4225821578963325
0.994444444444,0.5191558095661931,1.0494227302443866,1.4258659046334203
1.0,0.5233512181912394,1.0467024363824786,1.4299463454262822
1.005555555556,0.527555532159799,1.0439999532075979,1.4340000701886033
1.01,0.5309253427379739,1.0418506854759477,1.4372239717860782
1.016666666667,0.535990564775891,1.0386477962177825,1.4420283056733263
1.027777777778,0.5444602914698765,1.033365027383753,1.4499524589243709
1.03,0.5461583466531904,1.0323166933063808,1.4515249600404287
1.038888888889,0.5529641070592036,1.028150436340407,1.4577743454893894
1.05,0.5615014170490721,1.0230028340981439,1.4654957488527842
1.061111111111,0.5700716375479876,1.0179210528739748,1.4731184206890375
1.07,0.5769511238510323,1.0139022477020645,1.4791466284469033
1.072222222222,0.5786741951747827,1.0129039459055653,1.4806440811416517
1.083333333333,0.5873085269579122,1.0079503872498243,1.4880744191252637
1.09,0.5925041472874037,1.0050082945748071,1.4924875581377894
1.090909090909,0.5932135052958194,1.0046088287736388,1.493086756839542
1.094444444444,0.5959740802277881,1.0030592715675761,1.4954110926486357
1.105555555556,0.60467031250366,0.99822951389532,1.50265572915702
1.11,0.6081572759388505,0.9963145518777011,1.5055281721834484
1.116666666667,0.6133966913710104,0.9934600494080211,1.5098099258879685
1.127777777778,0.6221526943618485,0.9887498331676972,1.5168752502484542
1.13,0.6239074045699126,0.9878148091398252,1.5182777862902623
1.136961687321,0.6294119823577673,0.9849005900735344,1.5226491148896986
1.138888888889,0.6309378088228383,0.9840978398676764,1.5238532401984852
1.15,0.6397515317835504,0.979503063567101,1.5307454046493485
1.161111111111,0.6485933698206637,0.9749645174193272,1.5375532238710092
1.17,0.6556867575350377,0.9713735150700757,1.5429397273948866
1.172222222222,0.657462838919376,0.9704812333947519,1.5442781499078722
1.181818181818,0.6651447061856647,0.9666530487353294,1.5500204268970061
1.183333333333,0.6663594643324781,0.9660522619989558,1.5509216070015661
1.19,0.6717102805373468,0.9634205610746941,1.5548691583879588
1.194444444444,0.6752827804375008,0.9616766719870015,1.5574849920194975
1.2,0.6797543044524021,0.9595086089048046,1.5607370866427932
1.205555555556,0.684232330593133,0.957353550074266,1.5639696748886007
1.21,0.6878193955863352,0.9556387911726705,1.5665418132409945
1.216666666667,0.6932076669904264,0.9530820006468527,1.570376999029721
1.227777777778,0.7022083505112071,0.9488611454664144,1.5767082818003781
1.23,0.7040114908305216,0.9480229816610434,1.5779655275084348
1.238888888889,0.7112339505778911,0.9446901233777822,1.5829648149333266
1.25,0.7202840450070549,0.9405680900141098,1.5891478649788353
1.261111111111,0.7293582198621983,0.9364942175023965,1.5952586737464052
1.27,0.7366346246625841,0.933269249325168,1.600096126012248
1.272222222222,0.7384560693067339,0.9324676941694678,1.6012984587457983
1.272727272727,0.7388701639576809,0.9322857824613615,1.6015713263079576
1.283333333333,0.7475771954574233,0.9284877242488466,1.6072684136267303
1.29,0.7530608813751464,0.9261217627502926,1.610817355874561
1.294444444444,0.7567212082384559,0.9245535275889121,1.6131697086166321
1.305555555556,0.7658877252371777,0.9206643393623555,1.619003490956467
1.31,0.7695605489908511,0.9191210979817022,1.6213183530274466
1.316666666667,0.7750763715566763,0.9168194097793528,1.6247708853309706
1.327777777778,0.7842867796777546,0.913018003799509,1.6304729943007363
