number,value,params_ratio_C,params_ratio_T,state
0,0.7008374158417211,1.0,1.0,COMPLETE
1,1.829624957080103,0.9244217542079664,0.8383038900757784,COMPLETE
2,1.8822229418634424,0.9570717167427538,0.8875455478014229,COMPLETE
3,2.757523701248406,0.8545185210565284,0.9559951616237607,COMPLETE
4,1.7839536278313552,0.9603744355070039,0.8552928510286194,COMPLETE
5,0.8022448625443122,0.975186526948419,0.991627870736741,COMPLETE
6,2.012874854251575,0.9001990251046917,0.8715634539915733,COMPLETE
7,0.7067962752167914,0.94254040539658,0.9366925870344273,COMPLETE
8,1.9236965727407924,0.912239237213125,0.874050150958079,COMPLETE
9,4.482353840975779,0.8027536899181364,0.9006166330615619,COMPLETE
10,2.221293349506842,0.8614925726810369,0.8101751728671099,COMPLETE
11,0.5924509168881318,0.99807526897424,0.9375959787341615,COMPLETE
12,0.7893183134377381,0.9968663009859365,0.9965366225164813,COMPLETE
13,0.7172970513151496,0.992893232673047,0.9514696498846426,COMPLETE
14,0.5558929490602393,0.9979731301770473,0.9239593860898103,COMPLETE
15,0.7171573173734751,0.9734925484398745,0.9093322109701136,COMPLETE
16,0.6507867455029446,0.9493706638320534,0.9241151347122106,COMPLETE
17,0.8657615284203626,0.9782452953424564,0.968667296832279,COMPLETE
18,0.7059695120233691,0.9308307558282012,0.9256372138601257,COMPLETE
19,0.8860892991888868,0.97288272350459,0.9730173272107022,COMPLETE
20,2.200306832666121,0.8804120855018092,0.9060032490249584,COMPLETE
21,0.7071084730314626,0.9405592189136467,0.9339739251001854,COMPLETE
22,0.6959208935569228,0.9583469606565815,0.9196276324308615,COMPLETE
23,0.619779247497198,0.9864132559551607,0.944876292728662,COMPLETE
24,0.7673640265547028,0.9839223498017784,0.9493654353074343,COMPLETE
25,0.710621908130168,0.9998702291686835,0.9776585347069129,COMPLETE
26,0.6222049871669671,0.9850315341215902,0.9449213851845595,COMPLETE
27,2.1851764630666803,0.965404823365166,0.9638464469085518,COMPLETE
28,0.720397825702722,0.9859063969259314,0.8878657622056603,COMPLETE
29,0.6427195747669768,0.9972655183955775,0.9147657216539388,COMPLETE
