number,value,params_ratio_C,params_ratio_T,state
0,0.5953391189788918,1.0,1.0,COMPLETE
1,1.9780491796288882,0.9244217542079664,0.8383038900757784,COMPLETE
2,0.6876720002532251,0.9570717167427538,0.8875455478014229,COMPLETE
3,1.9848903505054618,0.8545185210565284,0.9559951616237607,COMPLETE
4,1.5228123134450098,0.9603744355070039,0.8552928510286194,COMPLETE
5,0.851531687295228,0.975186526948419,0.991627870736741,COMPLETE
6,1.773808454334653,0.9001990251046917,0.8715634539915733,COMPLETE
7,0.706780796624367,0.94254040539658,0.9366925870344273,COMPLETE
8,1.7487570571281088,0.912239237213125,0.874050150958079,COMPLETE
9,4.61532751867489,0.8027536899181364,0.9006166330615619,COMPLETE
10,1.9953780558106264,0.8614925726810369,0.8101751728671099,COMPLETE
11,0.7315638299790527,0.9983244117878826,0.9984620949184002,COMPLETE
12,0.5921387452232022,0.9933118246859427,0.9220875757809596,COMPLETE
13,0.6037660295428224,0.992893232673047,0.9247740041438375,COMPLETE
14,0.5061791001918577,0.9978110030597419,0.963691363677705,COMPLETE
15,0.541310439122058,0.9734408367405739,0.9605029716122984,COMPLETE
16,0.5682986402404944,0.9664380749961499,0.9643619930398195,COMPLETE
17,0.6571211696675077,0.9375992130544931,0.9672401340825404,COMPLETE
18,0.5175188580283632,0.9716080072812592,0.9503595933889466,COMPLETE
19,0.8542571578633288,0.9008569496694434,0.9347381534082442,COMPLETE
20,0.79700484761552,0.9358598790191045,0.9029441878069071,COMPLETE
21,0.7014233186409914,0.9736479515927089,0.9728738786412529,COMPLETE
22,0.5007925581731483,0.9787547512846031,0.9497324866988527,COMPLETE
23,0.6363707303419587,0.9824868717728246,0.9458536793284613,COMPLETE
24,0.7276121107357794,0.9554576853537373,0.9803095123030365,COMPLETE
25,0.7423098318035833,0.9487382724488043,0.9156371752182478,COMPLETE
26,0.4776383881903198,0.9850315341215902,0.9517699758890954,COMPLETE
27,0.6495026239655445,0.9850746613024274,0.9801139424552712,COMPLETE
28,0.6221318371226908,0.9802594631764844,0.9431394051447503,COMPLETE
29,0.7655589577509838,0.9972513466376424,0.9864700718174622,COMPLETE
