Iteration,KKThPINN_Experiment_RMSE,KKThPINN_Experiment_RMSE_MB_Cc,KKThPINN_Experiment_VIOL,KKThPINN_Experiment_VIOL_NL
1,0.0037653400649660454,0.0030064943953220825,6.859592259291146e-16,0.00037409218552636263
2,0.004650715211550013,0.0035030311487878624,4.996003610813204e-16,0.00041885542983146674
3,0.0035004911018478627,0.0027018200747426988,7.414703771603724e-16,0.00022836011299988017
4,0.006915253389141391,0.004631760357094599,5.907972523898154e-16,0.00033213241321776443
5,0.004325955182677189,0.0023689781497602666,5.74936923466599e-16,0.0003323097693304683
6,0.003074210351318797,0.002844106467506698,8.168069395456508e-16,9.594887401245613e-05
7,0.010432567288068862,0.005257249323093366,5.313210189277535e-16,0.00048321978473777575
8,0.004578620739980004,0.0036770783891059635,7.057846370831353e-16,0.0002195434659881009
9,0.003478728128238295,0.0021554507035295685,7.216449660063518e-16,0.00013956941832841366
10,0.00960835291195736,0.005420365206215089,6.819941436983104e-16,0.0004737333368191658
11,0.006762651981075906,0.005260980098702051,5.590765945433824e-16,0.0005860429540284306
12,0.010000184733020197,0.00657909591201556,7.771561172376096e-16,0.0005329568629352333
13,0.004081071981864529,0.0032040767900874205,7.057846370831353e-16,0.00032002678285451337
14,0.004387946094256004,0.0029766574657210006,6.463084036210732e-16,0.00027984498021755823
15,0.004797984973872973,0.0037907532334232625,4.440892098500626e-16,0.0002640467917203559
16,0.005623491744489942,0.004684852381960452,5.035654433121246e-16,0.0004980544552939631
17,0.003863310659211293,0.0029988762967537866,6.463084036210732e-16,8.324760861034127e-05
18,0.008732748813926813,0.006317977309779591,5.352861011585576e-16,0.0007462311415392922
19,0.004347577327361172,0.0030418442689254315,6.70098897005898e-16,8.360881186603362e-05
20,0.005203779129095399,0.005109117456407696,6.145877457746402e-16,0.0003006419430574915
21,0.004119813644882808,0.001986210135356009,5.551115123125783e-16,0.00023094277235073083
22,0.0054962257352562495,0.0036077081731294633,8.326672684688674e-16,0.00013687569940846626
23,0.004877833700038412,0.00394365311341505,7.176798837755476e-16,0.00013391953504273552
24,0.008520144355634482,0.006266443186096897,9.238641597773624e-16,0.0003920033404708657
25,0.004230881554196172,0.0035244576939227556,1.0071308866242491e-15,4.788057305252027e-05
26,0.010347087989436942,0.0039231686962279515,7.652608705451971e-16,0.0002791240061102508
27,0.0032042076930730136,0.002611437758751868,5.9872741685142365e-16,0.00011570425377154466
28,0.004187570455706298,0.0030650414727534285,8.842133374693211e-16,0.00024556141601477844
29,0.007227089406940756,0.004960937995762346,7.018195548523311e-16,0.0003315396729900127
30,0.007015937465477655,0.0030488870510713088,6.185528280054443e-16,0.0001432198938474534
31,0.007794191666637932,0.0021406900371310684,6.304480746978568e-16,0.00034137125471339624
32,0.011555084301512,0.003182000416557052,7.335402126987642e-16,0.00018007958981299473
33,0.0068070405306629445,0.003415193738128565,6.97854472621527e-16,0.00022056863798947807
34,0.008153638100430963,0.005595654314846427,8.643879263153004e-16,0.00018135738696612287
35,0.009450826475705765,0.004534208369188272,7.533656238527848e-16,0.00019913253076068213
36,0.007441731368673387,0.004564318360513777,9.635149820854037e-16,0.0001667145476492398
37,0.002960706636718878,0.002642440570270424,6.463084036210732e-16,0.00030086423597281363
38,0.006119911431527973,0.004866274392589534,6.780290614675064e-16,0.0004530123982565306
39,0.006877489668125522,0.004425807365806404,7.573307060835889e-16,0.00021894148409148343
40,0.003602537602964201,0.0021779495502714137,5.114956077737329e-16,0.0003356122328824504
41,0.008735241171178196,0.004577635722333614,6.264829924670526e-16,0.0002446694465001324
42,0.005075633740550229,0.0035642592577787664,6.542385680826815e-16,0.0002031950503684993
43,0.005982387205022906,0.00438243543199364,8.405974329304756e-16,0.000159717809113398
44,0.004575278063586447,0.003798428537654203,6.463084036210732e-16,0.00042977070325621314
45,0.004360243450008746,0.0036111893373117878,6.463084036210732e-16,0.00013852110373454532
46,0.005043402340468221,0.0019179700406593565,5.432162656201658e-16,0.0003504805346403997
47,0.005934026002447786,0.004776912202434989,7.731910350068055e-16,0.00026026392023158304
48,0.004660395557195554,0.003422883744097627,6.70098897005898e-16,0.00016769004627165823
49,0.008309607547852428,0.0039043114708805543,7.652608705451971e-16,0.0001416545396616239
50,0.008939503146268547,0.004005050122759715,7.097497193139393e-16,0.00019239417952326282
