nC_regions,num_regions,KKThPINN_RMSE_MB_Cc_mean,KKThPINN_RMSE_MB_Cc_ci95,n_runs
1,1,0.02285803367845532,8.10232156372304e-05,50
2,2,0.006792532722151556,0.00021763827288662045,50
3,3,0.005332390235038742,0.0003913389091398916,50
5,5,0.006528025935901008,0.001362399150899103,50
11,11,0.005582759812577616,0.0006825585303887356,50
30,30,0.00383948247377252,0.00033022305854408374,50
55,55,0.003537191103316854,0.00036157047231815266,50
90,90,0.0032267718311706985,0.0003826064821368627,50
