Iteration,NN_Experiment_RMSE,NN_Experiment_RMSE_MB_Cc,NN_Experiment_VIOL,NN_Experiment_VIOL_NL,KKThPINN_Experiment_RMSE,KKThPINN_Experiment_RMSE_MB_Cc,KKThPINN_Experiment_VIOL,KKThPINN_Experiment_VIOL_NL
1,0.004947826216688247,,0.04556481515779158,0.04549738018326464,0.0062683987121619775,,8.247371040072592e-16,0.00014229438304677697
2,0.009655632041805664,,0.11062756922446423,0.11021881767812397,0.0026494911558982244,,7.414703771603724e-16,8.174613560552641e-05
3,0.009503748319348745,,0.09704292856811927,0.0967520844782984,0.005249630190891875,,7.375052949295682e-16,0.0001179307889836911
4,0.014863244537391603,,0.14249676460017358,0.14210018061887525,0.0036215736944692676,,5.868321701590113e-16,8.170814937075562e-05
5,0.009464468214430442,,0.0384261632741535,0.038387831244813125,0.0047417667280074535,,6.38378239159465e-16,0.00013158276543131072
6,0.009317630480630524,,0.07616502470754363,0.07599405693909823,0.005034959520254904,,6.225179102362485e-16,0.00010720054976164668
7,0.007613664275916326,,0.04303479334152479,0.042915903416272785,0.00994569213550619,,6.502734858518775e-16,0.0001061438444601526
8,0.007591755404483754,,0.056369022531750676,0.05610676543698036,0.006169975482677755,,7.097497193139393e-16,0.00023024804534637483
9,0.005661251662866787,,0.024149834883899324,0.024200083926004194,0.003354413804068696,,5.273559366969494e-16,5.834677805991986e-05
10,0.00477716707274367,,0.029045825122361056,0.029126385635406683,0.011520103421207939,,6.859592259291146e-16,0.00015627979028752514
11,0.015334588947300297,,0.15323922638039741,0.15293285851371424,0.0054356793953641,,5.789020056974031e-16,0.00012751655442122038
12,0.009472463085826593,,0.08086638709175722,0.08080756422339569,0.010517222605662532,,5.947623346206196e-16,0.00031424313439965386
13,0.010193776750595915,,0.06980119285759064,0.06968119683450406,0.004292513325324697,,6.582036503134857e-16,4.5977008862250835e-05
14,0.007176528244112149,,0.06268151979675635,0.0627256207362896,0.010698518095840402,,6.582036503134857e-16,0.0002714408383893597
15,0.005589481178955761,,0.042544142302684815,0.042488558417531117,0.008140011159548837,,6.819941436983104e-16,0.00031874060083669775
16,0.008493612632418938,,0.042933298220049265,0.04288557218546096,0.005539449171347229,,7.018195548523311e-16,9.686052435172295e-05
17,0.015331000143770323,,0.1493427480177753,0.14909893277028882,0.004298631087923816,,6.225179102362485e-16,7.265570038649864e-05
18,0.005877023768093181,,0.048983335900788044,0.04887147585700519,0.004419063756094303,,9.595498998545995e-16,5.981437254491089e-05
19,0.01603363976018016,,0.1635877930049482,0.16324223084055745,0.004377871783268774,,7.335402126987642e-16,0.00012884160136226216
20,0.009172294303741182,,0.039830964370343475,0.039569653003237046,0.005315431416452454,,6.582036503134857e-16,0.00016537110018964574
21,0.011773742899254924,,0.1017343826401878,0.10149177105586227,0.01030948675076145,,6.264829924670526e-16,0.00044031871686948053
22,0.0076224415526646855,,0.05838949802885785,0.058220011098042306,0.008640217586981015,,6.106226635438361e-16,0.0001652441928696309
23,0.015607620488436683,,0.14633643314248473,0.14611206294845736,0.0038906211927880905,,8.445625151612799e-16,3.793358504846297e-05
24,0.015494033113024164,,0.13921061552704322,0.13879498119041153,0.007248081407306347,,7.612957883143931e-16,0.00012191621639739672
25,0.005428634310702476,,0.03898227398898714,0.03887702741457855,0.003786798201347004,,7.097497193139393e-16,4.5064908305573036e-05
26,0.006645980365064247,,0.04877098050374484,0.04864973371233752,0.004753624070783761,,6.264829924670526e-16,0.0001647323706316095
27,0.015603398923996792,,0.15312971852330445,0.15278861876509714,0.003584381575586106,,6.225179102362485e-16,7.174223835673676e-05
