region_id,C_low,C_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error,mean_abs_nonlinear_residual,mean_abs_linearized_residual
0,0.5,0.5333333333333333,6,0.0005115272145471576,0.0006350265542407673,0.001231956059894082,6.661338147750939e-16,0.0005115272145468124
1,0.5333333333333333,0.5666666666666667,5,0.00038531765717085797,0.00048584861269973637,0.0007875373384049755,4.884981308350689e-16,0.0003853176571705471
2,0.5666666666666667,0.6,4,0.00025546625337824177,0.000357988125921355,0.0005084292785826547,5.551115123125783e-16,0.00025546625337768665
3,0.6,0.6333333333333333,5,0.00041721945327651797,0.0005816049007462537,0.0011031907439946198,2.6645352591003756e-16,0.00041721945327642917
4,0.6333333333333333,0.6666666666666666,5,0.00034447621486758653,0.00043497634901038516,0.0007087425529502533,4.440892098500626e-16,0.0003444762148673201
5,0.6666666666666666,0.7,6,0.00042235590554246465,0.0005244844513485439,0.001017579628879238,7.031412489292658e-16,0.0004223559055425016
6,0.7,0.7333333333333334,5,0.00029028414182975126,0.00033549416249587714,0.0004325488364306379,2.6645352591003756e-16,0.0002902841418294848
7,0.7333333333333334,0.7666666666666666,5,0.00030205184529075656,0.00038077830290721355,0.0006167350743113004,7.549516567451064e-16,0.0003020518452911562
8,0.7666666666666666,0.8,4,0.0001991486299844059,0.000279070786169224,0.0003968059639619312,7.771561172376096e-16,0.0001991486299838508
9,0.8,0.8333333333333333,5,0.00032382989532232353,0.0004515507982334704,0.0008568649552089594,5.329070518200751e-16,0.00032382989532261984
10,0.8333333333333333,0.8666666666666667,5,0.0002661542364584185,0.00033612472879989054,0.0005479411248819413,7.549516567451064e-16,0.0002661542364588182
11,0.8666666666666667,0.9,5,0.00023351614955386036,0.0002700285931385315,0.0003475117390717569,2.6645352591003756e-16,0.0002335161495536595
12,0.9,0.9333333333333332,5,0.00022289615780777676,0.00025760477758500554,0.000332352081472434,6.217248937900876e-16,0.00022289615780759914
13,0.9333333333333332,0.9666666666666668,5,0.00023151062422762137,0.0002918313219714228,0.00047254756529452324,7.549516567451064e-16,0.0002315106242272217
14,0.9666666666666668,1.0,4,0.00015251421091431246,0.00021372142396775893,0.00030398772548110783,4.440892098500626e-16,0.00015251421091442348
15,1.0,1.0333333333333332,5,0.0002479375466259169,0.0003457504363070542,0.0006561649580856047,6.661338147750939e-16,0.00024793754662598454
16,1.0333333333333332,1.0666666666666669,5,0.00020377123817392137,0.00025734825368977987,0.0004195593806558401,3.9968028886505636e-16,0.00020377123817387697
17,1.0666666666666669,1.1,5,0.0001788691629408831,0.0002068379245727404,0.0002662048013819564,7.993605777301127e-16,0.00017886916294061666
18,1.1,1.1333333333333333,5,0.00017089424384233564,0.0001975052682259262,0.0002548167253541983,5.329070518200751e-16,0.0001708942438424012
19,1.1333333333333333,1.1666666666666663,6,0.00020416549093415538,0.00024633759032963794,0.00036279767400013846,7.031412489292658e-16,0.00020416549093411838
20,1.1666666666666663,1.2,4,0.00011727313937883191,0.0001643372845627624,0.00023372225355826337,6.106226635438361e-16,0.00011727313937898589
21,1.2,1.2333333333333334,5,0.00019098167993039823,0.00026631400742921477,0.0005053800017302962,6.661338147750939e-16,0.0001909816799308635
22,1.2333333333333334,1.2666666666666666,5,0.00015729347636778135,0.00019864413274314405,0.0003238185546747853,1.1102230246251565e-15,0.00015729347636720404
23,1.2666666666666666,1.3,5,0.00013839367581031572,0.00016003164347171695,0.00020592876362511212,8.881784197001252e-16,0.000138393675810671
24,1.3,1.3333333333333337,6,0.00018353706205289028,0.00022714930262497332,0.0004384419669997905,5.921189464667501e-16,0.00018353706205341677
25,1.3333333333333337,1.3666666666666667,5,0.00013822915767739246,0.00017425407037017845,0.00028221534450487487,7.549516567451064e-16,0.00013822915767752568
26,1.3666666666666667,1.4,4,9.143828407650462e-05,0.0001281341990430005,0.0001821806823927366,6.106226635438361e-16,9.143828407622706e-05
27,1.4,1.4333333333333331,5,0.00014928351903130082,0.00020814942295842146,0.0003949506267780789,3.108624468950438e-16,0.00014928351903125642
28,1.4333333333333331,1.4666666666666668,5,0.00012330921312656042,0.00015571741174169902,0.0002537943556687877,5.329070518200751e-16,0.00012330921312656042
29,1.4666666666666668,1.5,6,0.0001505861215023367,0.00018634945998032606,0.00035943560942996305,7.771561172376096e-16,0.00015058612150180097
