Iteration,NN_Experiment_RMSE,NN_Experiment_RMSE_MB_Cc,NN_Experiment_VIOL,NN_Experiment_VIOL_NL,KKThPINN_Experiment_RMSE,KKThPINN_Experiment_RMSE_MB_Cc,KKThPINN_Experiment_VIOL,KKThPINN_Experiment_VIOL_NL
1,0.01434250630501943,,0.16534391116457192,0.15338301842638372,0.006655499102729361,,5.392511833893618e-16,0.022983452094437175
2,0.003775274028761489,,0.037484424598977745,0.027277782778736992,0.005689370329877778,,6.582036503134857e-16,0.023248073818255808
3,0.008956487125533935,,0.07004143650060016,0.05670776976241235,0.007545499803553221,,7.137148015447435e-16,0.03270499440255714
4,0.010786400318184047,,0.08705961903853099,0.07407967129354108,0.007095372355186014,,4.718447854656915e-16,0.02986517489716631
5,0.004911404535618839,,0.051241008941020086,0.03606722956323455,0.008675546979256406,,6.423433213902691e-16,0.026816614403588703
6,0.007351517297869827,,0.04858290682791351,0.039239645382509104,0.0073343685351676905,,6.145877457746402e-16,0.02228399361267579
7,0.011183767646870284,,0.13878342070418967,0.1276157425056057,0.005158911839196052,,5.670067590049907e-16,0.02727888320175761
8,0.007398610783500271,,0.05679859850812108,0.04393311098508164,0.005286814061548882,,5.947623346206196e-16,0.028948214992347177
9,0.008150022749925798,,0.08164745039725138,0.06850628101735359,0.003567165084648442,,6.225179102362485e-16,0.026979003189781074
10,0.007841730050113347,,0.05635049504870582,0.04478842863921857,0.004111808382714085,,4.837400321581039e-16,0.027934293900567408
11,0.012928033547015758,,0.14482591470192102,0.13156153213053534,0.012518603694591032,,4.044383875420213e-16,0.018404002420198604
12,0.012842584940722298,,0.12694284379093632,0.11350803180729235,0.0056020489827085995,,4.87705114388908e-16,0.02921268302604123
13,0.013273719956427149,,0.13780863712755262,0.12633642130250322,0.004457440748180328,,3.766828119263924e-16,0.0276394528124002
14,0.008266595402397922,,0.04558045213207351,0.03174362268366489,0.004557761736317885,,5.035654433121246e-16,0.028490783926776782
15,0.0032113709074704454,,0.03591429802915358,0.018985861220467172,0.011296457001860364,,5.868321701590113e-16,0.023572127357054624
16,0.0057827896261959605,,0.05298608086863565,0.04390177833800464,0.003908964529978404,,5.114956077737329e-16,0.02584419918446874
17,0.01343131253263869,,0.13157040170147008,0.11869218552964297,0.007889798937671274,,6.502734858518775e-16,0.023930254561965097
18,0.0067884515223431904,,0.06921036381553534,0.056589345186321506,0.009791165422488484,,6.225179102362485e-16,0.028501472390184666
19,0.009827524748565774,,0.050678659742679266,0.038009980065119714,0.008399752122977578,,5.352861011585576e-16,0.0248194891130131
