NN_Experiment_RMSE,NN_Experiment_VIOL,NN_Experiment_VIOL_NL,NN_Experiment_Time_sec,KKThPINN_Experiment_RMSE,KKThPINN_Experiment_VIOL,KKThPINN_Experiment_VIOL_NL,KKThPINN_Experiment_Time_sec
0.01600588999933409,0.1607691372028307,0.15920369762889086,0.0043,0.019043421133230896,8.009466106224344e-16,0.0019269565657017013,0.0061
0.005364317615617218,0.027685339137991847,0.02471374357801171,0.0043,0.015644020896532423,6.264829924670526e-16,0.0018626404389068887,0.0061
0.01606823209302321,0.1819369869461574,0.1797786700683611,0.0044,0.007927813859248385,6.740639792367022e-16,0.005791527989692221,0.006
0.003076471519093989,0.01461491007000329,0.008962595789237221,0.0045,0.0068212092117503715,6.819941436983104e-16,0.00920748012182529,0.0061
0.008768389435685725,0.05155877744662883,0.046306650287458825,0.0043,0.004245701303259392,6.780290614675064e-16,0.007840069193023179,0.006
0.014614098262697035,0.12208797610489983,0.1202310220961439,0.0044,0.00868652584172716,5.907972523898154e-16,0.004274402333605289,0.0061
0.008750773513316662,0.08905159772762017,0.08637672873752114,0.0043,0.0037363441705113186,4.916701966197122e-16,0.00842000726181497,0.0059
0.006820457313771085,0.0496606637802516,0.045147961041180566,0.0044,0.01768839275690941,7.731910350068055e-16,0.0016286181504344519,0.0063
0.015861482115871434,0.14541661376033677,0.14327344702005607,0.0044,0.012249797166714736,6.582036503134857e-16,0.0028641749345895686,0.0063
0.013384672468354912,0.10164407563381356,0.09976630033493805,0.0043,0.01005701660422249,5.9872741685142365e-16,0.004195135056104655,0.0061
0.008032610424893453,0.04697715455860493,0.04325217494179457,0.0045,0.0037549008380662417,5.075305255429287e-16,0.0077292380506752195,0.006
0.01636134857101841,0.16599385047904702,0.16392241083983056,0.0043,0.009229991679270143,6.661338147750939e-16,0.013699692969214987,0.006
0.014964590981047035,0.16126162155489823,0.15892356586345108,0.0043,0.004533094912456399,5.233908544661452e-16,0.007018970428399721,0.006
0.010393953874283254,0.10983593124872665,0.10733088547183417,0.0043,0.011317862916902939,4.956352788505163e-16,0.008313746473441195,0.006
0.01091535221044984,0.06664718205208003,0.06468399535845232,0.0043,0.027483096404957812,8.366323506996715e-16,0.0009055884053085664,0.0063
0.005224877767012762,0.05614189500930242,0.05232370009376994,0.0046,0.009383935575046147,6.819941436983104e-16,0.005342493703731381,0.006
0.010434460478155392,0.103808522316185,0.1002816572139534,0.0043,0.009040054008275518,5.432162656201658e-16,0.005580838635202783,0.006
0.01155415710510348,0.123624997979663,0.12057523539300374,0.0074,0.00815023434096784,5.035654433121246e-16,0.011139661609522188,0.0061
0.008197902571552297,0.06015431556891008,0.057446391167046834,0.0043,0.002995899635682211,5.630416767741865e-16,0.009093540669478324,0.0061
0.00944644282160853,0.09735865812657878,0.09438541098928127,0.0043,0.007010284079858347,6.423433213902691e-16,0.005729327568497248,0.006
0.0053224573869278275,0.028227989511017723,0.027012801141998916,0.0043,0.009490438753098638,4.440892098500626e-16,0.008004911001425776,0.0097
0.009870826389985859,0.04987245595852796,0.04661670870621114,0.0043,0.004415020072008184,5.392511833893618e-16,0.009353620972582685,0.006
0.012960097651554819,0.12614308106925298,0.12308648092470158,0.0043,0.004762175408856998,5.670067590049907e-16,0.006904668850375894,0.006
0.011674149991235448,0.10768858909728625,0.10575287684077497,0.0044,0.00322158708372969,5.432162656201658e-16,0.007707620164881354,0.006
0.010405406518384498,0.11602088546416267,0.11359599539395153,0.0043,0.003625906915558558,7.256100482371559e-16,0.008762689938225156,0.006
0.011953684691850444,0.09668490826876178,0.09435715047819623,0.0043,0.004317455217133769,4.996003610813204e-16,0.006345949010137273,0.0061
0.005192451580750651,0.03216448838250055,0.03042612587353033,0.0042,0.0025317371746834258,5.630416767741865e-16,0.008197816600235868,0.0068
0.01466546244227391,0.15146399516546255,0.1492783844898385,0.0043,0.009644535630966084,4.758098676964956e-16,0.005311647532914369,0.0063
0.012701314608584537,0.08874041377359482,0.08646564749964904,0.0043,0.006164197755403192,4.996003610813204e-16,0.007697308812688492,0.0064
0.015442119933756847,0.15729644694937586,0.15501850999086114,0.0043,0.0032792493326028334,4.599495387732791e-16,0.009859892327966906,0.0061
0.009364895883233134,0.09007665450885342,0.08681478747971752,0.0043,0.006603824586349294,7.335402126987642e-16,0.005893341233390779,0.0074
0.013972222050516594,0.14695671309373162,0.14523768163485246,0.0044,0.012195935534371892,6.225179102362485e-16,0.003698623157210342,0.0061
0.0038749864648929405,0.022938711462085957,0.020961348714338805,0.0045,0.00519641085811596,5.590765945433824e-16,0.0072762495102584555,0.0063
0.007692098981514876,0.02271512043790039,0.02026523660620597,0.0043,0.004675220713655421,5.947623346206196e-16,0.010703661784245436,0.006
0.00783744415918433,0.05619633358310091,0.05313145480980805,0.0043,0.006941998501344332,5.313210189277535e-16,0.012063864210446362,0.006
0.015078577545528517,0.14206544025957657,0.13985582181384978,0.0044,0.011013194803619833,6.225179102362485e-16,0.010755485778200156,0.0101
0.01429705750257977,0.15205050417597288,0.15029405399740636,0.0043,0.008271011025084334,5.907972523898154e-16,0.007109619578081558,0.0059
0.013323275106907112,0.12511042422434404,0.12236033923883613,0.0043,0.01027393024747479,6.542385680826815e-16,0.005041972705205622,0.0061
0.0098324176853317,0.11424681540182707,0.11251306575140921,0.0044,0.007635278034360294,5.947623346206196e-16,0.006444754467770913,0.0079
0.01399936236412561,0.1427277681656893,0.1402963598401723,0.0044,0.007295942900843456,7.216449660063518e-16,0.006289821881770238,0.006
0.013189571746978494,0.12028571480957295,0.11691870894073794,0.0045,0.009529444986094291,6.582036503134857e-16,0.00447051697241073,0.0061
0.01397836029357454,0.14298405804826098,0.1407727755078227,0.0045,0.011081864746873988,6.225179102362485e-16,0.003261343704748902,0.0061
