region_id,C_low,C_high,Caoss,Cass,Cbss,fss,aCao,aCa,aCb
0,0.5,0.5111111111111111,0.5055555555555555,0.1956732961895481,1.3802354812670965,-9.534595335480844e-13,2.148741995664915,-9.19010421184124,-3.1452224125266754
1,0.5111111111111111,0.5222222222222223,0.5166666666666666,0.2017659451646647,1.3701985569953294,-7.158718062783009e-13,2.148741995664915,-9.088068501554776,-3.192416270636219
2,0.5222222222222223,0.5333333333333333,0.5277777777777778,0.207928977931707,1.360302400307414,-4.769518113789672e-13,2.148741995664915,-8.98819294632921,-3.239630088583496
3,0.5333333333333333,0.5444444444444444,0.5388888888888889,0.2141616033598492,1.3505454289416985,-2.391420395042587e-13,2.148741995664915,-8.890430855642219,-3.2868572558636915
4,0.5444444444444444,0.5555555555555556,0.55,0.2204630151958704,1.3409260303917407,-2.220446049250313e-16,2.148741995664915,-8.794736128559544,-3.3340913323229096
5,0.5555555555555556,0.5666666666666667,0.5611111111111111,0.2268323936324467,1.3314425650428934,2.3869795029440866e-13,2.148741995664915,-8.701063279020705,-3.3813260508465026
6,0.5666666666666667,0.5777777777777777,0.5722222222222222,0.2332689068355066,1.3220933692270134,4.771738559838923e-13,2.148741995664915,-8.609367458758387,-3.4285553194857368
7,0.5777777777777777,0.5888888888888889,0.5833333333333333,0.2397717124272943,1.3128767581885885,7.158718062783009e-13,2.148741995664915,-8.519604477902824,-3.4757732230477387
8,0.5888888888888889,0.6,0.5944444444444444,0.2463399589222531,1.3037910289565064,9.552358903874847e-13,2.148741995664915,-8.431730823330952,-3.522974024174844
9,0.6,0.6111111111111112,0.6055555555555556,0.2529727871138988,1.2948344631157978,-9.550138457825597e-13,2.148741995664915,-8.345703674819735,-3.570152163944665
10,0.6111111111111112,0.6222222222222222,0.6166666666666667,0.2596693314070854,1.2860053294801708,-7.156497616733759e-13,2.148741995664915,-8.261480919123308,-3.6173022619930846
11,0.6222222222222222,0.6333333333333333,0.6277777777777778,0.2664287211030501,1.2773018866501,-4.773959005888173e-13,2.148741995664915,-8.179021161936852,-3.664419116252019
12,0.6333333333333333,0.6444444444444445,0.6388888888888888,0.2732500816240967,1.2687223854701934,-2.3936408410918375e-13,2.148741995664915,-8.098283737985158,-3.71149770224525
13,0.6444444444444445,0.6555555555555556,0.65,0.2801325356860265,1.2602650713720531,4.440892098500626e-16,2.148741995664915,-8.019228719205724,-3.758533172034272
14,0.6555555555555556,0.6666666666666667,0.6611111111111112,0.2870752044142509,1.2519281866065015,2.395861287141088e-13,2.148741995664915,-7.941816921162282,-3.8055208528166427
15,0.6666666666666667,0.6777777777777778,0.6722222222222223,0.2940772084039989,1.2437099723639975,4.785061236134425e-13,2.148741995664915,-7.8660099077715655,-3.8524562452086357
16,0.6777777777777778,0.6888888888888889,0.6833333333333333,0.3011376687247258,1.2356086707834515,7.176481631177012e-13,2.148741995664915,-7.7917699944351915,-3.8993350212391986
17,0.6888888888888889,0.7,0.6944444444444444,0.308255707869088,1.2276225268501757,9.556799795973347e-13,2.148741995664915,-7.7190602496687095,-3.9461530220815106
18,0.7,0.7111111111111111,0.7055555555555555,0.3154304506477332,1.2197497901834666,-9.556799795973347e-13,2.148741995664915,-7.647844495313368,-3.9929062555518273
19,0.7111111111111111,0.7222222222222222,0.7166666666666667,0.3226610250268342,1.2119887167196683,-7.16537940093076e-13,2.148741995664915,-7.5780873054597775,-4.039590893374981
20,0.7222222222222222,0.7333333333333334,0.7277777777777779,0.329946562919058,1.2043375702821162,-4.769518113789672e-13,2.148741995664915,-7.509754004077467,-4.086203268303225
21,0.7333333333333334,0.7444444444444445,0.7388888888888889,0.3372862009162178,1.1967946240544358,-2.3869795029440866e-13,2.148741995664915,-7.442810661566473,-4.1327398710268755
22,0.7444444444444445,0.7555555555555555,0.75,0.3446790809745761,1.189358161949153,-1.1102230246251565e-15,2.148741995664915,-7.377224090220463,-4.17919734696132
23,0.7555555555555555,0.7666666666666666,0.7611111111111111,0.3521243510503559,1.182026479878712,2.3803181647963356e-13,2.148741995664915,-7.312961838723632,-4.225572492905574
24,0.7666666666666666,0.7777777777777778,0.7722222222222221,0.3596211656876166,1.1747978869312334,4.778399897986674e-13,2.148741995664915,-7.24999218575581,-4.2718622535957955
25,0.7777777777777778,0.788888888888889,0.7833333333333334,0.3671686865600974,1.167670706454195,7.158718062783009e-13,2.148741995664915,-7.188284132783697,-4.318063718171885
26,0.788888888888889,0.8,0.7944444444444445,0.3747660829686838,1.1606432770493678,9.554579349924097e-13,2.148741995664915,-7.127807396113254,-4.364174116574113
