Iteration,KKThPINN_Experiment_RMSE,KKThPINN_Experiment_RMSE_MB_Cc,KKThPINN_Experiment_VIOL,KKThPINN_Experiment_VIOL_NL
1,0.006395179917056493,0.003873027471947125,8.405974329304756e-16,0.0001414916409993791
2,0.002742415179482561,0.001676126323805379,7.375052949295682e-16,8.312872217386611e-05
3,0.005415142980940088,0.0038033982780983342,7.2957513046796e-16,0.0001211465441898584
4,0.0036813714368559053,0.0023886716180826183,5.947623346206196e-16,8.303595758773347e-05
5,0.004737618804218814,0.003210779716379894,6.582036503134857e-16,0.0001286884369629676
6,0.005045786846855887,0.0037223280673262956,6.145877457746402e-16,0.00010692799232269793
7,0.01018715081935641,0.0033189804060222887,6.463084036210732e-16,0.00011101109005015597
8,0.006054561568717375,0.004935467350482665,7.018195548523311e-16,0.00022158017722552194
9,0.003349542631352996,0.002149754374099768,5.313210189277535e-16,6.002816438621066e-05
10,0.011546430471879029,0.004788590668872537,6.899243081599187e-16,0.0001566926969346399
11,0.005578869932728488,0.0038825464459934195,5.947623346206196e-16,0.00013226091836591916
12,0.010263239614133925,0.006283587780155024,5.9872741685142365e-16,0.00030564286478178965
13,0.004284930798607709,0.0025939071671831175,6.661338147750939e-16,4.595551265681611e-05
14,0.010853151488114264,0.00614379354117443,6.542385680826815e-16,0.0002770436284258844
15,0.008256334809551402,0.006487515652034861,6.780290614675064e-16,0.0003181736053803718
16,0.005661556855241914,0.0030466658991546007,7.137148015447435e-16,9.666862572897474e-05
17,0.004298983442211065,0.0016643976009922561,6.264829924670526e-16,7.255477075685761e-05
18,0.0043846160904351195,0.0030854000546441957,9.47654653162187e-16,5.9233437590270375e-05
19,0.004382034734685881,0.0036883976933891048,7.375052949295682e-16,0.00012649537690129022
20,0.005173315388985877,0.004292972914623568,6.582036503134857e-16,0.00016202230177881697
21,0.010298442466015382,0.007303749759018914,6.225179102362485e-16,0.00043490862260025186
22,0.008699597733172292,0.004700593682279428,6.264829924670526e-16,0.00016332606190904073
23,0.004028089508288604,0.002576496529064491,8.524926796228881e-16,3.865405457176384e-05
24,0.007206657890948641,0.00438517624699372,7.771561172376096e-16,0.00011971262099729624
25,0.0038790199107554394,0.002121359279527237,7.216449660063518e-16,4.568997346807059e-05
26,0.004735161654709497,0.004252589323054912,6.264829924670526e-16,0.00016515270259152143
27,0.0035744206718490595,0.002932625567173874,6.185528280054443e-16,6.994624462055624e-05
28,0.006461074444662174,0.0036770377950913554,7.494005416219807e-16,0.00015251367998685053
29,0.005221225966590361,0.004052591298548272,6.542385680826815e-16,0.0001439754824829688
30,0.0019952508096448864,0.001527575222789772,6.264829924670526e-16,6.637391515055805e-05
31,0.006243854162701253,0.004268354622607657,6.70098897005898e-16,0.00014099648696469315
32,0.0070354733183854695,0.0028946608674157615,7.850862816992178e-16,0.00010694535335146927
33,0.002641277215128192,0.002337669707567753,7.454354593911765e-16,6.196318677333806e-05
34,0.0046435570514084855,0.003836932393584423,6.264829924670526e-16,0.00010874230246104724
35,0.0099164184567637,0.004384560170344175,8.683530085461046e-16,0.0001345696560485469
36,0.008297953763724272,0.004012043899565595,6.97854472621527e-16,0.00015062333973778704
37,0.004367602283709143,0.0035388011370255782,1.2490009027033011e-15,6.646566931443788e-05
38,0.0032315280959298027,0.002636501078087134,8.009466106224344e-16,0.00013435505582027864
39,0.0036094038205386828,0.001994220538125059,6.225179102362485e-16,8.64072227183563e-05
40,0.0035650623096696696,0.002115943754717963,6.185528280054443e-16,7.682936512651284e-05
41,0.004573129739238019,0.0031050249139787213,6.542385680826815e-16,0.000140492630103059
42,0.005324118665921018,0.0030493824960677227,6.06657581313032e-16,7.575967756680787e-05
43,0.005871011381383242,0.00413838202309556,6.026924990822279e-16,0.00015016272181962622
44,0.0069059964820555875,0.004267136429578135,5.590765945433824e-16,0.00011605310863322433
45,0.002593257688172882,0.001779865831464365,8.287021862380633e-16,9.487956397566983e-05
46,0.009358125003404766,0.0039365046807247105,6.304480746978568e-16,0.00010771844914319952
47,0.004897390647308875,0.0037914806889918404,8.683530085461046e-16,0.00010900714875723496
48,0.00866099295839994,0.003165805338579623,6.938893903907228e-16,8.823181378621016e-05
49,0.0026295691870209924,0.0021613997936688082,5.630416767741865e-16,8.571903941968178e-05
50,0.004802381748466097,0.0028787810726510293,6.621687325442898e-16,8.638609257266363e-05
