Feature_0,Target_0,Target_1,Target_2
0.6210711,0.67559505,0.67559505,0.745182
0.37442443,0.99868524,0.99868524,0.0032213957
0.6474975,0.64921534,0.64921534,0.8057617
0.5085586,0.8097959,0.8097959,0.43699634
0.48293293,0.8446915,0.8446915,0.35686034
0.5666166,0.7363656,0.7363656,0.60562533
0.39684686,0.9888084,0.9888084,0.025903089
0.73038036,0.5788377,0.5788377,0.96738034
0.61026025,0.68697405,0.68697405,0.7190507
0.571021,0.7311362,0.7311362,0.61763453
0.73838836,0.57293683,0.57293683,0.9809314
0.4641141,0.8720346,0.8720346,0.29406828
0.561011,0.7430972,0.7430972,0.5901666
0.5305806,0.78102916,0.78102916,0.5030578
0.6390891,0.65738976,0.65738976,0.78698945
0.42287287,0.94726825,0.94726825,0.121298015
0.3572072,0.9998794,0.9998794,0.00047896543
0.69634634,0.60559916,0.60559916,0.905924
0.5678178,0.73493415,0.73493415,0.6089126
0.70275277,0.60034573,0.60034573,0.9179883
0.4340841,0.92420954,0.92420954,0.1742512
0.52137136,0.79293287,0.79293287,0.47572154
0.43848848,0.9155648,0.9155648,0.19410346
0.42527527,0.9422864,0.9422864,0.13273856
0.67352355,0.6251747,0.6251747,0.8609698
0.59144145,0.7075995,0.7075995,0.67168534
0.6627127,0.63493276,0.63493276,0.8385608
0.555005,0.75040174,0.75040174,0.57339215
0.6422923,0.6542518,0.6542518,0.79419565
0.4412913,0.910252,0.910252,0.20630398
0.6559059,0.641242,0.641242,0.82407194
0.5373874,0.77235156,0.77235156,0.5229854
0.3632132,0.9996721,0.9996721,0.00095501944
0.61826825,0.6785122,0.6785122,0.73848283
0.3576076,0.99986947,0.99986947,0.0005019261
0.49054053,0.8341366,0.8341366,0.3810992
0.6386887,0.6577841,0.6577841,0.7860839
0.707958,0.5961527,0.5961527,0.9276173
0.56341344,0.74020195,0.74020195,0.59681547
0.47492492,0.85606056,0.85606056,0.33075187
0.60265267,0.6951872,0.6951872,0.70018953
0.4697197,0.8636427,0.8636427,0.31333986
0.6078579,0.6895493,0.6895493,0.7131367
0.62227225,0.6743519,0.6743519,0.7480368
0.58143145,0.7189893,0.7189893,0.64552915
0.356006,0.9999069,0.9999069,0.0004159046
0.72437435,0.5833594,0.5833594,0.9569965
0.49294293,0.83084273,0.83084273,0.3886634
0.47932932,0.8497694,0.8497694,0.34519914
0.532983,0.7779545,0.7779545,0.51011854
0.5417918,0.7667936,0.7667936,0.535749
0.39284283,0.99197924,0.99197924,0.01862138
0.50735736,0.8113948,0.8113948,0.43332458
0.5237738,0.7898098,0.7898098,0.48289338
0.39804804,0.9876881,0.9876881,0.02847573
0.38003004,0.9976086,0.9976086,0.0056938133
0.40045044,0.98519725,0.98519725,0.034195896
0.5165666,0.79921573,0.79921573,0.46129325
0.47252253,0.8595381,0.8595381,0.32276598
0.50335336,0.8167474,0.8167474,0.42103255
0.6466967,0.64998513,0.64998513,0.8039939
0.40285286,0.9823619,0.9823619,0.040707167
0.40805805,0.9750299,0.9750299,0.057544757
0.7455956,0.5677483,0.5677483,0.99284655
0.40685686,0.97686315,0.97686315,0.053334802
0.6519019,0.6450139,0.6450139,0.81540996
0.591041,0.70804954,0.70804954,0.6706518
0.5642142,0.7392403,0.7392403,0.5990239
0.56541544,0.737801,0.737801,0.6023291
0.7367868,0.5741055,0.5741055,0.9782477
0.6691191,0.6291117,0.6291117,0.85192865
0.38563564,0.99583215,0.99583215,0.009773384
0.5646146,0.7387601,0.7387601,0.60012656
0.45890892,0.880097,0.880097,0.2755535
0.40645647,0.9774558,0.9774558,0.05197374
0.71116114,0.5936056,0.5936056,0.93346673
0.5578078,0.7469812,0.7469812,0.58124715
0.49774775,0.82430327,0.82430327,0.4036809
0.37282282,0.9989018,0.9989018,0.0027241628
0.567017,0.73588806,0.73588806,0.60672206
0.53618616,0.77387524,0.77387524,0.51948637
0.4492993,0.8959005,0.8959005,0.23926146
0.6535035,0.6434998,0.6434998,0.8188872
0.4392893,0.9140313,0.9140313,0.19762486
0.44249249,0.90802175,0.90802175,0.21142559
0.7355856,0.5749857,0.5749857,0.9762263
0.49134135,0.8330367,0.8330367,0.38362497
0.61746746,0.6793499,0.6793499,0.7365591
0.69554555,0.60626316,0.60626316,0.9043992
0.3696196,0.9992449,0.9992449,0.0019360736
0.72557557,0.58244836,0.58244836,0.9590886
0.7467968,0.56689465,0.56689465,0.99480706
0.6370871,0.659366,0.659366,0.7824511
0.6851351,0.61504465,0.61504465,0.8842329
0.5225726,0.7913698,0.7913698,0.479311
0.5706206,0.7316094,0.7316094,0.6165478
0.3616116,0.99974114,0.99974114,0.00079654314
0.70755756,0.5964729,0.5964729,0.926882
0.5117618,0.8055474,0.8055474,0.44675273
0.45650652,0.88392454,0.88392454,0.26676363
0.47572574,0.854909,0.854909,0.33339635
0.7435936,0.56917816,0.56917816,0.9895631
0.38283283,0.99682695,0.99682695,0.0074888887
0.6366867,0.6597627,0.6597627,0.7815402
0.58263266,0.7176074,0.7176074,0.6487027
0.48093092,0.8475055,0.8475055,0.3503981
0.362012,0.999725,0.999725,0.00083365565
0.49734735,0.8248459,0.8248459,0.40243474
0.7347848,0.57557434,0.57557434,0.97487456
0.37602603,0.99843276,0.99843276,0.0038012688
0.4280781,0.9364672,0.9364672,0.14610212
0.526977,0.78566515,0.78566515,0.49241143
0.40965965,0.9724608,0.9724608,0.06344449
0.61626625,0.68061,0.68061,0.7336654
0.37682682,0.9982914,0.9982914,0.0041258666
0.52817816,0.7841166,0.7841166,0.49596748
0.5558058,0.7494224,0.7494224,0.5756412
0.4637137,0.8726447,0.8726447,0.29266718
0.6899399,0.61095685,0.61095685,0.8936203
0.48453453,0.84245205,0.84245205,0.3620031
0.528979,0.78308606,0.78308606,0.49833417
0.6711211,0.62731564,0.62731564,0.85605323
0.48533535,0.8413361,0.8413361,0.36456597
0.62027025,0.6764262,0.6764262,0.7432733
0.40605605,0.97803915,0.97803915,0.05063415
0.46651652,0.8684054,0.8684054,0.30240262
0.49534535,0.8275653,0.8275653,0.39618984
0.38323322,0.99669886,0.99669886,0.007783024
0.71516514,0.5904566,0.5904566,0.9406981
0.56741744,0.73541087,0.73541087,0.6078178
0.6018519,0.6960616,0.6960616,0.69818145
0.41926926,0.95463145,0.95463145,0.104388714
0.3512012,0.9999861,0.9999861,0.00023398556
0.6799299,0.6195414,0.6195414,0.8739064
0.3592092,0.9998247,0.9998247,0.0006046112
0.75,0.5646333,0.5646333,1.0
0.37882882,0.9978883,0.9978883,0.005051438
0.5497998,0.7568074,0.7568074,0.5586819
0.73999,0.57177395,0.57177395,0.9836019
0.6326827,0.6637546,0.6637546,0.772373
0.59824824,0.7000198,0.7000198,0.68909186
0.38443443,0.9962873,0.9962873,0.008728108
0.4537037,0.88848823,0.88848823,0.2562834
0.6270771,0.6694215,0.6694215,0.7593592
0.46491492,0.870819,0.870819,0.29685986
0.72957957,0.5794358,0.5794358,0.9660069
0.40765765,0.9756501,0.9756501,0.056120537
0.57342345,0.7283062,0.7283062,0.6241334
0.5441942,0.76378137,0.76378137,0.5426665
0.6230731,0.67352545,0.67352545,0.7499346
0.42687687,0.93895847,0.93895847,0.14038093
0.4613113,0.8763393,0.8763393,0.2841827
0.4525025,0.8904792,0.8904792,0.25171122
0.59624624,0.7022351,0.7022351,0.6840044
0.48653653,0.8396664,0.8396664,0.36840016
0.67952955,0.6198903,0.6198903,0.8731052
0.49614614,0.8264763,0.8264763,0.39869067
0.7247748,0.5830554,0.5830554,0.95769477
0.6286787,0.66779304,0.66779304,0.7630989
0.5622122,0.74164766,0.74164766,0.5934955
0.4436937,0.90581954,0.90581954,0.21648292
0.61106104,0.6861194,0.6861194,0.72101337
0.6278779,0.66860634,0.66860634,0.7612312
0.5606106,0.74358124,0.74358124,0.5890551
0.69674677,0.60526776,0.60526776,0.906685
0.53018016,0.78154284,0.78154284,0.5018781
0.71916914,0.5873462,0.5873462,0.94784105
0.66951954,0.62875164,0.62875164,0.8527556
0.39364365,0.99141103,0.99141103,0.019926198
0.69474477,0.60692877,0.60692877,0.9028707
0.48413414,0.84301096,0.84301096,0.36071956
0.59744745,0.7009045,0.7009045,0.6870601
0.4553053,0.8858668,0.8858668,0.26230326
0.46091092,0.87696105,0.87696105,0.282755
0.58023024,0.72037536,0.72037536,0.64234626
0.3524024,0.9999702,0.9999702,0.0002705992
0.41766766,0.9578251,0.9578251,0.09705465
0.35,1.0,1.0,0.00020211174
0.48613614,0.8402224,0.8402224,0.36712343
0.4480981,0.897978,0.897978,0.23449053
0.38603604,0.99567014,0.99567014,0.010145481
0.56821823,0.7344579,0.7344579,0.6100064
0.49014014,0.83468723,0.83468723,0.37983462
0.42247248,0.94809484,0.94809484,0.119399704
0.7147648,0.59076977,0.59076977,0.93997896
0.715966,0.5898315,0.5898315,0.9421337
0.4496997,0.89521354,0.89521354,0.24083903
0.548999,0.7577989,0.7577989,0.5564049
0.48333332,0.8441307,0.8441307,0.35814822
