NN_Experiment_Error,KKThPINN_Experiment_Error
0.03007177221567706,0.06824834227647446
0.03930299050401162,0.06909165407644552
0.14010496145209697,0.06988193387470204
0.11731006054572364,0.07073027372093699
0.04989378278554387,0.06979425535995308
0.02453683856879045,0.07696337360852035
0.13285969323467053,0.07205921857563173
0.13309065882630353,0.07139364093533873
0.06838785412740848,0.10194819372681974
0.05087541425897879,0.07033554935323065
0.013268143078084783,0.07322150097218226
0.02902380821606088,0.07128477736880405
0.019699844239792794,0.06885831408828157
0.0184944201064553,0.0728431508721799
0.13868842143752552,0.09134722787345942
0.2133628372147535,0.07143875834833263
0.055820796556022394,0.0700941765138885
0.029074461159774412,0.07021894249008488
0.04952965381924219,0.07830659131959654
0.04041078838155422,0.103612864230123
0.03310106194157131,0.07249449479205963
0.031495543382144435,0.19398312915474145
0.04120432780354253,0.06795087377487709
0.07208014136258514,0.07282284975872694
0.02626539904904219,0.09374331783282741
0.056412113076014334,0.07202550989959314
0.0256369853761647,0.0697647596833688
0.016662197885503473,0.06823926660109202
0.05217049546069436,0.07366268803418394
0.03644286535202577,0.19318069284205025
0.09722482632787713,0.11542374600450579
0.03144549616321689,0.07347974121951244
0.03205822626981111,0.07265519199382925
0.023172721339029506,0.13978476472463724
0.03352708086143008,0.08572918938933512
0.05283490065646351,0.07034741261751058
0.042156400189121576,0.06982039102653095
0.038689383332817684,0.07354894454332551
0.09295479340137269,0.07131046837649344
0.03601574095282745,0.116374395719628
0.09659523779618182,0.06908458644291239
0.028558381721216008,0.071296524937548
0.025093584296239372,0.06647378190922257
0.03126687915563024,0.06805343798566599
0.03315467994894206,0.07550998318115593
0.11371413916664093,0.07026378944392439
0.04675300003026546,0.0830662479596454
0.07387412835448455,0.06814918774195984
0.03263297039992776,0.13052009343907095
0.040319881574871166,0.07117758793905175
