mu_rxn,mu_mb,label_value,rmse_mean,rmse_std,violation_mean,violation_std,violation_rxn_mean,violation_rxn_std,violation_mb_mean,violation_mb_std
0.0,0.0,0.0,0.009335328759787648,0.003930804643400307,0.04173257110559216,0.020191335113458556,0.07836660898639822,0.04108495058189966,0.005098533224786113,0.0022377752198548956
0.0,0.0001,0.0001,0.010269186058520589,0.00541889956850824,0.04509335559390342,0.03571931441738714,0.085141440109979,0.07492068803626775,0.00504527107782784,0.004061754040283911
0.0,0.001,0.001,0.011152230022434761,0.004552772095381685,0.05048376710627156,0.031034870786728386,0.09592131954200084,0.06451951931554611,0.005046214670542291,0.0026524647526142676
0.0,0.01,0.01,0.011498411646256835,0.0030797705901612444,0.04979220386030714,0.017801932560391424,0.09554437899039786,0.03189304402316636,0.0040400287302164205,0.004227799619980818
0.0,0.1,0.1,0.012430871371711,0.002471391450010373,0.05753715485033151,0.014206860097505887,0.11331616585674457,0.028482546466930603,0.0017581438439184475,0.0018220026865701437
0.0,0.2,0.2,0.011724827044326251,0.0011125198402970398,0.0435770270164938,0.004773041922074078,0.08318217185603596,0.010914117621904315,0.0039718821769516195,0.0023515553415409604
0.0,0.5,0.5,0.021183588662957175,0.004887585643338366,0.07579607768927428,0.01303022034362557,0.14696272133554852,0.026376406006348115,0.004629434043000023,0.0013363501746944276
0.0,1.0,1.0,0.0329129851511783,0.017229119972679053,0.07286950221260316,0.0360726037862718,0.1421742091700412,0.07132939242037109,0.003564795255165107,0.0010823935317739082
0.0,2.0,2.0,0.060569981950204445,0.048379631690534095,0.11721626186930022,0.06854810324057535,0.23098931815362556,0.1338096287624564,0.003443205584974882,0.003291310955310377
0.0,5.0,5.0,0.08596518791037404,0.04417322408291,0.12025314927006873,0.06893293719023558,0.23703727505145902,0.13850032161751055,0.003469023488678441,0.002839612597610482
0.0,10.0,10.0,0.10534188470113086,0.02098350364312288,0.14332180927459973,0.034385727906583834,0.28269219111425,0.06514562353388949,0.003951427434949512,0.0036260349819765944
