model,repeats,final_train_loss_mean,final_train_loss_std,final_val_loss_mean,final_val_loss_std,final_train_violation_mean,final_train_violation_std,final_val_violation_mean,final_val_violation_std,inference_rmse_mean,inference_rmse_std,inference_violation_mean,inference_violation_std,inference_violation_rxn_mean,inference_violation_rxn_std,inference_violation_mb_mean,inference_violation_mb_std,final_train_loss_ci95,final_val_loss_ci95,final_train_violation_ci95,final_val_violation_ci95,inference_rmse_ci95,inference_violation_ci95,inference_violation_rxn_ci95,inference_violation_mb_ci95
KKThPINN,50,2.2517641432318584e-05,1.3378666095168768e-05,2.276491102865074e-05,1.1535802530087179e-05,6.146352747230308e-05,3.384830688144603e-05,5.4656367018609514e-05,4.240832529794978e-05,0.0045945105911161304,0.0014317669170363818,5.123610979921233e-05,3.181019606555692e-05,0.00010247221959812879,6.362039213110808e-05,2.958546106514502e-16,2.9328818439498866e-17,3.7083770434967583e-06,3.1975613246178017e-06,9.382271992401076e-06,1.175498804360256e-05,0.0003968655416770732,8.817336496740942e-06,1.7634672993480284e-05,8.129533709881411e-18
NN,50,0.00011003030648325378,9.198317905974775e-05,0.00014624722612819132,0.00012254930838526612,0.041653114681880626,0.022673778820792526,0.0484478805771868,0.027602821656858872,0.009437002501283938,0.0043729778698809296,0.04148644706403044,0.023219331455009623,0.07848307983239002,0.0459623016449746,0.004489814295670884,0.003733134036609491,2.5496436429951675e-05,3.39689352196657e-05,0.006284850841648076,0.007651111810391538,0.0012121276238624317,0.00643607031677052,0.012740100027464432,0.001034771961807033
PINN,50,0.00027336988650086906,0.0002952803567209289,0.0003638093965610309,0.0003878777938690478,0.022507575878872862,0.012790686167470209,0.025217639848678558,0.015312213687552652,0.011148041658246564,0.0048449990217067414,0.02189586527920619,0.012747208684090785,0.033037954000320335,0.023635323717372703,0.01075377655809205,0.006333668919379536,8.184753909471222e-05,0.00010751423918006078,0.003545397322618485,0.0042443290923108124,0.0013429652119316818,0.0035333459790744914,0.006551377489028643,0.0017556034551320268
