mu_rxn,mu_mb,label_value,rmse_mean,rmse_std,violation_mean,violation_std,violation_rxn_mean,violation_rxn_std,violation_mb_mean,violation_mb_std
0.0,0.0,0.0,0.007839309859120258,0.004526992314580407,0.034624229534230035,0.023608020416830463,0.06551854320161006,0.04953184235979997,0.0037299158668500274,0.004087734140194058
0.0001,0.0,0.0001,0.01190485798193505,0.0027709780034249755,0.05434458714503323,0.01597480570160684,0.1004992051092148,0.0349545984654254,0.00818996918085164,0.004489048601398558
0.001,0.0,0.001,0.01163875274981035,0.0031914075091050557,0.04454496214844167,0.016965310727851454,0.07919791962864924,0.036001850229408,0.009892004668234098,0.004188110641965208
0.01,0.0,0.01,0.009953585865454783,0.004563122415883834,0.03330867145613703,0.017676453046889532,0.06256481480386457,0.03263358673330165,0.004052528108409493,0.002721340976412101
0.1,0.0,0.1,0.015379828560035856,0.00906329028714061,0.021716468244900172,0.014357227147343577,0.03071157887684342,0.02301175419981958,0.012721357612956926,0.005933908273068542
0.2,0.0,0.2,0.009492866089958153,0.0005790465872442265,0.013829421019106836,0.0019958698196546032,0.018211103081735375,0.008879571911016713,0.009447738956478297,0.004917140930777106
0.5,0.0,0.5,0.012217094318298543,0.00459111363622723,0.012264821365476209,0.005427348320230026,0.009961038048841707,0.005982074061610397,0.014568604682110714,0.005278569920862072
1.0,0.0,1.0,0.0332371121563398,0.01971869209364101,0.01721413063983968,0.004090237569144171,0.01394906077313963,0.006873385585968885,0.020479200506539726,0.0016956550225747178
2.0,0.0,2.0,0.03647642200182096,0.015363332846827072,0.018949219189387325,0.003722332305924927,0.008644759182334963,0.005992397487416619,0.029253679196439692,0.0034907640312480115
5.0,0.0,5.0,0.06718931212283892,0.034556828695291496,0.029686830390601725,0.020410406077889055,0.005801271920538936,0.0008480838588626329,0.05357238886066451,0.04083754411639173
10.0,0.0,10.0,0.055562887851755755,0.013128867151942964,0.0374171845192736,0.023074978045133823,0.004656170440125534,0.0010760601027824715,0.07017819859842167,0.04592653001962198
