model,model_id,run,mu_rxn,mu_mb,n_points,final_train_loss,final_val_loss,final_train_violation,final_val_violation,inference_rmse,inference_violation,inference_violation_rxn,inference_violation_mb
NN,NN_n150,0,0.0,0.0,150,7.758828745189012e-06,1.0548419757273199e-05,0.010559242838026906,0.011333732270297124,0.0027957182662468496,0.00906037368534652,0.016379726762168815,0.0017410206085242243
NN,NN_n150,1,0.0,0.0,150,0.00011144954463563333,0.00014440242693508718,0.042275051016459876,0.050945449121841985,0.010684399028457392,0.03597634444776751,0.06789902352629994,0.004053665369235078
NN,NN_n150,2,0.0,0.0,150,0.00024106599394359263,0.0003084914935354675,0.05945262326604278,0.06931344658244078,0.015591641563607407,0.055541031866805285,0.1018957512189328,0.009186312514677778
NN,NN_n150,3,0.0,0.0,150,0.00029575959741926405,0.00039656006471820173,0.08253278862291569,0.09471374169840047,0.01684359709461675,0.08372731752844631,0.16585301833513277,0.001601616721759852
NN,NN_n150,4,0.0,0.0,150,7.089231476063514e-05,7.967738614189098e-05,0.03408335049967351,0.03786760737598406,0.008602219298697275,0.037409987156050095,0.07209017212748417,0.0027298021846160056
NN,NN_n150,5,0.0,0.0,150,0.00010353996776485997,0.00013785067183135857,0.048822058091425036,0.05422431617901903,0.010121190990947278,0.05174549946785586,0.1000329278516245,0.003458071084087209
NN,NN_n150,6,0.0,0.0,150,0.00010109971750498815,0.0001271111762666651,0.04230291568417959,0.04872491509544769,0.010029309480288875,0.0397961132403484,0.07825833280426236,0.001333893676434429
NN,NN_n150,7,0.0,0.0,150,2.0378153612964204e-05,2.4613813069253705e-05,0.017754361489256555,0.018415248431374168,0.0047090619436402775,0.01516223016885464,0.02728398893169271,0.0030404714060165722
NN,NN_n150,8,0.0,0.0,150,9.757986878763264e-05,0.00012207878307537155,0.03611843314838802,0.041738003311561606,0.00973037053092386,0.034354598863672696,0.06555304253929468,0.0031561551880507173
NN,NN_n150,9,0.0,0.0,150,4.295621537342449e-05,6.105216739226332e-05,0.02941744130913894,0.03463063940850798,0.006444632535279755,0.02969260432017458,0.05729252900963988,0.002092679630709279
NN,NN_n150,10,0.0,0.0,150,7.953967792764924e-05,0.00010462872849251152,0.028618020150056475,0.03324078249723859,0.008951651980854184,0.028360898935845424,0.04720795628102775,0.009513841590663104
NN,NN_n150,11,0.0,0.0,150,1.88744962343006e-05,2.0832729246722765e-05,0.015901069933763928,0.01664574169740703,0.003982304763529471,0.01688843081214294,0.029764808548011428,0.004012053076274454
NN,NN_n150,12,0.0,0.0,150,0.00022025356010105525,0.0002898990862474571,0.07937407210722443,0.09556227329320394,0.015017460906489304,0.0794107306273166,0.14450912814995237,0.014312333104680792
NN,NN_n150,13,0.0,0.0,150,0.00019420414975889998,0.00026130058071945056,0.05988303316688096,0.07213150065027399,0.013687808909246887,0.057594216516800883,0.10914922397388938,0.0060392090597124
NN,NN_n150,14,0.0,0.0,150,0.00021351756365600968,0.00027992167249499326,0.06259593693575219,0.07475041751961362,0.014297314785034557,0.06265580270861121,0.1162645434545834,0.009047061962638995
NN,NN_n150,15,0.0,0.0,150,2.2064223650862313e-05,2.6049612315992283e-05,0.0206333198224708,0.020918813236149175,0.004626297281101366,0.0198494079645403,0.03779683345484055,0.0019019824742400593
NN,NN_n150,16,0.0,0.0,150,5.786075097286418e-05,8.025249062503802e-05,0.03419800497904893,0.038061572404621824,0.00786800310731168,0.03694103838991819,0.06812795695491257,0.005754119824923807
NN,NN_n150,17,0.0,0.0,150,8.115743093414961e-05,0.00010263256366359453,0.03375227714337946,0.03939233600795938,0.008798690059388116,0.0376245724466159,0.0715500786305018,0.003699066262729994
NN,NN_n150,18,0.0,0.0,150,5.667107176443124e-05,7.748962476359484e-05,0.03646873718961958,0.04071333573224252,0.007901224107061015,0.037753071011638786,0.07302109606820795,0.002485045955069622
NN,NN_n150,19,0.0,0.0,150,5.088075174114207e-05,6.707594190231009e-05,0.032877593458311975,0.03729810373549901,0.0073624859551984214,0.03567149092662221,0.06734692254175846,0.003996059311485948
NN,NN_n150,20,0.0,0.0,150,0.00019010874820586782,0.0002731128038058182,0.055083681244932986,0.0653429371315062,0.013432912369123567,0.05266340362849929,0.09080721088400866,0.01451959637298993
NN,NN_n150,21,0.0,0.0,150,5.721721614694427e-05,7.56009266201903e-05,0.032487297933669786,0.03854056702991835,0.007624519355291775,0.03198862777556006,0.060945120351205806,0.0030321351999143074
NN,NN_n150,22,0.0,0.0,150,0.0002745427365754676,0.00036601126425118275,0.07834766859406853,0.09214218319487477,0.01618767524510579,0.07757872551840653,0.15260102466868602,0.002556426368127018
NN,NN_n150,23,0.0,0.0,150,0.0001298915950706525,0.00018450908896359584,0.05287447800335843,0.06423070941277786,0.01136583851200963,0.05274738503294803,0.10484136249004573,0.000653407575850312
NN,NN_n150,24,0.0,0.0,150,2.3462220376923768e-05,3.4448595549314514e-05,0.018113532194206326,0.019867806614467437,0.004541475463110452,0.014396935162501425,0.027325844584619167,0.0014680257403836862
NN,NN_n150,25,0.0,0.0,150,0.00011811329863093545,0.00016268555076509616,0.037659036385757655,0.04630903390228076,0.010829089302134904,0.03929557671194865,0.07121721076715201,0.0073739426567453175
NN,NN_n150,26,0.0,0.0,150,9.351524852502517e-05,0.00012460851069701203,0.057398758213986045,0.06565384292443284,0.009772726821086588,0.05860696764278418,0.10640674019001908,0.010807195095549279
NN,NN_n150,27,0.0,0.0,150,0.00016558459531493163,0.0002156056119123251,0.050027355087757526,0.056597209497245005,0.012494001859708665,0.049564441672568016,0.0879646211111173,0.011164262234018726
NN,NN_n150,28,0.0,0.0,150,0.0002096120945802342,0.0002894425185873636,0.06943433888105442,0.08343889595860741,0.014384885862147456,0.06963005132016087,0.1381655299539096,0.0010945726864121633
NN,NN_n150,29,0.0,0.0,150,4.363856330949624e-05,5.633536881300007e-05,0.02012080945481468,0.0232310060425948,0.006582150250734753,0.019623870427076293,0.03662547566322855,0.002622265190924034
NN,NN_n150,30,0.0,0.0,150,0.0002556426718501473,0.0003462153704073892,0.07378352903304607,0.09116072130760616,0.015834134744923133,0.07171282120768799,0.14132123506369138,0.0021044073516846224
NN,NN_n150,31,0.0,0.0,150,0.0002800774059191723,0.00035011884250384676,0.07825567032181818,0.08718969925470263,0.016137714026890987,0.08146236759960301,0.16255581814385145,0.0003689170553546032
NN,NN_n150,32,0.0,0.0,150,1.3640706672315498e-05,1.6332849507049455e-05,0.01474839087172163,0.01519034578472678,0.004057918111605786,0.01594560572615463,0.030707912216836893,0.0011832992354723715
NN,NN_n150,33,0.0,0.0,150,1.710373628859079e-05,2.1603583695453828e-05,0.019688045838915168,0.019640937913256388,0.003752104064275636,0.01596279732697609,0.029506971660291724,0.002418622993660452
NN,NN_n150,34,0.0,0.0,150,3.265067934519955e-05,4.89874064081714e-05,0.025754034502396665,0.032799435141468866,0.005512517977815465,0.0266108171854096,0.0486910301243713,0.004530604246447894
NN,NN_n150,35,0.0,0.0,150,5.239812667134799e-05,6.882639893955653e-05,0.030914690220319452,0.03361475817905561,0.007264386482503687,0.03418939585069483,0.06305985707491128,0.005318934626478386
NN,NN_n150,36,0.0,0.0,150,4.1620486419530764e-05,6.398774161652014e-05,0.029206642645213207,0.035718894583230104,0.006304741637297504,0.02897022514865267,0.05478868278397638,0.0031517675133289572
NN,NN_n150,37,0.0,0.0,150,2.4026038839951048e-05,2.9801829615373565e-05,0.01858328273651649,0.018041008757878826,0.004420488336089725,0.016222255505084777,0.031573556640284085,0.0008709543698854716
NN,NN_n150,38,0.0,0.0,150,0.00025370363199921916,0.0003277514807747227,0.0681841676709975,0.08206103415093269,0.015513565848591412,0.06590645424874211,0.1286537169083716,0.0031591915891126133
NN,NN_n150,39,0.0,0.0,150,2.6559424393418185e-05,3.395499801568897e-05,0.017345788593702303,0.01888632096908098,0.005733806368484344,0.015542134460362685,0.027611654928338895,0.0034726139923864727
NN,NN_n150,40,0.0,0.0,150,0.00026007479535242975,0.0003393691442960937,0.08122881592414373,0.09643155867224874,0.015734716404438517,0.08179341824252012,0.16061627627173455,0.0029705602133056727
NN,NN_n150,41,0.0,0.0,150,4.881529445202916e-05,7.059502140065013e-05,0.02905952701292308,0.03645156175631511,0.0068559829034496415,0.027463075422209122,0.04574190683519721,0.009184244009221035
NN,NN_n150,42,0.0,0.0,150,0.0002699869182500881,0.00037449316063372154,0.07760144846973767,0.09529826297784075,0.01620648370771324,0.08145315125443492,0.1611156644537352,0.001790638055134639
NN,NN_n150,43,0.0,0.0,150,0.0002179195717014681,0.00029306168648162215,0.07374004808136375,0.08618726902366579,0.014437646891558551,0.07445199083182186,0.14703559159800625,0.0018683900656374505
NN,NN_n150,44,0.0,0.0,150,7.504848009861668e-05,0.00010148307068555737,0.024642825141392728,0.028951922396076395,0.008679550874609268,0.02187421145248333,0.030173635869527888,0.013574787035438771
NN,NN_n150,45,0.0,0.0,150,1.033249923991461e-05,1.3566639127972214e-05,0.010915960700628927,0.011757375652306624,0.0034601413786553652,0.010802595142919733,0.01958790324886579,0.0020172870369736776
NN,NN_n150,46,0.0,0.0,150,2.320695067638571e-05,2.8377014848272286e-05,0.020686749357550466,0.020889598177477403,0.004676708589526758,0.02007365659892292,0.03729369247850722,0.002853620719338614
NN,NN_n150,47,0.0,0.0,150,0.00016841537853451598,0.00023116361299050487,0.07362784210404716,0.0879560057987466,0.013133131551698263,0.07680420348899888,0.14355343318981273,0.01005497378818503
NN,NN_n150,48,0.0,0.0,150,1.6124470729938434e-05,2.293227803611918e-05,0.015389074016031868,0.017332348771682715,0.0036983750696719096,0.012675303889936358,0.02307079728940415,0.0022798104904685635
NN,NN_n150,49,0.0,0.0,150,2.0977860702383076e-05,2.4909503265883917e-05,0.020131914005943215,0.020858801633251173,0.005175352466023457,0.023094126640079052,0.043317453011574324,0.0028708002685837804
PINN,PINN_rxn0.05_mb0.01_n150,0,0.05,0.01,150,0.000818314284459754,0.0011156121613552393,0.043583606479512094,0.05132878037539111,0.02090928494772365,0.03949302244737692,0.06649045596250154,0.012495588932252302
PINN,PINN_rxn0.05_mb0.01_n150,1,0.05,0.01,150,0.0002257826143303856,0.0003060671591478541,0.025516302557932625,0.028731189935167684,0.01147221446054364,0.022761175516117428,0.03129602156992857,0.014226329462306286
PINN,PINN_rxn0.05_mb0.01_n150,2,0.05,0.01,150,0.0001546679145127089,0.00022795317057326884,0.017970333791833524,0.02120604052893161,0.010381499852588901,0.018768152089538928,0.025612467352291942,0.01192383682678591
PINN,PINN_rxn0.05_mb0.01_n150,3,0.05,0.01,150,6.390257873927865e-05,7.349175895963184e-05,0.012129025679681002,0.012577213224014162,0.006333858855395097,0.011634954143094234,0.018381219066287636,0.0048886892199008335
PINN,PINN_rxn0.05_mb0.01_n150,4,0.05,0.01,150,9.503064441306564e-05,0.00013661700718493354,0.01512989776981045,0.016936720828035108,0.007915665600629356,0.015117185408829704,0.016542791747920428,0.013691579069738984
PINN,PINN_rxn0.05_mb0.01_n150,5,0.05,0.01,150,0.00026475114797676113,0.0003577977957255176,0.024152792474111038,0.028115579070921458,0.01271492699773804,0.021122628578735998,0.033838564575771155,0.008406692581700842
PINN,PINN_rxn0.05_mb0.01_n150,6,0.05,0.01,150,6.081548401204556e-05,6.567034511853077e-05,0.011960866433710624,0.011595890562923816,0.005699005800666342,0.010915627504147173,0.015291120175690802,0.006540134832603541
PINN,PINN_rxn0.05_mb0.01_n150,7,0.05,0.01,150,5.3457661662852295e-05,6.30868490847323e-05,0.011750760733763318,0.011928607848924019,0.005745102269693525,0.010717953102981712,0.01169690024636124,0.009739005959602184
