mode,mu_rxn,mu_mb,label_value,repeats,rmse_mean,rmse_std,violation_mean,violation_std,violation_rxn_mean,violation_rxn_std,violation_mb_mean,violation_mb_std
mb_only,0.0,0.0,0.0,10,0.01009119569031215,0.005169963464456564,0.04567053778211384,0.028475643914671174,0.08585360164965088,0.05703607344620509,0.00548747391457679,0.004793102353292689
mb_only,0.0,0.0001,0.0001,10,0.01235692379066819,0.00371933259030941,0.05529747315565409,0.021412781897118035,0.10605867857502146,0.043054808518097155,0.00453626773628666,0.0030388777237544016
mb_only,0.0,0.001,0.001,10,0.010354098820231219,0.004076161311865745,0.04754632085892058,0.021637024547172486,0.0879479007607763,0.04280958299149462,0.00714474095706486,0.0035368037341151955
mb_only,0.0,0.01,0.01,10,0.008895113150533322,0.004092408168053868,0.039261334267734586,0.023679714783355583,0.0748769548616694,0.04775030558153472,0.00364571367379979,0.0025305449251745997
mb_only,0.0,0.05,0.05,10,0.01102406008260226,0.0033888902927709337,0.050539529722681054,0.020618054588981655,0.09666921828963657,0.04010966197326327,0.00440984115572555,0.0025673837468617984
mb_only,0.0,0.1,0.1,10,0.012798224620476379,0.0027185509114965546,0.05467617525824786,0.01806487174109074,0.1060962160459149,0.03619896461068667,0.0032561344705808203,0.0018139978726381598
mb_only,0.0,0.2,0.2,10,0.014013538516366442,0.0033553229291228745,0.06287141489620084,0.015990425497771098,0.12287786731746217,0.03206827198529411,0.00286496247493952,0.0019512565919475979
mb_only,0.0,0.5,0.5,10,0.0169295615520852,0.008273523101049986,0.060415528384330175,0.019328527564950928,0.11719894634838786,0.04007443747950163,0.0036321104202725004,0.002127007619794207
mb_only,0.0,1.0,1.0,10,0.027835528973585738,0.0167122292769958,0.08895942031633415,0.0450798488077194,0.1749843580291415,0.08937651064750296,0.0029344826035267997,0.001715734049438552
mb_only,0.0,2.0,2.0,10,0.06713526914930874,0.031892625018650436,0.10691711673672422,0.029280209381227877,0.2098772098669086,0.0586868499356956,0.003957023606539821,0.0018374362170614526
mb_only,0.0,5.0,5.0,10,0.09221364741990964,0.025257258644093585,0.16368877420234743,0.06188450717565885,0.324035064192992,0.12300047958021013,0.0033424842117028503,0.0015986012969035756
