mode,mu_rxn,mu_mb,label_value,run,model_id,rmse_total,violation,violation_rxn,violation_mb
scale_both,1.0,0.1,1.0,0,PINN_rxn1p0_mb0p1,0.0415340653680958,0.0144251545210223,0.0137933593522926,0.015056949689752
scale_both,1.0,0.1,1.0,1,PINN_rxn1p0_mb0p1,0.0612351849423753,0.0211740111289963,0.0212367750612898,0.0211112471967027
scale_both,1.0,0.1,1.0,2,PINN_rxn1p0_mb0p1,0.0265567586460934,0.0172457776218314,0.0061801850643372,0.0283113701793255
scale_both,0.01,1.0,1.0,0,PINN_rxn0p01_mb1p0,0.0479761028987689,0.0821799594242946,0.1616869392898199,0.0026729795587692
scale_both,0.01,1.0,1.0,1,PINN_rxn0p01_mb1p0,0.0354878940406489,0.0629538627531982,0.1194731139252789,0.0064346115811175
scale_both,0.01,1.0,1.0,2,PINN_rxn0p01_mb1p0,0.0169753695155925,0.0707945615669229,0.139971634578488,0.001617488555358
scale_both,0.1,1.0,1.0,0,PINN_rxn0p1_mb1p0,0.0485440134260245,0.0263770110983409,0.0459921572525935,0.0067618649440882
scale_both,0.1,1.0,1.0,1,PINN_rxn0p1_mb1p0,0.0389518566608364,0.0367451279998574,0.0687480330985933,0.0047422229011215
scale_both,0.1,1.0,1.0,2,PINN_rxn0p1_mb1p0,0.017886492165376,0.0156174259282826,0.0281156878648658,0.0031191639916994
scale_both,0.5,1.0,1.0,0,PINN_rxn0p5_mb1p0,0.0271900640721794,0.0112052042264605,0.0130587367147692,0.0093516717381518
scale_both,0.5,1.0,1.0,1,PINN_rxn0p5_mb1p0,0.0988515896333417,0.0065213644788198,0.0060404956496154,0.0070022333080242
scale_both,0.5,1.0,1.0,2,PINN_rxn0p5_mb1p0,0.0545692724622342,0.0141354543116383,0.0229095684185865,0.0053613402046902
scale_both,0.2,1.0,1.0,0,PINN_rxn0p2_mb1p0,0.0251247801959279,0.0439605800314526,0.0643288926031144,0.0235922674597908
scale_both,0.2,1.0,1.0,1,PINN_rxn0p2_mb1p0,0.0109148504769757,0.0095295738156915,0.0148265779280121,0.0042325697033708
scale_both,0.2,1.0,1.0,2,PINN_rxn0p2_mb1p0,0.0192297078780904,0.021724756593679,0.0333150997914783,0.0101344133958797
rxn_only,0.0,0.0,0.0,0,PINN_rxn0p0_mb0p0,0.0041493533706427,0.0173811149493421,0.0334564757201444,0.0013057541785399
rxn_only,0.0,0.0,0.0,1,PINN_rxn0p0_mb0p0,0.0136336901933022,0.0645315045232056,0.1231106248729217,0.0059523841734896
rxn_only,0.0,0.0,0.0,2,PINN_rxn0p0_mb0p0,0.0042980882500365,0.0206233917819891,0.0391927868407886,0.0020539967231897
rxn_only,0.0,0.0,0.0,3,PINN_rxn0p0_mb0p0,0.0094524332879111,0.0326831152204763,0.0504134012666677,0.0149528291742849
rxn_only,0.0,0.0,0.0,4,PINN_rxn0p0_mb0p0,0.0165740920276519,0.0848392378132241,0.1692041010848275,0.0004743745416207
rxn_only,0.0,0.0,0.0,5,PINN_rxn0p0_mb0p0,0.0078019613616703,0.0407135312246458,0.0790578907305067,0.002369171718785
rxn_only,0.0,0.0,0.0,6,PINN_rxn0p0_mb0p0,0.0128762071263553,0.0716613953513577,0.1357271379925788,0.0075956527101366
rxn_only,0.0,0.0,0.0,7,PINN_rxn0p0_mb0p0,0.0060050035156013,0.0294747171586685,0.0565753337540647,0.0023741005632722
rxn_only,0.0,0.0,0.0,8,PINN_rxn0p0_mb0p0,0.0126881224314909,0.0619589847114781,0.1189872758077121,0.004930693615244
rxn_only,0.0,0.0,0.0,9,PINN_rxn0p0_mb0p0,0.0076262026667393,0.0267409375767467,0.0506836335874819,0.0027982415660114
rxn_only,0.0001,0.0,0.0001,0,PINN_rxn0p0001_mb0p0,0.0105796583701079,0.0496484502488985,0.0952702490954655,0.0040266514023315
rxn_only,0.0001,0.0,0.0001,1,PINN_rxn0p0001_mb0p0,0.0107679290537802,0.0481113950841884,0.0873005833981061,0.0089222067702707
rxn_only,0.0001,0.0,0.0001,2,PINN_rxn0p0001_mb0p0,0.0162786531266459,0.0806935672797869,0.1595146181745008,0.001872516385073
rxn_only,0.0001,0.0,0.0001,3,PINN_rxn0p0001_mb0p0,0.0117231196697348,0.0638184843430795,0.1203276242023478,0.0073093444838112
