mode,mu_rxn,mu_mb,label_value,run,model_id,rmse_total,violation,violation_rxn,violation_mb
rxn_only,0.0,0.0,0.0,0,PINN_rxn0p0_mb0p0,0.004539467128905512,0.016970308186588456,0.025535083064101856,0.008405533309075057
rxn_only,0.0,0.0,0.0,1,PINN_rxn0p0_mb0p0,0.00597825730191537,0.025462501434547972,0.05009282567556572,0.000832177193530225
rxn_only,0.0,0.0,0.0,2,PINN_rxn0p0_mb0p0,0.01300020514653989,0.06143987898155369,0.1209277208651626,0.0019520370979448003
rxn_only,0.0001,0.0,0.0001,0,PINN_rxn0p0001_mb0p0,0.011962697688949099,0.05504344731569506,0.10604071037072849,0.004046184260661636
rxn_only,0.0001,0.0,0.0001,1,PINN_rxn0p0001_mb0p0,0.014646463353305874,0.06995849358595793,0.13235203899771653,0.007564948174199368
rxn_only,0.0001,0.0,0.0001,2,PINN_rxn0p0001_mb0p0,0.009105412903550174,0.03803182053344667,0.06310486595919942,0.012958775107693915
rxn_only,0.001,0.0,0.001,0,PINN_rxn0p001_mb0p0,0.008566657239545366,0.031141930380282287,0.05406313440092373,0.008220726359640843
rxn_only,0.001,0.0,0.001,1,PINN_rxn0p001_mb0p0,0.014937399089711772,0.06361946565309362,0.12044135012447554,0.006797581181711693
rxn_only,0.001,0.0,0.001,2,PINN_rxn0p001_mb0p0,0.01141220192017391,0.03887349041194909,0.06308927436054843,0.014657706463349759
rxn_only,0.01,0.0,0.01,0,PINN_rxn0p01_mb0p0,0.007589094936700852,0.02130375805823967,0.040307814767962524,0.00229970134851681
rxn_only,0.01,0.0,0.01,1,PINN_rxn0p01_mb0p0,0.007057967530215365,0.025015375882098165,0.047360437175585704,0.002670314588610625
rxn_only,0.01,0.0,0.01,2,PINN_rxn0p01_mb0p0,0.015213695129448136,0.05360688042807325,0.10002619246804548,0.007187568388101044
rxn_only,0.1,0.0,0.1,0,PINN_rxn0p1_mb0p0,0.009829567828886927,0.013583719781513105,0.016226202172368302,0.01094123739065791
rxn_only,0.1,0.0,0.1,1,PINN_rxn0p1_mb0p0,0.01047126286244014,0.01327189634195321,0.018662527347722394,0.007881265336184027
rxn_only,0.1,0.0,0.1,2,PINN_rxn0p1_mb0p0,0.0258386549887805,0.0382937886112342,0.05724600711043956,0.01934157011202884
rxn_only,0.2,0.0,0.2,0,PINN_rxn0p2_mb0p0,0.00882823235407802,0.011760091865874428,0.009448022089442152,0.014072161642306702
rxn_only,0.2,0.0,0.2,1,PINN_rxn0p2_mb0p0,0.009762005049997588,0.015742666257184998,0.02720275268340204,0.004282579830967952
rxn_only,0.2,0.0,0.2,2,PINN_rxn0p2_mb0p0,0.009888360865798846,0.013985504934261084,0.017982534472361936,0.009988475396160233
rxn_only,0.5,0.0,0.5,0,PINN_rxn0p5_mb0p0,0.011863789540568458,0.008269540176572126,0.007027113568131085,0.009511966785013166
rxn_only,0.5,0.0,0.5,1,PINN_rxn0p5_mb0p0,0.016974653410129326,0.018443897832364366,0.01684365125973667,0.02004414440499206
rxn_only,0.5,0.0,0.5,2,PINN_rxn0p5_mb0p0,0.007812840004197847,0.010081026087492138,0.006012349318657364,0.014149702856326916
rxn_only,1.0,0.0,1.0,0,PINN_rxn1p0_mb0p0,0.0220502541933431,0.01462565720168699,0.008690613644184522,0.020560700759189462
rxn_only,1.0,0.0,1.0,1,PINN_rxn1p0_mb0p0,0.056005158297199334,0.02192960943117895,0.02172658306218559,0.022132635800172305
rxn_only,1.0,0.0,1.0,2,PINN_rxn1p0_mb0p0,0.021655923978476977,0.015087125286653097,0.011429985613048782,0.018744264960257412
rxn_only,2.0,0.0,2.0,0,PINN_rxn2p0_mb0p0,0.04894311115128818,0.021986388788447876,0.015242245842151345,0.028730531734744408
rxn_only,2.0,0.0,2.0,1,PINN_rxn2p0_mb0p0,0.01931292452786802,0.014796728845681412,0.003539443136659242,0.026054014554703582
rxn_only,2.0,0.0,2.0,2,PINN_rxn2p0_mb0p0,0.041173230326306695,0.02006453993403269,0.0071525885681943,0.03297649129987108
rxn_only,5.0,0.0,5.0,0,PINN_rxn5p0_mb0p0,0.03549909709682972,0.02180091224574753,0.006727129656596072,0.03687469483489898
rxn_only,5.0,0.0,5.0,1,PINN_rxn5p0_mb0p0,0.10403375565343458,0.05286371515498846,0.005614634241477191,0.10011279606849972
rxn_only,5.0,0.0,5.0,2,PINN_rxn5p0_mb0p0,0.06203508361825246,0.014395863771069184,0.005062051863543546,0.023729675678594825
rxn_only,10.0,0.0,10.0,0,PINN_rxn10p0_mb0p0,0.06817741211607992,0.02404213884595243,0.005568308325430708,0.04251596936647416
rxn_only,10.0,0.0,10.0,1,PINN_rxn10p0_mb0p0,0.05653727978182085,0.0640618045073447,0.004930792063611227,0.12319281695107816
rxn_only,10.0,0.0,10.0,2,PINN_rxn10p0_mb0p0,0.04197397165736649,0.024147610204523676,0.003469410931334669,0.04482580947771268
