NN_Experiment_RMSE,NN_Experiment_VIOL,NN_Experiment_VIOL_NL,NN_Experiment_Time_sec,KKThPINN_Experiment_RMSE,KKThPINN_Experiment_VIOL,KKThPINN_Experiment_VIOL_NL,KKThPINN_Experiment_Time_sec
0.0011000591522063012,0.005524727366652026,0.01069198028353922,0.0116,0.0006146845951413276,4.618219387156033e-16,0.0002165851684615077,0.0249
0.0010163107190504406,0.005218123754568969,0.010093431794208008,0.0116,0.0006137383355004489,4.386922923692459e-16,0.00023744261045847826,0.0239
0.001116313344994463,0.00529036566763499,0.010079112679928268,0.0116,0.00048639279228403844,4.579669976578771e-16,0.0002755965191347844,0.0238
0.0018890740225422935,0.009316727949473531,0.018256344843218583,0.0189,0.0029767200509509613,4.880355379081417e-16,6.043558862548389e-05,0.0237
0.0007426031022555897,0.0036024543507256865,0.006678293451520374,0.0123,0.001752746536070664,5.828670879282072e-16,0.00014341357881412435,0.0259
0.004067858433234693,0.01866776494515162,0.03528374973365697,0.0115,0.0010104820845500359,4.64134903350239e-16,0.0001776840107694059,0.024
0.0010427129465199064,0.005131174851589061,0.009745613642805916,0.0117,0.0003682638976681389,4.3329537488842914e-16,0.00025473015655257423,0.0239
0.001944418161790934,0.009062718320170275,0.017624052951405084,0.0117,0.0012942640780572064,4.980583846582299e-16,0.00015221020597271713,0.0239
0.003776951412078509,0.017697852244830566,0.03497293877539722,0.0118,0.0014109341981173157,4.633639151386938e-16,0.00015167137424496816,0.0378
0.001087752035544772,0.005370228532525959,0.01062130509815911,0.0121,0.004343312236043991,5.689893001203927e-16,0.0003282343241016203,0.0236
0.001129739370921564,0.005353210173970503,0.009502293385631813,0.0122,0.0006016194440306532,5.54340524101033e-16,0.00025450178689952814,0.0249
0.000760116474414584,0.0038440731607245807,0.007488039440428569,0.0118,0.0015749963753928717,5.335238423893113e-16,0.00013710666811110915,0.0338
0.0018496641202748651,0.009175715660599729,0.01778431293060217,0.0188,0.0015526138253544063,5.142491371006802e-16,0.0001512802795799847,0.0237
0.001970128703881496,0.0089708366740928,0.017815705883961253,0.0118,0.0009257458250501957,5.026843139275014e-16,0.00017806450213957777,0.0244
0.001037481453260397,0.005115637762589082,0.010161132870470957,0.0121,0.0012069092623781365,4.64134903350239e-16,0.00018597089247857697,0.0236
0.0009157860795955619,0.004127058578846628,0.008023490269092949,0.0116,0.0020654078088122962,5.181040781584064e-16,0.00012013761828874901,0.0374
0.0018326825133959145,0.008961301384665674,0.017638129358287576,0.0118,0.0012889586259188994,5.32752854177766e-16,0.0001576790389599696,0.0237
0.0008645699945310768,0.0035071574411666517,0.006869633192683752,0.0121,0.0007703198743198995,4.471731626962436e-16,0.00020457760933477454,0.0236
0.0015051124107183405,0.006364848391367082,0.012146246154621223,0.0188,0.0015836882572113663,5.049972785621371e-16,0.0001363913305209975,0.0242
0.0010197629341427694,0.004753174971081905,0.009146021180820548,0.0117,0.001739365926401093,4.972873964466847e-16,0.00012236079777395222,0.0244
0.001408557050711155,0.0063727678780732405,0.012184318436150076,0.0117,0.0016196896950172706,4.6876083261951055e-16,0.0001932155643616574,0.0242
0.0009924685085379728,0.0052600984420621095,0.01013892584455827,0.0116,0.003285333893416497,5.54340524101033e-16,3.482676307500765e-05,0.0236
0.001362675458922432,0.005174874727348594,0.009795027788491818,0.0116,0.000613139691424399,4.942034436005038e-16,0.00022104534766047754,0.0261
0.0018598304840183057,0.009228244061405707,0.017992061509321196,0.0117,0.002472614299927125,5.412337245047638e-16,8.654392264134207e-05,0.0258
0.001964123015373557,0.009514623977186701,0.018941146631443313,0.0118,0.0005314733436796114,5.551115123125783e-16,0.00021880178010196753,0.0254
0.0011585603510199654,0.005660529688760564,0.011090838544357636,0.0121,0.001273697310799379,4.957454200235942e-16,0.00022070684496141825,0.0256
0.0008032176136459091,0.003587950878604278,0.006194553574980069,0.0117,0.0013533108717915375,4.556540330232414e-16,0.0001971861962492611,0.0243
0.0019251492678300254,0.009467287544161965,0.018434487994661478,0.0118,0.0004888287209417995,4.718447854656915e-16,0.00024470873457158965,0.0268
0.004055847438230768,0.020100575630729776,0.0391929843545992,0.0121,0.0010255375630230487,5.736152293896642e-16,0.00020229187455586705,0.0256
0.0012984339613453949,0.005925921186132332,0.011392441926665418,0.0116,0.0015793450700804241,5.165621017353159e-16,0.0001228219343791618,0.0251
0.0010731424501280074,0.005371333325716046,0.010316418805937174,0.0122,0.000417996356683034,5.874930171974787e-16,0.0002710813023523933,0.0238
0.003920987374848867,0.01862038298928929,0.03666998482966657,0.0116,0.000971997874468961,4.618219387156033e-16,0.00020652634384282157,0.0244
