Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.06057,0.04014
2,0.06379,0.04539
3,0.06301,0.03825
4,0.0634,0.04216
5,0.0652,0.04556
6,0.06174,0.04244
7,0.06616,0.04229
8,0.0573,0.04071
9,0.06237,0.0462
10,0.06137,0.0459
11,0.06532,0.04044
12,0.06379,0.04218
13,0.06514,0.04388
14,0.06335,0.04262
15,0.0657,0.04399
16,0.06173,0.04681
17,0.06186,0.04365
18,0.06439,0.03308
19,0.06021,0.04247
20,0.06196,0.0456
21,0.06278,0.04048
22,0.06427,0.04721
23,0.06551,0.04338
24,0.06069,0.04419
25,0.06083,0.04128
26,0.06453,0.04586
27,0.05973,0.04316
28,0.06567,0.04354
29,0.06297,0.0437
30,0.05998,0.04654
31,0.06054,0.04348
32,0.06479,0.03817
33,0.06349,0.04259
34,0.06369,0.04587
35,0.06469,0.04414
36,0.05718,0.04255
37,0.06553,0.04398
38,0.05955,0.04275
39,0.06194,0.04473
40,0.05989,0.04265
41,0.06543,0.0436
42,0.0633,0.04423
43,0.06333,0.04681
44,0.06395,0.04575
45,0.06307,0.04168
46,0.06091,0.04528
47,0.06216,0.03715
48,0.06485,0.04067
49,0.06209,0.04578
50,0.05696,0.04243
