Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00371,0.00417
2,0.00092,0.00119
3,0.00272,0.00015
4,0.00702,0.00153
5,0.0029,0.00968
6,0.00552,0.0024
7,0.00218,0.00285
8,0.00099,0.00234
9,0.01058,0.00024
10,0.00772,0.00085
11,0.00217,0.00016
12,0.00056,0.00614
13,0.00447,0.00038
14,0.00183,0.00034
15,0.00078,0.00093
16,0.0023,0.00046
17,0.0025,0.00015
18,0.00851,0.00038
19,0.00657,0.00056
20,0.00049,0.00152
21,0.00736,0.00404
22,0.00346,0.00065
23,0.00337,0.00787
24,0.0056,0.0008
25,0.00177,0.01009
26,0.00071,0.00039
27,0.00256,0.00024
28,0.00471,0.00889
29,0.01214,0.00697
30,0.00431,0.00037
31,0.00053,0.00152
32,0.00359,0.0012
33,0.00408,0.00356
34,0.0069,0.00524
35,0.00658,0.00107
36,0.00362,0.00359
37,0.00952,0.01346
38,0.01438,0.00028
39,0.00161,0.00069
40,0.00123,0.00145
41,0.00712,0.00037
42,0.00658,0.00023
43,0.00185,0.00675
44,0.00408,0.00029
45,0.00157,0.0012
46,0.00483,0.00091
47,0.00205,0.00352
48,0.00544,0.00183
49,0.00502,0.00636
50,0.01528,0.00148
