Iteration,NN_Training_Error,KKThPINN_Training_Error
1,9e-05,2e-05
2,0.0002,0.00017
3,9e-05,0.00024
4,0.00026,0.00016
5,8e-05,5e-05
6,0.00014,0.00012
7,5e-05,0.00017
8,0.00013,3e-05
9,0.00019,0.00019
10,7e-05,0.00019
11,0.0001,6e-05
12,0.00019,9e-05
13,0.00013,0.00019
14,0.00014,9e-05
15,0.00015,4e-05
16,0.00044,8e-05
17,6e-05,0.0002
18,0.00017,0.0002
19,0.00021,7e-05
20,0.00013,0.00024
21,0.00012,0.00019
22,3e-05,0.00012
23,0.00014,8e-05
24,0.00019,0.00022
25,0.00019,4e-05
26,0.00027,0.00014
27,0.00022,0.00015
28,0.00019,0.00025
29,0.00014,0.00019
30,0.00014,0.0001
31,0.00018,1e-05
32,8e-05,4e-05
33,0.00019,0.00015
34,0.00022,8e-05
35,0.00018,0.00018
36,0.00019,8e-05
37,0.00018,9e-05
38,0.00019,5e-05
39,0.00025,2e-05
40,0.00012,7e-05
41,0.00014,3e-05
42,0.00019,0.00021
43,0.00016,0.00014
44,0.00019,0.00019
45,0.00014,6e-05
46,0.00022,6e-05
47,1e-05,5e-05
48,0.0002,0.00019
49,0.0002,3e-05
50,0.00022,0.00017
