region_id,Tss,Caoss,Cass,Cbss,fss,aCa,aCb,aT,aCao
0,290.0,0.8666666666666667,0.8468895902985253,1.9604458472637172,-1.4185430174257219e-15,-1.0275148796549687,-0.02430130975708137,-0.002548950025881445,1.0038897680504506
1,290.0,1.0,0.9773125339687041,1.9546250679374082,-1.5587032532737854e-15,-1.0273747968156453,-0.027374796815645173,-0.0029240528807792966,1.0038897680504506
2,290.0,1.1333333333333333,1.1077686351803606,1.9488706036940544,-1.8663456197165473e-15,-1.0272367193631209,-0.030431315080034004,-0.0032948822568962467,1.0038897680504506
3,320.0,0.8666666666666667,0.6299524495992112,1.526571565865089,-1.8471335572201042e-14,-1.5614157502611714,-0.4785904911241313,-0.02575196234943679,1.0872706795086227
4,320.0,1.0,0.739339870043878,1.478679740087756,-2.0358714714063808e-14,-1.5321325127042986,-0.5321325127042986,-0.028357020274437175,1.0872706795086227
5,320.0,1.1333333333333333,0.8508296254060456,1.4349925841454245,-2.1996293675385914e-14,-1.506234205162482,-0.5840907795276824,-0.030733366758645783,1.0872706795086227
6,350.0,0.8666666666666667,0.4253089007873191,1.117284468241305,-9.459100169806334e-14,-6.7627445819783505,-4.6615024859342435,-0.05393644843220258,2.1487419956649276
7,350.0,1.0,0.5233512181912394,1.0467024363824786,-1.0236256287043943e-13,-6.198198893218579,-5.1981988932185805,-0.058249212833219544,2.1487419956649276
8,350.0,1.1333333333333333,0.626541644319461,0.9864166219722553,-1.0902390101819037e-13,-5.745167545532526,-5.717420842907518,-0.06193284884407796,2.1487419956649276
9,380.0,0.8666666666666667,0.36682881014961327,1.0003242869658917,-6.039613253960852e-13,-53.57372554407146,-41.2418806613105,-0.16319246914493424,11.065526847736407
10,380.0,1.0,0.46219638796109996,0.9243927759222007,-7.034373084024992e-13,-47.36532091019703,-46.365320910197006,-0.1755879396075708,11.065526847736407
11,380.0,1.1333333333333333,0.5639044811203382,0.8611422955740051,-6.998845947236987e-13,-42.56772916469177,-51.32289660646985,-0.18591329004675838,11.065526847736407
12,410.0,0.8666666666666667,0.33774203138057424,0.9421507294278335,-8.029132914089132e-12,-368.36581705873937,-281.5564876463587,-0.7629214453953974,65.19585844280634
13,410.0,1.0,0.4318067212403433,0.8636134424806922,-1.021760454023024e-11,-319.9282508359601,-318.9282508359585,-0.8195625776834046,65.19585844280634
14,410.0,1.1333333333333333,0.5329034144699533,0.799140162273235,3.666400516522117e-12,-283.3137555912238,-355.09794955221406,-0.866060740978134,65.19585844280634
15,430.0,0.8666666666666667,0.32255199615272256,0.9117706589720713,-1.2164491636212915e-11,-1161.732118942845,-877.1832930963678,-2.062534305150219,192.2389947196993
16,430.0,1.0,0.4159363708291958,0.8318727416584232,-1.00669694802491e-10,-999.2645665516955,-998.2645665516648,-2.213965799562441,192.2389947196993
17,430.0,1.1333333333333333,0.5167473369581307,0.7668280072495797,-1.3926637620897964e-11,-877.9947189726486,-1115.4682637640453,-2.3372458757597023,192.2389947196993
18,450.0,0.8666666666666667,0.30925796065169653,0.8851825879700376,-2.7398527890909463e-11,-3315.4564825649722,-2471.7112957766235,-5.1651037707293455,518.0188621624775
19,450.0,1.0,0.40204433937299666,0.8040886787460677,-2.9672264645341784e-11,-2826.3737638902867,-2825.373763890073,-5.540823105390075,518.0188621624775
20,450.0,1.1333333333333333,0.5026245753212821,0.7385824839758253,1.7314505385002121e-10,-2465.587146904738,-3167.7605281666147,-5.84432239590204,518.0188621624775
